Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Intermediate Type F/M: Uranyl nitrate, uranium peroxide hydrate, ammonium diuranate, uranium trioxide, fA=1.6E-2
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	1.1E-3	-	-	2.4E-4	5.0E-4	1.8E-6	1.6E-6
0.083333	2.2E-3	-	-	5.8E-4	9.4E-4	8.1E-6	5.2E-6
0.125	3.3E-3	-	-	9.7E-4	1.3E-3	1.9E-5	1.0E-5
0.25	6.4E-3	-	-	2.4E-3	2.3E-3	8.3E-5	3.0E-5
0.375	9.3E-3	-	-	3.9E-3	3.0E-3	1.9E-4	5.6E-5
0.5	1.2E-2	-	-	5.6E-3	3.6E-3	3.5E-4	8.4E-5
0.625	1.5E-2	-	-	7.2E-3	4.1E-3	5.4E-4	1.1E-4
0.75	1.7E-2	-	-	8.7E-3	4.4E-3	7.7E-4	1.4E-4
0.875	1.9E-2	-	-	1.0E-2	4.7E-3	1.0E-3	1.7E-4
1	2.1E-2	1.2E-1	6.7E-2	1.1E-2	4.9E-3	1.3E-3	2.0E-4
1.125	2.2E-2	-	-	1.2E-2	5.0E-3	1.6E-3	2.3E-4
1.25	2.3E-2	-	-	1.3E-2	5.1E-3	1.9E-3	2.6E-4
1.375	2.4E-2	-	-	1.3E-2	5.2E-3	2.2E-3	2.8E-4
1.5	2.5E-2	-	-	1.3E-2	5.2E-3	2.5E-3	3.1E-4
1.625	2.5E-2	-	-	1.3E-2	5.2E-3	2.8E-3	3.3E-4
1.75	2.6E-2	-	-	1.3E-2	5.3E-3	3.1E-3	3.6E-4
1.875	2.6E-2	-	-	1.3E-2	5.3E-3	3.4E-3	3.8E-4
2	2.6E-2	5.3E-2	2.1E-1	1.2E-2	5.3E-3	3.7E-3	4.0E-4
2.25	2.6E-2	-	-	1.1E-2	5.3E-3	4.3E-3	4.4E-4
2.5	2.5E-2	-	-	9.8E-3	5.3E-3	4.9E-3	4.8E-4
2.75	2.5E-2	-	-	8.4E-3	5.3E-3	5.4E-3	5.2E-4
3	2.4E-2	2.1E-2	1.4E-1	7.1E-3	5.3E-3	5.9E-3	5.5E-4
3.25	2.4E-2	-	-	6.0E-3	5.3E-3	6.4E-3	5.9E-4
3.5	2.3E-2	-	-	5.0E-3	5.4E-3	6.9E-3	6.2E-4
3.75	2.3E-2	-	-	4.2E-3	5.4E-3	7.3E-3	6.5E-4
4	2.3E-2	1.1E-2	6.0E-2	3.5E-3	5.5E-3	7.7E-3	6.9E-4
4.25	2.3E-2	-	-	3.0E-3	5.6E-3	8.1E-3	7.2E-4
4.5	2.4E-2	-	-	2.5E-3	5.6E-3	8.5E-3	7.4E-4
4.75	2.4E-2	-	-	2.2E-3	5.7E-3	8.9E-3	7.7E-4
5	2.4E-2	6.7E-3	2.2E-2	1.9E-3	5.8E-3	9.3E-3	8.0E-4
5.5	2.5E-2	-	-	1.6E-3	6.0E-3	1.0E-2	8.5E-4
6	2.6E-2	5.2E-3	9.1E-3	1.4E-3	6.1E-3	1.1E-2	9.0E-4
6.5	2.7E-2	-	-	1.2E-3	6.2E-3	1.1E-2	9.5E-4
7	2.8E-2	4.4E-3	5.1E-3	1.2E-3	6.4E-3	1.2E-2	9.9E-4
7.5	2.8E-2	-	-	1.1E-3	6.5E-3	1.2E-2	1.0E-3
8	2.9E-2	3.9E-3	3.5E-3	1.0E-3	6.6E-3	1.3E-2	1.1E-3
8.5	3.0E-2	-	-	9.7E-4	6.7E-3	1.3E-2	1.1E-3
9	3.1E-2	3.6E-3	2.7E-3	9.2E-4	6.8E-3	1.4E-2	1.1E-3
9.5	3.1E-2	-	-	8.8E-4	6.9E-3	1.4E-2	1.2E-3
10	3.2E-2	3.3E-3	2.2E-3	8.3E-4	7.0E-3	1.5E-2	1.2E-3
11	3.3E-2	3.0E-3	1.8E-3	7.4E-4	7.2E-3	1.6E-2	1.3E-3
12	3.4E-2	2.8E-3	1.4E-3	6.6E-4	7.4E-3	1.7E-2	1.3E-3
13	3.5E-2	2.6E-3	1.2E-3	5.9E-4	7.6E-3	1.7E-2	1.4E-3
14	3.6E-2	2.4E-3	9.6E-4	5.2E-4	7.7E-3	1.8E-2	1.4E-3
15	3.7E-2	2.2E-3	7.9E-4	4.6E-4	7.9E-3	1.9E-2	1.4E-3
16	3.7E-2	2.0E-3	6.5E-4	4.1E-4	8.1E-3	1.9E-2	1.5E-3
17	3.8E-2	1.9E-3	5.3E-4	3.6E-4	8.2E-3	2.0E-2	1.5E-3
18	3.9E-2	1.8E-3	4.4E-4	3.2E-4	8.4E-3	2.0E-2	1.5E-3
19	3.9E-2	1.7E-3	3.6E-4	2.9E-4	8.5E-3	2.1E-2	1.5E-3
20	4.0E-2	1.6E-3	3.0E-4	2.6E-4	8.7E-3	2.1E-2	1.5E-3
21	4.0E-2	1.5E-3	2.5E-4	2.4E-4	8.8E-3	2.2E-2	1.5E-3
22	4.1E-2	1.4E-3	2.1E-4	2.2E-4	9.0E-3	2.2E-2	1.6E-3
23	4.1E-2	1.3E-3	1.8E-4	2.0E-4	9.1E-3	2.3E-2	1.6E-3
24	4.1E-2	1.2E-3	1.5E-4	1.8E-4	9.2E-3	2.3E-2	1.6E-3
25	4.2E-2	1.2E-3	1.3E-4	1.7E-4	9.3E-3	2.4E-2	1.6E-3
26	4.2E-2	1.1E-3	1.1E-4	1.6E-4	9.4E-3	2.4E-2	1.6E-3
27	4.2E-2	1.0E-3	9.9E-5	1.5E-4	9.5E-3	2.4E-2	1.6E-3
28	4.3E-2	9.9E-4	8.7E-5	1.4E-4	9.6E-3	2.5E-2	1.6E-3
29	4.3E-2	9.4E-4	7.7E-5	1.4E-4	9.7E-3	2.5E-2	1.6E-3
30	4.3E-2	9.0E-4	6.9E-5	1.3E-4	9.8E-3	2.5E-2	1.6E-3
31	4.3E-2	8.6E-4	6.2E-5	1.3E-4	9.9E-3	2.5E-2	1.6E-3
32	4.3E-2	8.2E-4	5.7E-5	1.2E-4	9.9E-3	2.6E-2	1.6E-3
33	4.3E-2	7.9E-4	5.3E-5	1.2E-4	1.0E-2	2.6E-2	1.6E-3
34	4.3E-2	7.5E-4	4.9E-5	1.1E-4	1.0E-2	2.6E-2	1.5E-3
35	4.4E-2	7.2E-4	4.6E-5	1.1E-4	1.0E-2	2.6E-2	1.5E-3
36	4.4E-2	7.0E-4	4.3E-5	1.1E-4	1.0E-2	2.6E-2	1.5E-3
37	4.4E-2	6.7E-4	4.1E-5	1.1E-4	1.0E-2	2.7E-2	1.5E-3
38	4.4E-2	6.5E-4	3.9E-5	1.1E-4	1.0E-2	2.7E-2	1.5E-3
39	4.4E-2	6.2E-4	3.8E-5	1.0E-4	1.0E-2	2.7E-2	1.5E-3
40	4.4E-2	6.0E-4	3.6E-5	1.0E-4	1.0E-2	2.7E-2	1.5E-3
41	4.4E-2	5.8E-4	3.5E-5	1.0E-4	1.0E-2	2.7E-2	1.5E-3
42	4.4E-2	5.6E-4	3.4E-5	1.0E-4	1.0E-2	2.7E-2	1.5E-3
43	4.4E-2	5.5E-4	3.3E-5	9.9E-5	1.0E-2	2.7E-2	1.5E-3
44	4.4E-2	5.3E-4	3.2E-5	9.8E-5	1.0E-2	2.7E-2	1.4E-3
45	4.4E-2	5.1E-4	3.1E-5	9.7E-5	1.0E-2	2.7E-2	1.4E-3
46	4.4E-2	5.0E-4	3.1E-5	9.6E-5	1.0E-2	2.8E-2	1.4E-3
47	4.4E-2	4.9E-4	3.0E-5	9.5E-5	1.0E-2	2.8E-2	1.4E-3
48	4.3E-2	4.7E-4	3.0E-5	9.4E-5	1.0E-2	2.8E-2	1.4E-3
49	4.3E-2	4.6E-4	2.9E-5	9.3E-5	1.0E-2	2.8E-2	1.4E-3
50	4.3E-2	4.5E-4	2.9E-5	9.3E-5	1.0E-2	2.8E-2	1.4E-3
51	4.3E-2	4.4E-4	2.8E-5	9.2E-5	1.0E-2	2.8E-2	1.4E-3
52	4.3E-2	4.3E-4	2.8E-5	9.1E-5	1.0E-2	2.8E-2	1.4E-3
53	4.3E-2	4.2E-4	2.7E-5	9.0E-5	1.0E-2	2.8E-2	1.3E-3
54	4.3E-2	4.1E-4	2.7E-5	8.9E-5	1.0E-2	2.8E-2	1.3E-3
55	4.3E-2	4.0E-4	2.6E-5	8.8E-5	9.9E-3	2.8E-2	1.3E-3
56	4.3E-2	3.9E-4	2.6E-5	8.7E-5	9.9E-3	2.8E-2	1.3E-3
57	4.2E-2	3.8E-4	2.6E-5	8.7E-5	9.8E-3	2.8E-2	1.3E-3
58	4.2E-2	3.7E-4	2.5E-5	8.6E-5	9.8E-3	2.8E-2	1.3E-3
59	4.2E-2	3.6E-4	2.5E-5	8.5E-5	9.7E-3	2.8E-2	1.3E-3
60	4.2E-2	3.6E-4	2.5E-5	8.4E-5	9.7E-3	2.8E-2	1.3E-3
61	4.2E-2	3.5E-4	2.4E-5	8.3E-5	9.6E-3	2.8E-2	1.3E-3
62	4.2E-2	3.4E-4	2.4E-5	8.2E-5	9.6E-3	2.8E-2	1.2E-3
63	4.2E-2	3.3E-4	2.4E-5	8.2E-5	9.5E-3	2.8E-2	1.2E-3
64	4.1E-2	3.3E-4	2.3E-5	8.1E-5	9.4E-3	2.8E-2	1.2E-3
65	4.1E-2	3.2E-4	2.3E-5	8.0E-5	9.4E-3	2.8E-2	1.2E-3
