Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Type M, Uranyl acetylacetonate; depleted uranium aerosols from use of kinetic energy penetrators; vaporised uranium metal; all unspecified forms, fA=4E-3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	9.6E-4	-	-	3.3E-4	8.9E-5	4.2E-7	3.2E-7
0.083333	1.9E-3	-	-	7.5E-4	1.7E-4	1.5E-6	8.3E-7
0.125	2.8E-3	-	-	1.2E-3	2.3E-4	3.2E-6	1.4E-6
0.25	5.5E-3	-	-	2.9E-3	4.2E-4	1.2E-5	3.6E-6
0.375	7.9E-3	-	-	4.8E-3	6.0E-4	2.4E-5	5.8E-6
0.5	1.0E-2	-	-	6.9E-3	7.7E-4	3.9E-5	7.8E-6
0.625	1.2E-2	-	-	8.9E-3	9.4E-4	5.6E-5	9.6E-6
0.75	1.4E-2	-	-	1.1E-2	1.1E-3	7.4E-5	1.1E-5
0.875	1.6E-2	-	-	1.2E-2	1.3E-3	9.2E-5	1.3E-5
1	1.7E-2	1.1E-2	8.4E-2	1.4E-2	1.4E-3	1.1E-4	1.4E-5
1.125	1.8E-2	-	-	1.5E-2	1.6E-3	1.3E-4	1.5E-5
1.25	1.9E-2	-	-	1.6E-2	1.8E-3	1.4E-4	1.6E-5
1.375	1.9E-2	-	-	1.6E-2	1.9E-3	1.6E-4	1.7E-5
1.5	2.0E-2	-	-	1.6E-2	2.1E-3	1.8E-4	1.8E-5
1.625	1.9E-2	-	-	1.6E-2	2.2E-3	1.9E-4	1.9E-5
1.75	1.9E-2	-	-	1.6E-2	2.4E-3	2.1E-4	2.1E-5
1.875	1.9E-2	-	-	1.5E-2	2.5E-3	2.2E-4	2.2E-5
2	1.8E-2	1.8E-3	2.7E-1	1.5E-2	2.7E-3	2.4E-4	2.3E-5
2.25	1.7E-2	-	-	1.3E-2	3.0E-3	2.6E-4	2.5E-5
2.5	1.5E-2	-	-	1.1E-2	3.3E-3	2.9E-4	2.7E-5
2.75	1.4E-2	-	-	9.2E-3	3.6E-3	3.2E-4	3.0E-5
