Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Intermediate Type M/S: Uranium octoxide, uranium dioxide, fA=6E-4
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	1.1E-3	-	-	2.4E-4	5.2E-4	7.0E-8	6.0E-8
0.083333	2.2E-3	-	-	5.8E-4	1.0E-3	3.1E-7	2.0E-7
0.125	3.3E-3	-	-	9.8E-4	1.4E-3	7.3E-7	3.8E-7
0.25	6.5E-3	-	-	2.4E-3	2.7E-3	3.2E-6	1.1E-6
0.375	9.6E-3	-	-	4.0E-3	4.0E-3	7.4E-6	2.1E-6
0.5	1.3E-2	-	-	5.7E-3	5.1E-3	1.3E-5	3.2E-6
0.625	1.5E-2	-	-	7.4E-3	6.3E-3	2.1E-5	4.3E-6
0.75	1.8E-2	-	-	9.1E-3	7.4E-3	2.9E-5	5.5E-6
0.875	2.0E-2	-	-	1.1E-2	8.5E-3	3.9E-5	6.6E-6
1	2.3E-2	4.4E-3	6.9E-2	1.2E-2	9.5E-3	4.9E-5	7.8E-6
1.125	2.4E-2	-	-	1.3E-2	1.0E-2	6.1E-5	8.9E-6
1.25	2.6E-2	-	-	1.4E-2	1.1E-2	7.2E-5	9.9E-6
1.375	2.7E-2	-	-	1.4E-2	1.2E-2	8.4E-5	1.1E-5
1.5	2.9E-2	-	-	1.5E-2	1.3E-2	9.6E-5	1.2E-5
1.625	2.9E-2	-	-	1.5E-2	1.4E-2	1.1E-4	1.3E-5
1.75	3.0E-2	-	-	1.5E-2	1.5E-2	1.2E-4	1.4E-5
1.875	3.1E-2	-	-	1.5E-2	1.6E-2	1.3E-4	1.5E-5
2	3.1E-2	2.1E-3	2.3E-1	1.4E-2	1.6E-2	1.4E-4	1.6E-5
2.25	3.2E-2	-	-	1.3E-2	1.8E-2	1.7E-4	1.7E-5
2.5	3.2E-2	-	-	1.2E-2	1.9E-2	1.9E-4	1.9E-5
2.75	3.2E-2	-	-	1.1E-2	2.0E-2	2.1E-4	2.0E-5
3	3.2E-2	8.8E-4	1.7E-1	1.0E-2	2.1E-2	2.3E-4	2.2E-5
3.25	3.2E-2	-	-	9.4E-3	2.2E-2	2.5E-4	2.3E-5
3.5	3.3E-2	-	-	8.6E-3	2.3E-2	2.7E-4	2.5E-5
3.75	3.3E-2	-	-	7.9E-3	2.4E-2	2.9E-4	2.6E-5
4	3.3E-2	4.8E-4	8.3E-2	7.4E-3	2.5E-2	3.1E-4	2.7E-5
4.25	3.4E-2	-	-	7.0E-3	2.6E-2	3.2E-4	2.9E-5
4.5	3.4E-2	-	-	6.7E-3	2.7E-2	3.4E-4	3.0E-5
4.75	3.5E-2	-	-	6.4E-3	2.8E-2	3.6E-4	3.1E-5
5	3.5E-2	3.3E-4	4.4E-2	6.2E-3	2.8E-2	3.7E-4	3.3E-5
5.5	3.6E-2	-	-	5.9E-3	3.0E-2	4.0E-4	3.5E-5
6	3.7E-2	2.7E-4	2.8E-2	5.6E-3	3.1E-2	4.3E-4	3.7E-5
6.5	3.8E-2	-	-	5.4E-3	3.2E-2	4.6E-4	3.9E-5
7	3.9E-2	2.3E-4	2.1E-2	5.2E-3	3.3E-2	4.9E-4	4.1E-5
7.5	3.9E-2	-	-	5.0E-3	3.3E-2	5.2E-4	4.3E-5
8	4.0E-2	2.1E-4	1.7E-2	4.8E-3	3.4E-2	5.4E-4	4.5E-5
8.5	4.1E-2	-	-	4.6E-3	3.5E-2	5.7E-4	4.7E-5
9	4.1E-2	1.9E-4	1.4E-2	4.4E-3	3.6E-2	5.9E-4	4.9E-5
9.5	4.2E-2	-	-	4.1E-3	3.6E-2	6.2E-4	5.1E-5
10	4.2E-2	1.8E-4	1.1E-2	3.9E-3	3.7E-2	6.4E-4	5.2E-5
11	4.3E-2	1.7E-4	9.4E-3	3.5E-3	3.9E-2	6.8E-4	5.5E-5
12	4.4E-2	1.6E-4	7.7E-3	3.1E-3	4.0E-2	7.3E-4	5.8E-5
13	4.5E-2	1.5E-4	6.4E-3	2.7E-3	4.1E-2	7.7E-4	6.1E-5
14	4.6E-2	1.4E-4	5.2E-3	2.4E-3	4.3E-2	8.1E-4	6.3E-5
15	4.7E-2	1.3E-4	4.3E-3	2.1E-3	4.4E-2	8.5E-4	6.6E-5
16	4.8E-2	1.3E-4	3.6E-3	1.8E-3	4.5E-2	8.9E-4	6.8E-5
17	5.0E-2	1.2E-4	3.0E-3	1.6E-3	4.7E-2	9.2E-4	7.0E-5
18	5.1E-2	1.1E-4	2.5E-3	1.4E-3	4.8E-2	9.6E-4	7.1E-5
19	5.2E-2	1.1E-4	2.1E-3	1.2E-3	4.9E-2	9.9E-4	7.3E-5
20	5.3E-2	1.1E-4	1.7E-3	1.1E-3	5.1E-2	1.0E-3	7.5E-5
21	5.4E-2	1.0E-4	1.5E-3	9.4E-4	5.2E-2	1.1E-3	7.6E-5
22	5.6E-2	9.8E-5	1.2E-3	8.3E-4	5.3E-2	1.1E-3	7.8E-5
23	5.7E-2	9.4E-5	1.0E-3	7.3E-4	5.4E-2	1.1E-3	7.9E-5
24	5.8E-2	9.1E-5	8.9E-4	6.5E-4	5.6E-2	1.1E-3	8.0E-5
25	5.9E-2	8.9E-5	7.7E-4	5.8E-4	5.7E-2	1.2E-3	8.1E-5
26	6.1E-2	8.6E-5	6.7E-4	5.2E-4	5.8E-2	1.2E-3	8.2E-5
27	6.2E-2	8.4E-5	5.8E-4	4.8E-4	5.9E-2	1.2E-3	8.3E-5
28	6.3E-2	8.2E-5	5.2E-4	4.4E-4	6.1E-2	1.3E-3	8.4E-5
29	6.4E-2	8.0E-5	4.6E-4	4.0E-4	6.2E-2	1.3E-3	8.5E-5
30	6.5E-2	7.8E-5	4.1E-4	3.7E-4	6.3E-2	1.3E-3	8.6E-5
31	6.6E-2	7.6E-5	3.8E-4	3.5E-4	6.4E-2	1.3E-3	8.7E-5
32	6.7E-2	7.5E-5	3.5E-4	3.3E-4	6.5E-2	1.4E-3	8.8E-5
33	6.8E-2	7.3E-5	3.2E-4	3.2E-4	6.6E-2	1.4E-3	8.9E-5
34	6.9E-2	7.2E-5	3.0E-4	3.1E-4	6.7E-2	1.4E-3	8.9E-5
35	7.0E-2	7.1E-5	2.8E-4	3.0E-4	6.8E-2	1.4E-3	9.0E-5
36	7.1E-2	7.0E-5	2.7E-4	2.9E-4	6.9E-2	1.5E-3	9.1E-5
37	7.2E-2	6.9E-5	2.6E-4	2.8E-4	7.0E-2	1.5E-3	9.1E-5
38	7.3E-2	6.8E-5	2.5E-4	2.8E-4	7.1E-2	1.5E-3	9.2E-5
39	7.4E-2	6.7E-5	2.4E-4	2.7E-4	7.1E-2	1.5E-3	9.3E-5
40	7.5E-2	6.6E-5	2.3E-4	2.7E-4	7.2E-2	1.5E-3	9.3E-5
41	7.5E-2	6.5E-5	2.3E-4	2.7E-4	7.3E-2	1.6E-3	9.4E-5
42	7.6E-2	6.5E-5	2.2E-4	2.7E-4	7.4E-2	1.6E-3	9.4E-5
43	7.7E-2	6.4E-5	2.2E-4	2.7E-4	7.4E-2	1.6E-3	9.5E-5
44	7.8E-2	6.3E-5	2.1E-4	2.7E-4	7.5E-2	1.6E-3	9.5E-5
45	7.8E-2	6.3E-5	2.1E-4	2.6E-4	7.6E-2	1.6E-3	9.6E-5
46	7.9E-2	6.2E-5	2.1E-4	2.6E-4	7.6E-2	1.6E-3	9.7E-5
47	8.0E-2	6.1E-5	2.1E-4	2.7E-4	7.7E-2	1.7E-3	9.7E-5
48	8.0E-2	6.1E-5	2.0E-4	2.7E-4	7.7E-2	1.7E-3	9.7E-5
49	8.1E-2	6.0E-5	2.0E-4	2.7E-4	7.8E-2	1.7E-3	9.8E-5
50	8.1E-2	6.0E-5	2.0E-4	2.7E-4	7.9E-2	1.7E-3	9.8E-5
51	8.2E-2	5.9E-5	2.0E-4	2.7E-4	7.9E-2	1.7E-3	9.9E-5
52	8.2E-2	5.9E-5	2.0E-4	2.7E-4	8.0E-2	1.7E-3	9.9E-5
53	8.3E-2	5.9E-5	2.0E-4	2.7E-4	8.0E-2	1.8E-3	1.0E-4
54	8.3E-2	5.8E-5	2.0E-4	2.7E-4	8.0E-2	1.8E-3	1.0E-4
55	8.4E-2	5.8E-5	2.0E-4	2.7E-4	8.1E-2	1.8E-3	1.0E-4
56	8.4E-2	5.7E-5	1.9E-4	2.7E-4	8.1E-2	1.8E-3	1.0E-4
57	8.4E-2	5.7E-5	1.9E-4	2.7E-4	8.2E-2	1.8E-3	1.0E-4
58	8.5E-2	5.7E-5	1.9E-4	2.7E-4	8.2E-2	1.8E-3	1.0E-4
59	8.5E-2	5.6E-5	1.9E-4	2.7E-4	8.2E-2	1.8E-3	1.0E-4
60	8.6E-2	5.6E-5	1.9E-4	2.7E-4	8.3E-2	1.8E-3	1.0E-4
61	8.6E-2	5.6E-5	1.9E-4	2.8E-4	8.3E-2	1.9E-3	1.0E-4
62	8.6E-2	5.5E-5	1.9E-4	2.8E-4	8.3E-2	1.9E-3	1.0E-4
63	8.6E-2	5.5E-5	1.9E-4	2.8E-4	8.4E-2	1.9E-3	1.0E-4
64	8.7E-2	5.5E-5	1.9E-4	2.8E-4	8.4E-2	1.9E-3	1.0E-4
65	8.7E-2	5.5E-5	1.9E-4	2.8E-4	8.4E-2	1.9E-3	1.0E-4
66	8.7E-2	5.4E-5	1.9E-4	2.8E-4	8.4E-2	1.9E-3	1.0E-4
67	8.7E-2	5.4E-5	1.9E-4	2.8E-4	8.5E-2	1.9E-3	1.0E-4
68	8.8E-2	5.4E-5	1.9E-4	2.8E-4	8.5E-2	1.9E-3	1.0E-4
69	8.8E-2	5.4E-5	1.8E-4	2.8E-4	8.5E-2	1.9E-3	1.1E-4
70	8.8E-2	5.3E-5	1.8E-4	2.8E-4	8.5E-2	2.0E-3	1.1E-4
71	8.8E-2	5.3E-5	1.8E-4	2.8E-4	8.5E-2	2.0E-3	1.1E-4
72	8.8E-2	5.3E-5	1.8E-4	2.8E-4	8.5E-2	2.0E-3	1.1E-4
73	8.9E-2	5.3E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
74	8.9E-2	5.2E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
75	8.9E-2	5.2E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
76	8.9E-2	5.2E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
77	8.9E-2	5.2E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
78	8.9E-2	5.2E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
79	8.9E-2	5.1E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
80	8.9E-2	5.1E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
81	8.9E-2	5.1E-5	1.8E-4	2.8E-4	8.6E-2	2.0E-3	1.1E-4
