Radionuclide	Er-163
Units	Sv per Bq

Material	Dose Coefficient e(50)	Dose Coefficients hT(50)	Bone marrow	Colon	Lung	Stomach	Breast	Ovaries	Testes	Urinary bladder	Oesophagus	Liver	Thyroid	Bone Surface	Brain	Salivary glands	Skin	Adrenals	ET of HRTM	Gall bladder	Heart	Kidneys	Lymphatic nodes	Muscle	Oral mucosa	Pancreas	Prostate	Small intestine	Spleen	Thymus	Uterus
Inhalation, Aerosols Type F, fA=5E-4, 0.03 µm	1.6E-12	Male	2.7E-13	1.6E-13	9.7E-12	6.1E-13	2.9E-13	0.0E+0	8.9E-15	5.9E-14	9.4E-13	5.1E-13	5.3E-13	2.6E-13	5.1E-14	6.6E-14	5.8E-14	2.9E-13	7.7E-13	2.4E-13	1.3E-12	1.8E-13	4.6E-13	1.1E-13	2.2E-13	2.9E-13	2.8E-14	1.6E-13	7.0E-13	9.7E-13	0.0E+0
		Female	4.2E-13	1.2E-13	1.1E-11	5.6E-13	4.7E-13	7.0E-14	0.0E+0	8.4E-14	1.3E-12	5.6E-13	7.2E-13	3.7E-13	6.2E-14	1.4E-13	8.5E-14	3.0E-13	9.1E-13	2.5E-13	1.6E-12	2.1E-13	5.7E-13	1.5E-13	4.1E-13	2.6E-13	0.0E+0	1.8E-13	7.2E-13	1.3E-12	6.8E-14
Inhalation, Aerosols Type F, fA=5E-4, 0.1 µm	7.8E-13	Male	1.4E-13	1.0E-13	4.7E-12	3.5E-13	1.5E-13	0.0E+0	4.5E-15	3.1E-14	4.8E-13	2.6E-13	2.7E-13	1.3E-13	3.4E-14	3.9E-14	3.1E-14	1.5E-13	5.4E-13	1.3E-13	6.6E-13	1.0E-13	2.4E-13	5.5E-14	1.5E-13	1.8E-13	1.4E-14	1.0E-13	3.6E-13	4.8E-13	0.0E+0
		Female	2.1E-13	7.8E-14	5.2E-12	3.3E-13	2.4E-13	4.3E-14	0.0E+0	4.9E-14	6.5E-13	2.9E-13	3.7E-13	1.9E-13	4.1E-14	8.3E-14	4.5E-14	1.6E-13	6.3E-13	1.4E-13	8.2E-13	1.2E-13	3.0E-13	7.7E-14	2.8E-13	1.6E-13	0.0E+0	1.2E-13	3.8E-13	6.6E-13	4.2E-14
Inhalation, Aerosols Type F, fA=5E-4, 0.3 µm	5.8E-13	Male	1.1E-13	1.4E-13	3.2E-12	4.1E-13	1.1E-13	0.0E+0	3.3E-15	2.7E-14	3.7E-13	2.1E-13	2.0E-13	1.1E-13	5.2E-14	4.5E-14	3.0E-14	1.4E-13	8.9E-13	1.4E-13	5.0E-13	1.1E-13	2.1E-13	4.4E-14	2.5E-13	2.2E-13	1.2E-14	1.4E-13	3.0E-13	3.5E-13	0.0E+0
		Female	1.7E-13	1.1E-13	3.6E-12	4.0E-13	1.8E-13	5.6E-14	0.0E+0	5.7E-14	5.0E-13	2.3E-13	2.9E-13	1.5E-13	6.0E-14	1.1E-13	4.0E-14	1.5E-13	1.0E-12	1.4E-13	6.1E-13	1.3E-13	2.6E-13	6.3E-14	4.4E-13	2.2E-13	0.0E+0	1.7E-13	3.5E-13	4.8E-13	5.6E-14
Inhalation, Aerosols Type F, fA=5E-4, 1 µm	6.1E-13	Male	1.3E-13	4.1E-13	2.1E-12	1.0E-12	1.1E-13	0.0E+0	3.0E-15	4.3E-14	4.2E-13	2.7E-13	2.1E-13	1.3E-13	1.6E-13	1.1E-13	5.8E-14	2.6E-13	2.9E-12	3.1E-13	5.0E-13	2.6E-13	3.3E-13	5.6E-14	8.1E-13	5.9E-13	1.5E-14	4.3E-13	4.1E-13	2.8E-13	0.0E+0
		Female	2.0E-13	3.5E-13	2.4E-12	1.0E-12	1.6E-13	1.6E-13	0.0E+0	1.5E-13	5.4E-13	2.9E-13	3.7E-13	2.0E-13	1.9E-13	2.9E-13	6.8E-14	2.9E-13	3.3E-12	2.7E-13	5.5E-13	3.2E-13	4.0E-13	8.4E-14	1.4E-12	6.2E-13	0.0E+0	5.2E-13	6.0E-13	4.0E-13	1.6E-13
Inhalation, Aerosols Type F, fA=5E-4, 3 µm	7.8E-13	Male	1.6E-13	7.0E-13	1.9E-12	1.7E-12	1.3E-13	0.0E+0	3.1E-15	6.4E-14	5.2E-13	3.6E-13	2.5E-13	1.7E-13	2.9E-13	1.9E-13	9.1E-14	3.9E-13	5.2E-12	5.0E-13	5.8E-13	4.4E-13	4.8E-13	7.5E-14	1.4E-12	1.0E-12	2.0E-14	7.4E-13	5.8E-13	2.6E-13	0.0E+0
		Female	2.5E-13	6.1E-13	2.2E-12	1.8E-12	1.7E-13	2.7E-13	0.0E+0	2.4E-13	6.5E-13	3.8E-13	4.8E-13	2.6E-13	3.3E-13	5.0E-13	1.0E-13	4.6E-13	5.8E-12	4.3E-13	5.8E-13	5.4E-13	5.8E-13	1.1E-13	2.5E-12	1.1E-12	0.0E+0	9.1E-13	9.1E-13	3.8E-13	2.7E-13
Inhalation, Aerosols Type F, fA=5E-4, 5 µm	7.6E-13	Male	1.6E-13	7.7E-13	1.5E-12	1.8E-12	1.3E-13	0.0E+0	2.8E-15	6.7E-14	5.1E-13	3.7E-13	2.4E-13	1.8E-13	3.2E-13	2.1E-13	9.7E-14	4.2E-13	5.7E-12	5.4E-13	5.4E-13	4.7E-13	5.0E-13	7.5E-14	1.6E-12	1.1E-12	2.0E-14	8.1E-13	5.9E-13	2.2E-13	0.0E+0
