Radionuclide	Cd-118
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-4
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	4.1E-1	-	8.8E-2	1.9E-1	1.7E-6	1.1E-4
0.083333	1.8E-1	-	4.6E-2	7.9E-2	9.7E-7	8.5E-5
0.125	7.7E-2	-	2.3E-2	3.4E-2	5.2E-7	5.2E-5
0.25	6.4E-3	-	2.3E-3	2.7E-3	6.1E-8	7.1E-6
0.375	5.2E-4	-	2.2E-4	2.2E-4	6.2E-9	7.6E-7
0.5	4.3E-5	-	2.0E-5	1.8E-5	5.8E-10	7.3E-8
0.625	3.5E-6	-	1.7E-6	1.5E-6	-	6.7E-9
0.75	2.9E-7	-	1.5E-7	1.2E-7	-	6.0E-10
0.875	2.4E-8	-	1.2E-8	9.9E-9	-	-
1	1.9E-9	1.7E-10	1.0E-9	8.1E-10	-	-
1.125	1.6E-10	-	-	-	-	-
