Radionuclide	Cd-118
Route of Intake	Ingestion
Material	All forms, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	4.4E-1	-	4.4E-1	1.6E-5	6.7E-4
0.083333	1.9E-1	-	1.9E-1	1.3E-5	8.9E-4
0.125	8.4E-2	-	8.2E-2	7.4E-6	6.6E-4
0.25	7.0E-3	-	6.7E-3	9.1E-7	1.1E-4
0.375	5.8E-4	-	5.6E-4	8.8E-8	1.1E-5
0.5	4.8E-5	-	4.5E-5	7.9E-9	1.0E-6
0.625	3.9E-6	-	3.7E-6	6.9E-10	8.9E-8
0.75	3.1E-7	-	2.9E-7	-	7.7E-9
0.875	2.4E-8	-	2.3E-8	-	6.5E-10
1	1.9E-9	5.0E-10	1.8E-9	-	-
1.125	1.5E-10	-	1.4E-10	-	-
