Radionuclide	C-14
Route of Intake	Inhalation
Material	Gas or vapour Type V, Carbon dioxide 
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	4.8E-1	-	-	1.9E-2	1.4E-2
0.083333	2.9E-1	-	-	1.3E-2	9.1E-3
0.125	1.9E-1	-	-	9.1E-3	6.8E-3
0.25	8.4E-2	-	-	5.5E-3	4.5E-3
0.375	6.1E-2	-	-	4.8E-3	4.2E-3
0.5	5.4E-2	-	-	4.5E-3	4.1E-3
0.625	4.9E-2	-	-	4.3E-3	4.1E-3
0.75	4.5E-2	-	-	4.0E-3	4.1E-3
0.875	4.1E-2	-	-	3.7E-3	4.1E-3
1	3.8E-2	1.8E-2	1.1E-3	3.4E-3	4.1E-3
1.125	3.6E-2	-	-	3.1E-3	4.1E-3
1.25	3.4E-2	-	-	2.8E-3	4.1E-3
1.375	3.2E-2	-	-	2.5E-3	4.1E-3
1.5	3.0E-2	-	-	2.3E-3	4.1E-3
1.625	2.9E-2	-	-	2.0E-3	4.1E-3
1.75	2.7E-2	-	-	1.8E-3	4.1E-3
1.875	2.6E-2	-	-	1.6E-3	4.1E-3
2	2.5E-2	7.2E-4	1.8E-3	1.4E-3	4.1E-3
2.25	2.3E-2	-	-	1.1E-3	4.0E-3
2.5	2.2E-2	-	-	9.2E-4	4.0E-3
2.75	2.1E-2	-	-	7.4E-4	4.0E-3
3	2.0E-2	2.4E-4	7.6E-4	6.1E-4	4.0E-3
3.25	2.0E-2	-	-	5.2E-4	4.0E-3
3.5	1.9E-2	-	-	4.5E-4	4.0E-3
3.75	1.9E-2	-	-	3.9E-4	4.0E-3
4	1.8E-2	1.1E-4	2.3E-4	3.6E-4	3.9E-3
4.25	1.8E-2	-	-	3.3E-4	3.9E-3
4.5	1.8E-2	-	-	3.1E-4	3.9E-3
4.75	1.7E-2	-	-	2.9E-4	3.9E-3
5	1.7E-2	6.4E-5	6.0E-5	2.8E-4	3.9E-3
5.5	1.7E-2	-	-	2.6E-4	3.9E-3
6	1.6E-2	4.7E-5	1.7E-5	2.5E-4	3.8E-3
6.5	1.6E-2	-	-	2.4E-4	3.8E-3
7	1.6E-2	3.8E-5	6.1E-6	2.4E-4	3.8E-3
7.5	1.5E-2	-	-	2.3E-4	3.7E-3
8	1.5E-2	3.2E-5	3.4E-6	2.2E-4	3.7E-3
8.5	1.5E-2	-	-	2.2E-4	3.7E-3
9	1.5E-2	2.7E-5	2.5E-6	2.2E-4	3.7E-3
9.5	1.4E-2	-	-	2.1E-4	3.6E-3
10	1.4E-2	2.4E-5	2.1E-6	2.1E-4	3.6E-3
