Radionuclide	Cl-36
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*
0.041667	1.0E+0	-	-	2.1E-2
0.083333	1.0E+0	-	-	2.1E-2
0.125	9.9E-1	-	-	2.1E-2
0.25	9.9E-1	-	-	2.1E-2
0.375	9.8E-1	-	-	2.1E-2
0.5	9.7E-1	-	-	2.1E-2
0.625	9.7E-1	-	-	2.1E-2
0.75	9.6E-1	-	-	2.1E-2
0.875	9.5E-1	-	-	2.1E-2
1	9.5E-1	5.5E-2	7.3E-5	2.1E-2
1.125	9.4E-1	-	-	2.0E-2
1.25	9.3E-1	-	-	2.0E-2
1.375	9.2E-1	-	-	2.0E-2
1.5	9.2E-1	-	-	2.0E-2
1.625	9.1E-1	-	-	2.0E-2
1.75	9.0E-1	-	-	2.0E-2
1.875	9.0E-1	-	-	2.0E-2
2	8.9E-1	5.3E-2	3.3E-4	2.0E-2
2.25	8.8E-1	-	-	1.9E-2
2.5	8.7E-1	-	-	1.9E-2
2.75	8.5E-1	-	-	1.9E-2
3	8.4E-1	5.0E-2	4.7E-4	1.9E-2
3.25	8.3E-1	-	-	1.8E-2
3.5	8.2E-1	-	-	1.8E-2
3.75	8.1E-1	-	-	1.8E-2
4	7.9E-1	4.7E-2	4.9E-4	1.8E-2
4.25	7.8E-1	-	-	1.7E-2
4.5	7.7E-1	-	-	1.7E-2
4.75	7.6E-1	-	-	1.7E-2
5	7.5E-1	4.4E-2	4.8E-4	1.7E-2
5.5	7.3E-1	-	-	1.6E-2
6	7.1E-1	4.2E-2	4.6E-4	1.6E-2
6.5	6.9E-1	-	-	1.5E-2
7	6.7E-1	4.0E-2	4.3E-4	1.5E-2
7.5	6.5E-1	-	-	1.4E-2
8	6.3E-1	3.7E-2	4.1E-4	1.4E-2
8.5	6.1E-1	-	-	1.3E-2
9	5.9E-1	3.5E-2	3.8E-4	1.3E-2
9.5	5.8E-1	-	-	1.3E-2
10	5.6E-1	3.3E-2	3.6E-4	1.2E-2
11	5.3E-1	3.1E-2	3.4E-4	1.2E-2
12	5.0E-1	3.0E-2	3.2E-4	1.1E-2
13	4.7E-1	2.8E-2	3.0E-4	1.0E-2
14	4.4E-1	2.6E-2	2.9E-4	9.8E-3
15	4.2E-1	2.5E-2	2.7E-4	9.2E-3
16	3.9E-1	2.3E-2	2.5E-4	8.7E-3
17	3.7E-1	2.2E-2	2.4E-4	8.2E-3
18	3.5E-1	2.1E-2	2.3E-4	7.8E-3
19	3.3E-1	2.0E-2	2.1E-4	7.3E-3
20	3.1E-1	1.9E-2	2.0E-4	6.9E-3
21	2.9E-1	1.7E-2	1.9E-4	6.5E-3
22	2.8E-1	1.7E-2	1.8E-4	6.1E-3
23	2.6E-1	1.6E-2	1.7E-4	5.8E-3
24	2.5E-1	1.5E-2	1.6E-4	5.5E-3
25	2.3E-1	1.4E-2	1.5E-4	5.2E-3
26	2.2E-1	1.3E-2	1.4E-4	4.9E-3
27	2.1E-1	1.2E-2	1.3E-4	4.6E-3
28	2.0E-1	1.2E-2	1.3E-4	4.3E-3
29	1.8E-1	1.1E-2	1.2E-4	4.1E-3
30	1.7E-1	1.0E-2	1.1E-4	3.9E-3
31	1.6E-1	9.8E-3	1.1E-4	3.6E-3
32	1.6E-1	9.2E-3	1.0E-4	3.4E-3
33	1.5E-1	8.7E-3	9.5E-5	3.2E-3
34	1.4E-1	8.2E-3	8.9E-5	3.1E-3
35	1.3E-1	7.7E-3	8.4E-5	2.9E-3
36	1.2E-1	7.3E-3	7.9E-5	2.7E-3
37	1.2E-1	6.9E-3	7.5E-5	2.6E-3
38	1.1E-1	6.5E-3	7.1E-5	2.4E-3
39	1.0E-1	6.1E-3	6.7E-5	2.3E-3
40	9.7E-2	5.8E-3	6.3E-5	2.2E-3
41	9.2E-2	5.5E-3	5.9E-5	2.0E-3
42	8.7E-2	5.1E-3	5.6E-5	1.9E-3
43	8.2E-2	4.9E-3	5.3E-5	1.8E-3
44	7.7E-2	4.6E-3	5.0E-5	1.7E-3
45	7.3E-2	4.3E-3	4.7E-5	1.6E-3
46	6.9E-2	4.1E-3	4.4E-5	1.5E-3
47	6.5E-2	3.8E-3	4.2E-5	1.4E-3
48	6.1E-2	3.6E-3	3.9E-5	1.4E-3
49	5.8E-2	3.4E-3	3.7E-5	1.3E-3
50	5.4E-2	3.2E-3	3.5E-5	1.2E-3
51	5.1E-2	3.0E-3	3.3E-5	1.1E-3
52	4.8E-2	2.9E-3	3.1E-5	1.1E-3
53	4.6E-2	2.7E-3	2.9E-5	1.0E-3
54	4.3E-2	2.6E-3	2.8E-5	9.5E-4
55	4.1E-2	2.4E-3	2.6E-5	9.0E-4
56	3.8E-2	2.3E-3	2.5E-5	8.5E-4
57	3.6E-2	2.1E-3	2.3E-5	8.0E-4
58	3.4E-2	2.0E-3	2.2E-5	7.5E-4
59	3.2E-2	1.9E-3	2.1E-5	7.1E-4
60	3.0E-2	1.8E-3	2.0E-5	6.7E-4
61	2.9E-2	1.7E-3	1.8E-5	6.3E-4
62	2.7E-2	1.6E-3	1.7E-5	6.0E-4
63	2.5E-2	1.5E-3	1.6E-5	5.6E-4
64	2.4E-2	1.4E-3	1.6E-5	5.3E-4
65	2.3E-2	1.3E-3	1.5E-5	5.0E-4
66	2.1E-2	1.3E-3	1.4E-5	4.7E-4
67	2.0E-2	1.2E-3	1.3E-5	4.5E-4
68	1.9E-2	1.1E-3	1.2E-5	4.2E-4
69	1.8E-2	1.1E-3	1.2E-5	4.0E-4
70	1.7E-2	1.0E-3	1.1E-5	3.7E-4
71	1.6E-2	9.5E-4	1.0E-5	3.5E-4
72	1.5E-2	9.0E-4	9.7E-6	3.3E-4
73	1.4E-2	8.5E-4	9.2E-6	3.1E-4
74	1.3E-2	8.0E-4	8.7E-6	3.0E-4
75	1.3E-2	7.5E-4	8.2E-6	2.8E-4
76	1.2E-2	7.1E-4	7.7E-6	2.6E-4
77	1.1E-2	6.7E-4	7.3E-6	2.5E-4
78	1.1E-2	6.3E-4	6.9E-6	2.4E-4
79	1.0E-2	6.0E-4	6.5E-6	2.2E-4
80	9.5E-3	5.6E-4	6.1E-6	2.1E-4
81	8.9E-3	5.3E-4	5.8E-6	2.0E-4
82	8.4E-3	5.0E-4	5.4E-6	1.9E-4
83	7.9E-3	4.7E-4	5.1E-6	1.8E-4
84	7.5E-3	4.5E-4	4.8E-6	1.7E-4
85	7.1E-3	4.2E-4	4.6E-6	1.6E-4
86	6.7E-3	4.0E-4	4.3E-6	1.5E-4
87	6.3E-3	3.7E-4	4.1E-6	1.4E-4
88	5.9E-3	3.5E-4	3.8E-6	1.3E-4
89	5.6E-3	3.3E-4	3.6E-6	1.2E-4
90	5.3E-3	3.1E-4	3.4E-6	1.2E-4
91	5.0E-3	3.0E-4	3.2E-6	1.1E-4
92	4.7E-3	2.8E-4	3.0E-6	1.0E-4
93	4.4E-3	2.6E-4	2.9E-6	9.8E-5
94	4.2E-3	2.5E-4	2.7E-6	9.3E-5
95	4.0E-3	2.3E-4	2.5E-6	8.7E-5
96	3.7E-3	2.2E-4	2.4E-6	8.2E-5
97	3.5E-3	2.1E-4	2.3E-6	7.8E-5
98	3.3E-3	2.0E-4	2.1E-6	7.3E-5
99	3.1E-3	1.9E-4	2.0E-6	6.9E-5
100	3.0E-3	1.8E-4	1.9E-6	6.5E-5
110	1.6E-3	9.8E-5	1.1E-6	3.6E-5
120	9.2E-4	5.5E-5	5.9E-7	2.0E-5
130	5.1E-4	3.1E-5	3.3E-7	1.1E-5
140	2.9E-4	1.7E-5	1.9E-7	6.3E-6
150	1.6E-4	9.5E-6	1.0E-7	3.5E-6
160	8.9E-5	5.3E-6	5.8E-8	2.0E-6
170	5.0E-5	3.0E-6	3.2E-8	1.1E-6
180	2.8E-5	1.7E-6	1.8E-8	6.2E-7
190	1.6E-5	9.2E-7	1.0E-8	3.4E-7
200	8.7E-6	5.2E-7	5.6E-9	1.9E-7
210	4.9E-6	2.9E-7	3.1E-9	1.1E-7
220	2.7E-6	1.6E-7	1.7E-9	6.0E-8
230	1.5E-6	9.0E-8	9.8E-10	3.3E-8
240	8.5E-7	5.0E-8	5.5E-10	1.9E-8
250	4.7E-7	2.8E-8	3.0E-10	1.0E-8
260	2.6E-7	1.6E-8	1.7E-10	5.8E-9
270	1.5E-7	8.7E-9	-	3.3E-9
280	8.2E-8	4.9E-9	-	1.8E-9
290	4.6E-8	2.7E-9	-	1.0E-9
300	2.6E-8	1.5E-9	-	5.7E-10
310	1.4E-8	8.5E-10	-	3.2E-10
320	8.0E-9	4.7E-10	-	1.8E-10
330	4.5E-9	2.6E-10	-	-
340	2.5E-9	1.5E-10	-	-
350	1.4E-9	-	-	-
360	7.8E-10	-	-	-
365	5.8E-10	-	-	-
370	4.3E-10	-	-	-
380	2.4E-10	-	-	-
390	1.4E-10	-	-	-
