Radionuclide	Ca-45
Route of Intake	Ingestion
Material	All unspecified forms, fA=0.4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	1.0E+0	-	-	9.6E-1	4.9E-3
0.083333	1.0E+0	-	-	8.8E-1	1.8E-2
0.125	1.0E+0	-	-	8.1E-1	3.4E-2
0.25	9.9E-1	-	-	6.8E-1	7.6E-2
0.375	9.8E-1	-	-	6.3E-1	1.0E-1
0.5	9.6E-1	-	-	6.0E-1	1.2E-1
0.625	9.3E-1	-	-	5.8E-1	1.3E-1
0.75	9.0E-1	-	-	5.5E-1	1.3E-1
0.875	8.6E-1	-	-	5.1E-1	1.4E-1
1	8.2E-1	2.9E-2	1.5E-1	4.8E-1	1.4E-1
1.125	7.7E-1	-	-	4.4E-1	1.4E-1
1.25	7.3E-1	-	-	4.0E-1	1.5E-1
1.375	6.9E-1	-	-	3.6E-1	1.5E-1
1.5	6.5E-1	-	-	3.2E-1	1.5E-1
1.625	6.1E-1	-	-	2.8E-1	1.5E-1
1.75	5.7E-1	-	-	2.5E-1	1.5E-1
1.875	5.4E-1	-	-	2.2E-1	1.5E-1
2	5.1E-1	1.4E-2	2.9E-1	1.9E-1	1.5E-1
2.25	4.6E-1	-	-	1.5E-1	1.5E-1
2.5	4.2E-1	-	-	1.1E-1	1.5E-1
2.75	3.9E-1	-	-	8.3E-2	1.5E-1
3	3.6E-1	1.0E-2	1.4E-1	6.3E-2	1.4E-1
3.25	3.4E-1	-	-	4.8E-2	1.4E-1
3.5	3.3E-1	-	-	3.7E-2	1.4E-1
3.75	3.2E-1	-	-	3.0E-2	1.4E-1
4	3.1E-1	8.0E-3	4.4E-2	2.4E-2	1.4E-1
4.25	3.0E-1	-	-	2.0E-2	1.4E-1
4.5	2.9E-1	-	-	1.7E-2	1.3E-1
4.75	2.9E-1	-	-	1.5E-2	1.3E-1
5	2.8E-1	6.8E-3	1.5E-2	1.4E-2	1.3E-1
5.5	2.8E-1	-	-	1.2E-2	1.3E-1
6	2.7E-1	5.9E-3	7.3E-3	1.1E-2	1.3E-1
6.5	2.6E-1	-	-	9.7E-3	1.3E-1
7	2.6E-1	5.2E-3	5.1E-3	9.1E-3	1.3E-1
7.5	2.5E-1	-	-	8.6E-3	1.3E-1
8	2.5E-1	4.6E-3	4.2E-3	8.1E-3	1.3E-1
8.5	2.4E-1	-	-	7.7E-3	1.3E-1
9	2.4E-1	4.2E-3	3.7E-3	7.4E-3	1.2E-1
9.5	2.4E-1	-	-	7.0E-3	1.2E-1
10	2.3E-1	3.8E-3	3.3E-3	6.7E-3	1.2E-1
11	2.2E-1	3.5E-3	3.0E-3	6.2E-3	1.2E-1
12	2.2E-1	3.2E-3	2.7E-3	5.7E-3	1.2E-1
13	2.1E-1	2.9E-3	2.5E-3	5.2E-3	1.2E-1
14	2.1E-1	2.7E-3	2.3E-3	4.8E-3	1.2E-1
15	2.0E-1	2.5E-3	2.1E-3	4.5E-3	1.3E-1
16	1.9E-1	2.3E-3	1.9E-3	4.1E-3	1.3E-1
17	1.9E-1	2.1E-3	1.8E-3	3.8E-3	1.3E-1
18	1.9E-1	2.0E-3	1.6E-3	3.6E-3	1.3E-1
19	1.8E-1	1.8E-3	1.5E-3	3.3E-3	1.3E-1
20	1.8E-1	1.7E-3	1.4E-3	3.1E-3	1.3E-1
21	1.7E-1	1.6E-3	1.3E-3	2.9E-3	1.3E-1
22	1.7E-1	1.5E-3	1.2E-3	2.7E-3	1.3E-1
23	1.7E-1	1.4E-3	1.1E-3	2.5E-3	1.3E-1
24	1.6E-1	1.3E-3	1.1E-3	2.3E-3	1.3E-1
25	1.6E-1	1.2E-3	9.8E-4	2.2E-3	1.2E-1
26	1.6E-1	1.1E-3	9.2E-4	2.0E-3	1.2E-1
27	1.6E-1	1.0E-3	8.5E-4	1.9E-3	1.2E-1
28	1.5E-1	9.7E-4	8.0E-4	1.7E-3	1.2E-1
29	1.5E-1	9.0E-4	7.4E-4	1.6E-3	1.2E-1
30	1.5E-1	8.4E-4	6.9E-4	1.5E-3	1.2E-1
31	1.5E-1	7.9E-4	6.5E-4	1.4E-3	1.2E-1
32	1.4E-1	7.4E-4	6.1E-4	1.3E-3	1.2E-1
33	1.4E-1	6.9E-4	5.7E-4	1.2E-3	1.2E-1
34	1.4E-1	6.5E-4	5.3E-4	1.2E-3	1.2E-1
35	1.4E-1	6.1E-4	5.0E-4	1.1E-3	1.2E-1
36	1.4E-1	5.7E-4	4.7E-4	1.0E-3	1.2E-1
37	1.4E-1	5.3E-4	4.4E-4	9.6E-4	1.2E-1
38	1.3E-1	5.0E-4	4.1E-4	9.0E-4	1.2E-1
39	1.3E-1	4.7E-4	3.8E-4	8.4E-4	1.2E-1
40	1.3E-1	4.4E-4	3.6E-4	7.9E-4	1.2E-1
41	1.3E-1	4.2E-4	3.4E-4	7.4E-4	1.2E-1
42	1.3E-1	3.9E-4	3.2E-4	7.0E-4	1.2E-1
43	1.3E-1	3.7E-4	3.0E-4	6.6E-4	1.2E-1
44	1.3E-1	3.5E-4	2.8E-4	6.2E-4	1.2E-1
45	1.3E-1	3.3E-4	2.7E-4	5.8E-4	1.2E-1
46	1.2E-1	3.1E-4	2.5E-4	5.5E-4	1.2E-1
47	1.2E-1	2.9E-4	2.4E-4	5.2E-4	1.2E-1
48	1.2E-1	2.8E-4	2.2E-4	4.9E-4	1.1E-1
49	1.2E-1	2.6E-4	2.1E-4	4.6E-4	1.1E-1
50	1.2E-1	2.5E-4	2.0E-4	4.4E-4	1.1E-1
51	1.2E-1	2.4E-4	1.9E-4	4.2E-4	1.1E-1
52	1.2E-1	2.3E-4	1.8E-4	4.0E-4	1.1E-1
53	1.2E-1	2.1E-4	1.7E-4	3.8E-4	1.1E-1
54	1.2E-1	2.0E-4	1.6E-4	3.6E-4	1.1E-1
55	1.2E-1	1.9E-4	1.6E-4	3.4E-4	1.1E-1
56	1.2E-1	1.9E-4	1.5E-4	3.2E-4	1.1E-1
57	1.1E-1	1.8E-4	1.4E-4	3.1E-4	1.1E-1
58	1.1E-1	1.7E-4	1.3E-4	3.0E-4	1.1E-1
59	1.1E-1	1.6E-4	1.3E-4	2.8E-4	1.1E-1
60	1.1E-1	1.6E-4	1.2E-4	2.7E-4	1.1E-1
61	1.1E-1	1.5E-4	1.2E-4	2.6E-4	1.1E-1
62	1.1E-1	1.4E-4	1.1E-4	2.5E-4	1.1E-1
63	1.1E-1	1.4E-4	1.1E-4	2.4E-4	1.1E-1
64	1.1E-1	1.3E-4	1.0E-4	2.3E-4	1.1E-1
65	1.1E-1	1.3E-4	1.0E-4	2.2E-4	1.1E-1
66	1.1E-1	1.2E-4	9.7E-5	2.1E-4	1.0E-1
67	1.1E-1	1.2E-4	9.4E-5	2.1E-4	1.0E-1
68	1.1E-1	1.2E-4	9.0E-5	2.0E-4	1.0E-1
69	1.1E-1	1.1E-4	8.7E-5	1.9E-4	1.0E-1
70	1.1E-1	1.1E-4	8.4E-5	1.9E-4	1.0E-1
71	1.0E-1	1.0E-4	8.2E-5	1.8E-4	1.0E-1
72	1.0E-1	1.0E-4	7.9E-5	1.7E-4	1.0E-1
73	1.0E-1	9.9E-5	7.7E-5	1.7E-4	1.0E-1
74	1.0E-1	9.6E-5	7.5E-5	1.6E-4	1.0E-1
75	1.0E-1	9.4E-5	7.3E-5	1.6E-4	1.0E-1
