Radionuclide	Ra-228
Route of Intake	Inhalation
Material	Aerosols Type S, fA=2E-3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Lungs* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
0.041667	8.6E-2	-	-	3.0E-2	8.1E-3	3.5E-6	2.9E-6
0.083333	1.6E-1	-	-	6.4E-2	1.5E-2	1.3E-5	9.5E-6
0.125	2.3E-1	-	-	9.8E-2	2.0E-2	2.8E-5	1.8E-5
0.25	3.8E-1	-	-	2.0E-1	3.2E-2	9.5E-5	5.3E-5
0.375	4.7E-1	-	-	2.9E-1	4.1E-2	1.8E-4	8.7E-5
0.5	5.3E-1	-	-	3.6E-1	4.7E-2	2.6E-4	1.2E-4
0.625	5.7E-1	-	-	4.1E-1	5.1E-2	3.4E-4	1.4E-4
0.75	5.9E-1	-	-	4.4E-1	5.4E-2	4.0E-4	1.5E-4
0.875	5.8E-1	-	-	4.6E-1	5.6E-2	4.6E-4	1.6E-4
1	5.7E-1	2.6E-5	8.5E-2	4.6E-1	5.8E-2	5.0E-4	1.7E-4
1.125	5.5E-1	-	-	4.5E-1	5.9E-2	5.3E-4	1.7E-4
1.25	5.3E-1	-	-	4.3E-1	5.9E-2	5.5E-4	1.7E-4
1.375	5.0E-1	-	-	4.1E-1	6.0E-2	5.7E-4	1.7E-4
1.5	4.6E-1	-	-	3.8E-1	6.0E-2	5.7E-4	1.6E-4
1.625	4.3E-1	-	-	3.5E-1	6.0E-2	5.8E-4	1.6E-4
1.75	3.9E-1	-	-	3.2E-1	6.0E-2	5.8E-4	1.5E-4
1.875	3.6E-1	-	-	2.9E-1	6.0E-2	5.7E-4	1.5E-4
2	3.3E-1	9.4E-6	2.7E-1	2.6E-1	6.0E-2	5.7E-4	1.4E-4
2.25	2.7E-1	-	-	2.1E-1	6.0E-2	5.5E-4	1.3E-4
2.5	2.2E-1	-	-	1.6E-1	5.9E-2	5.4E-4	1.2E-4
2.75	1.8E-1	-	-	1.2E-1	5.9E-2	5.2E-4	1.1E-4
3	1.5E-1	5.0E-6	1.8E-1	9.2E-2	5.9E-2	5.0E-4	1.0E-4
3.25	1.3E-1	-	-	6.9E-2	5.8E-2	4.8E-4	9.6E-5
3.5	1.1E-1	-	-	5.0E-2	5.8E-2	4.6E-4	8.8E-5
3.75	9.6E-2	-	-	3.7E-2	5.8E-2	4.4E-4	8.1E-5
4	8.6E-2	3.4E-6	6.7E-2	2.7E-2	5.7E-2	4.3E-4	7.5E-5
4.25	7.8E-2	-	-	2.0E-2	5.7E-2	4.1E-4	6.9E-5
4.5	7.2E-2	-	-	1.4E-2	5.7E-2	4.0E-4	6.3E-5
4.75	6.8E-2	-	-	1.1E-2	5.7E-2	3.8E-4	5.9E-5
5	6.5E-2	2.4E-6	2.0E-2	7.8E-3	5.7E-2	3.7E-4	5.4E-5
5.5	6.2E-2	-	-	4.5E-3	5.6E-2	3.5E-4	4.6E-5
6	6.0E-2	1.7E-6	5.8E-3	2.9E-3	5.6E-2	3.3E-4	3.9E-5
6.5	5.8E-2	-	-	2.1E-3	5.5E-2	3.2E-4	3.4E-5
7	5.7E-2	1.3E-6	2.0E-3	1.6E-3	5.5E-2	3.1E-4	2.9E-5
7.5	5.7E-2	-	-	1.4E-3	5.5E-2	3.0E-4	2.5E-5
8	5.6E-2	9.7E-7	1.0E-3	1.2E-3	5.4E-2	2.9E-4	2.2E-5
8.5	5.6E-2	-	-	1.1E-3	5.4E-2	2.8E-4	1.9E-5
9	5.6E-2	7.5E-7	7.4E-4	9.8E-4	5.4E-2	2.7E-4	1.7E-5
9.5	5.5E-2	-	-	9.0E-4	5.4E-2	2.7E-4	1.5E-5
10	5.5E-2	5.9E-7	5.9E-4	8.3E-4	5.3E-2	2.6E-4	1.3E-5
11	5.5E-2	4.8E-7	5.0E-4	7.1E-4	5.3E-2	2.5E-4	1.1E-5
12	5.4E-2	4.0E-7	4.3E-4	6.1E-4	5.3E-2	2.5E-4	9.3E-6
13	5.4E-2	3.4E-7	3.7E-4	5.3E-4	5.2E-2	2.4E-4	8.0E-6
14	5.3E-2	3.0E-7	3.2E-4	4.7E-4	5.2E-2	2.4E-4	7.2E-6
15	5.3E-2	2.8E-7	2.8E-4	4.1E-4	5.2E-2	2.3E-4	6.6E-6
16	5.3E-2	2.5E-7	2.5E-4	3.7E-4	5.2E-2	2.3E-4	6.1E-6
17	5.3E-2	2.4E-7	2.2E-4	3.4E-4	5.1E-2	2.3E-4	5.8E-6
18	5.2E-2	2.3E-7	2.0E-4	3.1E-4	5.1E-2	2.2E-4	5.6E-6
19	5.2E-2	2.2E-7	1.8E-4	2.8E-4	5.1E-2	2.2E-4	5.4E-6
20	5.2E-2	2.1E-7	1.7E-4	2.6E-4	5.1E-2	2.2E-4	5.3E-6
21	5.2E-2	2.1E-7	1.6E-4	2.5E-4	5.1E-2	2.2E-4	5.2E-6
22	5.2E-2	2.0E-7	1.5E-4	2.4E-4	5.1E-2	2.2E-4	5.1E-6
23	5.1E-2	2.0E-7	1.4E-4	2.2E-4	5.0E-2	2.1E-4	5.1E-6
24	5.1E-2	2.0E-7	1.3E-4	2.2E-4	5.0E-2	2.1E-4	5.0E-6
25	5.1E-2	2.0E-7	1.3E-4	2.1E-4	5.0E-2	2.1E-4	5.0E-6
26	5.1E-2	1.9E-7	1.2E-4	2.0E-4	5.0E-2	2.1E-4	5.0E-6
27	5.1E-2	1.9E-7	1.2E-4	2.0E-4	5.0E-2	2.1E-4	4.9E-6
28	5.1E-2	1.9E-7	1.2E-4	1.9E-4	5.0E-2	2.0E-4	4.9E-6
29	5.1E-2	1.9E-7	1.1E-4	1.9E-4	5.0E-2	2.0E-4	4.9E-6
30	5.0E-2	1.9E-7	1.1E-4	1.9E-4	5.0E-2	2.0E-4	4.9E-6
31	5.0E-2	1.9E-7	1.1E-4	1.8E-4	4.9E-2	2.0E-4	4.9E-6
32	5.0E-2	1.9E-7	1.1E-4	1.8E-4	4.9E-2	2.0E-4	4.9E-6
33	5.0E-2	1.8E-7	1.1E-4	1.8E-4	4.9E-2	1.9E-4	4.8E-6
34	5.0E-2	1.8E-7	1.1E-4	1.8E-4	4.9E-2	1.9E-4	4.8E-6
35	5.0E-2	1.8E-7	1.0E-4	1.7E-4	4.9E-2	1.9E-4	4.8E-6
36	5.0E-2	1.8E-7	1.0E-4	1.7E-4	4.9E-2	1.9E-4	4.8E-6
37	5.0E-2	1.8E-7	1.0E-4	1.7E-4	4.9E-2	1.9E-4	4.8E-6
38	5.0E-2	1.8E-7	1.0E-4	1.7E-4	4.9E-2	1.9E-4	4.8E-6
39	4.9E-2	1.8E-7	1.0E-4	1.7E-4	4.9E-2	1.9E-4	4.8E-6
40	4.9E-2	1.8E-7	1.0E-4	1.7E-4	4.8E-2	1.8E-4	4.7E-6
41	4.9E-2	1.7E-7	1.0E-4	1.7E-4	4.8E-2	1.8E-4	4.7E-6
42	4.9E-2	1.7E-7	1.0E-4	1.7E-4	4.8E-2	1.8E-4	4.7E-6
43	4.9E-2	1.7E-7	1.0E-4	1.7E-4	4.8E-2	1.8E-4	4.7E-6
44	4.9E-2	1.7E-7	9.9E-5	1.7E-4	4.8E-2	1.8E-4	4.7E-6
45	4.9E-2	1.7E-7	9.9E-5	1.7E-4	4.8E-2	1.8E-4	4.7E-6
46	4.9E-2	1.7E-7	9.8E-5	1.6E-4	4.8E-2	1.8E-4	4.7E-6
47	4.8E-2	1.7E-7	9.8E-5	1.6E-4	4.8E-2	1.7E-4	4.7E-6
48	4.8E-2	1.7E-7	9.7E-5	1.6E-4	4.7E-2	1.7E-4	4.7E-6
49	4.8E-2	1.7E-7	9.7E-5	1.6E-4	4.7E-2	1.7E-4	4.6E-6
50	4.8E-2	1.7E-7	9.7E-5	1.6E-4	4.7E-2	1.7E-4	4.6E-6
51	4.8E-2	1.7E-7	9.6E-5	1.6E-4	4.7E-2	1.7E-4	4.6E-6
52	4.8E-2	1.6E-7	9.6E-5	1.6E-4	4.7E-2	1.7E-4	4.6E-6
53	4.8E-2	1.6E-7	9.6E-5	1.6E-4	4.7E-2	1.7E-4	4.6E-6
54	4.8E-2	1.6E-7	9.5E-5	1.6E-4	4.7E-2	1.7E-4	4.6E-6
55	4.8E-2	1.6E-7	9.5E-5	1.6E-4	4.7E-2	1.6E-4	4.6E-6
56	4.7E-2	1.6E-7	9.5E-5	1.6E-4	4.7E-2	1.6E-4	4.6E-6
57	4.7E-2	1.6E-7	9.4E-5	1.6E-4	4.7E-2	1.6E-4	4.6E-6
58	4.7E-2	1.6E-7	9.4E-5	1.6E-4	4.6E-2	1.6E-4	4.6E-6
59	4.7E-2	1.6E-7	9.4E-5	1.6E-4	4.6E-2	1.6E-4	4.5E-6
60	4.7E-2	1.6E-7	9.3E-5	1.6E-4	4.6E-2	1.6E-4	4.5E-6
61	4.7E-2	1.6E-7	9.3E-5	1.6E-4	4.6E-2	1.6E-4	4.5E-6
62	4.7E-2	1.6E-7	9.3E-5	1.6E-4	4.6E-2	1.6E-4	4.5E-6
63	4.7E-2	1.5E-7	9.2E-5	1.5E-4	4.6E-2	1.6E-4	4.5E-6
