Radionuclide	Mo-99
Route of Intake	Inhalation
Material	Aerosols Type M, Oxide and all unspecified forms, fA=0.18
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Liver*
0.041667	8.0E-1	-	-	2.7E-1	7.4E-2	1.6E-3
0.083333	7.8E-1	-	-	3.0E-1	6.8E-2	5.0E-3
0.125	7.6E-1	-	-	3.1E-1	6.5E-2	9.4E-3
0.25	7.1E-1	-	-	3.4E-1	5.7E-2	2.2E-2
0.375	6.6E-1	-	-	3.6E-1	5.3E-2	2.9E-2
0.5	6.2E-1	-	-	3.6E-1	4.9E-2	3.4E-2
0.625	5.8E-1	-	-	3.6E-1	4.6E-2	3.6E-2
0.75	5.4E-1	-	-	3.5E-1	4.4E-2	3.8E-2
0.875	5.0E-1	-	-	3.3E-1	4.2E-2	3.8E-2
1	4.6E-1	2.2E-2	5.7E-2	3.1E-1	4.0E-2	3.8E-2
1.125	4.3E-1	-	-	2.9E-1	3.8E-2	3.8E-2
1.25	3.9E-1	-	-	2.6E-1	3.7E-2	3.7E-2
1.375	3.5E-1	-	-	2.4E-1	3.5E-2	3.7E-2
1.5	3.2E-1	-	-	2.1E-1	3.4E-2	3.6E-2
1.625	2.9E-1	-	-	1.9E-1	3.3E-2	3.5E-2
1.75	2.6E-1	-	-	1.7E-1	3.2E-2	3.4E-2
1.875	2.3E-1	-	-	1.5E-1	3.0E-2	3.3E-2
2	2.1E-1	8.3E-3	1.3E-1	1.3E-1	2.9E-2	3.2E-2
2.25	1.7E-1	-	-	9.3E-2	2.7E-2	3.0E-2
2.5	1.4E-1	-	-	6.8E-2	2.5E-2	2.8E-2
2.75	1.1E-1	-	-	4.8E-2	2.4E-2	2.6E-2
3	9.4E-2	2.4E-3	6.6E-2	3.4E-2	2.2E-2	2.5E-2
3.25	8.0E-2	-	-	2.4E-2	2.1E-2	2.3E-2
3.5	6.8E-2	-	-	1.6E-2	1.9E-2	2.2E-2
3.75	6.0E-2	-	-	1.1E-2	1.8E-2	2.0E-2
4	5.3E-2	7.5E-4	1.9E-2	7.8E-3	1.7E-2	1.9E-2
4.25	4.8E-2	-	-	5.3E-3	1.6E-2	1.8E-2
4.5	4.3E-2	-	-	3.7E-3	1.5E-2	1.7E-2
4.75	4.0E-2	-	-	2.6E-3	1.4E-2	1.6E-2
5	3.6E-2	3.3E-4	4.4E-3	1.9E-3	1.3E-2	1.5E-2
5.5	3.1E-2	-	-	1.0E-3	1.1E-2	1.3E-2
6	2.7E-2	2.0E-4	9.9E-4	6.2E-4	9.7E-3	1.1E-2
6.5	2.4E-2	-	-	4.3E-4	8.5E-3	9.8E-3
7	2.1E-2	1.4E-4	2.8E-4	3.2E-4	7.4E-3	8.6E-3
7.5	1.8E-2	-	-	2.5E-4	6.5E-3	7.5E-3
8	1.6E-2	1.1E-4	1.2E-4	2.1E-4	5.7E-3	6.6E-3
8.5	1.4E-2	-	-	1.7E-4	5.0E-3	5.7E-3
9	1.2E-2	8.3E-5	7.1E-5	1.5E-4	4.3E-3	5.0E-3
9.5	1.1E-2	-	-	1.2E-4	3.8E-3	4.4E-3
10	9.3E-3	6.3E-5	4.8E-5	1.1E-4	3.3E-3	3.8E-3
11	7.2E-3	4.9E-5	3.3E-5	7.7E-5	2.6E-3	2.9E-3
12	5.5E-3	3.7E-5	2.4E-5	5.7E-5	2.0E-3	2.3E-3
13	4.2E-3	2.9E-5	1.7E-5	4.2E-5	1.5E-3	1.7E-3
14	3.3E-3	2.2E-5	1.2E-5	3.1E-5	1.2E-3	1.3E-3
15	2.5E-3	1.7E-5	8.8E-6	2.3E-5	9.0E-4	1.0E-3
16	1.9E-3	1.3E-5	6.4E-6	1.8E-5	6.9E-4	7.7E-4
17	1.5E-3	1.0E-5	4.7E-6	1.3E-5	5.3E-4	5.9E-4
18	1.1E-3	7.8E-6	3.5E-6	1.0E-5	4.1E-4	4.5E-4
19	8.8E-4	6.0E-6	2.6E-6	7.7E-6	3.2E-4	3.5E-4
20	6.8E-4	4.6E-6	1.9E-6	5.8E-6	2.4E-4	2.7E-4
21	5.2E-4	3.5E-6	1.5E-6	4.5E-6	1.9E-4	2.0E-4
22	4.0E-4	2.7E-6	1.1E-6	3.4E-6	1.4E-4	1.6E-4
23	3.1E-4	2.1E-6	8.3E-7	2.6E-6	1.1E-4	1.2E-4
24	2.4E-4	1.6E-6	6.3E-7	2.0E-6	8.6E-5	9.1E-5
25	1.8E-4	1.3E-6	4.8E-7	1.5E-6	6.6E-5	7.0E-5
26	1.4E-4	9.6E-7	3.6E-7	1.2E-6	5.1E-5	5.4E-5
27	1.1E-4	7.4E-7	2.8E-7	9.0E-7	4.0E-5	4.1E-5
28	8.3E-5	5.7E-7	2.1E-7	6.9E-7	3.0E-5	3.1E-5
29	6.4E-5	4.4E-7	1.6E-7	5.3E-7	2.4E-5	2.4E-5
30	4.9E-5	3.4E-7	1.2E-7	4.1E-7	1.8E-5	1.8E-5
31	3.8E-5	2.6E-7	9.4E-8	3.2E-7	1.4E-5	1.4E-5
32	2.9E-5	2.0E-7	7.2E-8	2.4E-7	1.1E-5	1.1E-5
33	2.3E-5	1.6E-7	5.5E-8	1.9E-7	8.3E-6	8.3E-6
34	1.7E-5	1.2E-7	4.2E-8	1.4E-7	6.4E-6	6.3E-6
35	1.3E-5	9.2E-8	3.2E-8	1.1E-7	5.0E-6	4.8E-6
36	1.0E-5	7.1E-8	2.5E-8	8.6E-8	3.8E-6	3.7E-6
37	7.9E-6	5.5E-8	1.9E-8	6.6E-8	3.0E-6	2.8E-6
38	6.1E-6	4.2E-8	1.4E-8	5.1E-8	2.3E-6	2.2E-6
39	4.7E-6	3.3E-8	1.1E-8	3.9E-8	1.8E-6	1.7E-6
40	3.6E-6	2.5E-8	8.5E-9	3.0E-8	1.4E-6	1.3E-6
41	2.8E-6	1.9E-8	6.5E-9	2.3E-8	1.0E-6	9.8E-7
42	2.1E-6	1.5E-8	5.0E-9	1.8E-8	8.1E-7	7.5E-7
43	1.6E-6	1.1E-8	3.8E-9	1.4E-8	6.2E-7	5.7E-7
44	1.3E-6	8.9E-9	2.9E-9	1.1E-8	4.8E-7	4.4E-7
45	9.8E-7	6.8E-9	2.3E-9	8.0E-9	3.7E-7	3.4E-7
46	7.5E-7	5.3E-9	1.7E-9	6.2E-9	2.9E-7	2.6E-7
47	5.8E-7	4.0E-9	1.3E-9	4.8E-9	2.2E-7	2.0E-7
48	4.5E-7	3.1E-9	1.0E-9	3.7E-9	1.7E-7	1.5E-7
49	3.4E-7	2.4E-9	7.8E-10	2.8E-9	1.3E-7	1.2E-7
50	2.6E-7	1.9E-9	6.0E-10	2.2E-9	1.0E-7	8.9E-8
51	2.0E-7	1.4E-9	4.6E-10	1.7E-9	7.8E-8	6.8E-8
52	1.6E-7	1.1E-9	3.5E-10	1.3E-9	6.0E-8	5.2E-8
53	1.2E-7	8.5E-10	2.7E-10	9.9E-10	4.7E-8	4.0E-8
54	9.3E-8	6.5E-10	2.1E-10	7.7E-10	3.6E-8	3.1E-8
55	7.1E-8	5.0E-10	1.6E-10	3.5E-10	2.8E-8	2.3E-8
56	5.5E-8	3.9E-10	1.2E-10	2.7E-10	2.1E-8	1.8E-8
57	4.2E-8	3.0E-10	-	2.1E-10	1.7E-8	1.4E-8
58	3.3E-8	2.3E-10	-	1.6E-10	1.3E-8	1.1E-8
59	2.5E-8	1.8E-10	-	1.3E-10	9.8E-9	8.1E-9
60	1.9E-8	1.4E-10	-	-	7.5E-9	6.2E-9
61	1.5E-8	1.0E-10	-	-	5.8E-9	4.7E-9
62	1.1E-8	-	-	-	4.5E-9	3.6E-9
63	8.8E-9	-	-	-	3.5E-9	2.8E-9
64	6.8E-9	-	-	-	2.7E-9	2.1E-9
65	5.2E-9	-	-	-	2.1E-9	1.6E-9
66	4.0E-9	-	-	-	1.6E-9	1.2E-9
67	3.1E-9	-	-	-	1.1E-9	9.6E-10
68	2.4E-9	-	-	-	8.8E-10	7.3E-10
69	1.8E-9	-	-	-	6.8E-10	5.6E-10
70	1.4E-9	-	-	-	5.2E-10	4.3E-10
71	1.1E-9	-	-	-	4.0E-10	3.3E-10
72	8.4E-10	-	-	-	3.1E-10	2.5E-10
73	6.4E-10	-	-	-	2.4E-10	1.9E-10
74	5.0E-10	-	-	-	1.8E-10	1.5E-10
75	3.8E-10	-	-	-	1.4E-10	1.1E-10
76	2.9E-10	-	-	-	1.1E-10	-
77	2.3E-10	-	-	-	-	-
78	1.7E-10	-	-	-	-	-
79	1.3E-10	-	-	-	-	-
80	1.0E-10	-	-	-	-	-
