Radionuclide	Mo-99
Route of Intake	Ingestion
Material	Sulphide, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Liver*
45	2.1E-7	2.2E-9	5.8E-10	2.5E-9	1.2E-7
46	1.6E-7	1.7E-9	4.4E-10	1.9E-9	9.0E-8
47	1.2E-7	1.3E-9	3.4E-10	1.5E-9	6.9E-8
48	9.6E-8	9.8E-10	2.6E-10	1.1E-9	5.2E-8
49	7.3E-8	7.5E-10	2.0E-10	5.9E-10	4.0E-8
50	5.6E-8	5.8E-10	1.5E-10	4.6E-10	3.1E-8
51	4.3E-8	4.5E-10	1.2E-10	3.5E-10	2.3E-8
52	3.3E-8	3.4E-10	-	2.7E-10	1.8E-8
53	2.5E-8	2.6E-10	-	2.1E-10	1.4E-8
54	1.9E-8	2.0E-10	-	1.6E-10	1.0E-8
55	1.5E-8	1.6E-10	-	1.2E-10	7.9E-9
56	1.1E-8	1.2E-10	-	-	6.1E-9
57	8.8E-9	-	-	-	4.6E-9
58	6.7E-9	-	-	-	3.5E-9
59	5.2E-9	-	-	-	2.7E-9
60	4.0E-9	-	-	-	2.1E-9
61	3.0E-9	-	-	-	1.6E-9
62	2.3E-9	-	-	-	1.2E-9
63	1.8E-9	-	-	-	9.2E-10
64	1.4E-9	-	-	-	7.0E-10
65	1.1E-9	-	-	-	5.4E-10
66	8.1E-10	-	-	-	4.1E-10
67	6.2E-10	-	-	-	3.1E-10
68	4.7E-10	-	-	-	2.4E-10
69	3.6E-10	-	-	-	1.8E-10
70	2.8E-10	-	-	-	1.4E-10
71	2.1E-10	-	-	-	1.1E-10
72	1.6E-10	-	-	-	-
73	1.3E-10	-	-	-	-
