Radionuclide	Ba-133
Route of Intake	Ingestion
Material	Insoluble forms: sulphate, titanate, fA=1E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	1.0E+0	-	-	1.0E+0	1.3E-6
0.083333	1.0E+0	-	-	1.0E+0	4.7E-6
0.125	1.0E+0	-	-	1.0E+0	8.7E-6
0.25	1.0E+0	-	-	1.0E+0	1.9E-5
0.375	9.9E-1	-	-	9.9E-1	2.5E-5
0.5	9.7E-1	-	-	9.7E-1	2.9E-5
0.625	9.4E-1	-	-	9.4E-1	3.0E-5
0.75	9.0E-1	-	-	9.0E-1	3.1E-5
0.875	8.4E-1	-	-	8.4E-1	3.1E-5
1	7.8E-1	5.4E-6	2.1E-1	7.8E-1	3.0E-5
1.125	7.2E-1	-	-	7.2E-1	2.9E-5
1.25	6.6E-1	-	-	6.6E-1	2.9E-5
1.375	5.9E-1	-	-	5.9E-1	2.8E-5
1.5	5.3E-1	-	-	5.3E-1	2.7E-5
1.625	4.7E-1	-	-	4.7E-1	2.7E-5
1.75	4.1E-1	-	-	4.1E-1	2.6E-5
1.875	3.6E-1	-	-	3.6E-1	2.5E-5
2	3.1E-1	1.1E-6	4.7E-1	3.1E-1	2.5E-5
2.25	2.3E-1	-	-	2.3E-1	2.4E-5
2.5	1.7E-1	-	-	1.7E-1	2.3E-5
2.75	1.2E-1	-	-	1.2E-1	2.2E-5
3	8.7E-2	7.1E-7	2.3E-1	8.7E-2	2.1E-5
3.25	6.1E-2	-	-	6.1E-2	2.0E-5
3.5	4.2E-2	-	-	4.2E-2	1.9E-5
3.75	2.9E-2	-	-	2.9E-2	1.8E-5
4	2.0E-2	4.9E-7	6.7E-2	2.0E-2	1.8E-5
4.25	1.4E-2	-	-	1.4E-2	1.7E-5
4.5	9.2E-3	-	-	9.2E-3	1.7E-5
4.75	6.2E-3	-	-	6.2E-3	1.6E-5
5	4.1E-3	3.4E-7	1.6E-2	4.1E-3	1.6E-5
5.5	1.8E-3	-	-	1.8E-3	1.5E-5
6	8.1E-4	2.4E-7	3.3E-3	7.9E-4	1.4E-5
6.5	3.6E-4	-	-	3.4E-4	1.4E-5
7	1.6E-4	1.7E-7	6.5E-4	1.5E-4	1.3E-5
7.5	7.8E-5	-	-	6.3E-5	1.3E-5
8	4.1E-5	1.2E-7	1.2E-4	2.7E-5	1.3E-5
8.5	2.6E-5	-	-	1.2E-5	1.2E-5
9	1.9E-5	8.5E-8	2.2E-5	5.7E-6	1.2E-5
9.5	1.6E-5	-	-	2.9E-6	1.2E-5
10	1.5E-5	6.1E-8	4.5E-6	1.7E-6	1.2E-5
11	1.3E-5	4.5E-8	1.3E-6	8.5E-7	1.1E-5
12	1.3E-5	3.3E-8	5.8E-7	5.6E-7	1.1E-5
13	1.2E-5	2.5E-8	3.7E-7	4.1E-7	1.1E-5
14	1.2E-5	2.0E-8	2.7E-7	3.2E-7	1.1E-5
15	1.2E-5	1.6E-8	2.0E-7	2.5E-7	1.1E-5
16	1.2E-5	1.3E-8	1.6E-7	2.1E-7	1.1E-5
17	1.1E-5	1.1E-8	1.3E-7	1.8E-7	1.1E-5
18	1.1E-5	1.0E-8	1.1E-7	1.6E-7	1.1E-5
19	1.1E-5	9.0E-9	9.6E-8	1.4E-7	1.0E-5
20	1.1E-5	8.3E-9	8.6E-8	1.3E-7	1.0E-5
21	1.1E-5	7.8E-9	7.8E-8	1.2E-7	1.0E-5
22	1.1E-5	7.5E-9	7.3E-8	1.2E-7	1.0E-5
23	1.1E-5	7.2E-9	6.9E-8	1.1E-7	1.0E-5
24	1.1E-5	7.0E-9	6.6E-8	1.1E-7	1.0E-5
25	1.1E-5	6.8E-9	6.4E-8	1.0E-7	1.0E-5
26	1.1E-5	6.7E-9	6.2E-8	1.0E-7	9.9E-6
27	1.1E-5	6.6E-9	6.1E-8	1.0E-7	9.9E-6
28	1.0E-5	6.4E-9	5.9E-8	9.9E-8	9.8E-6
29	1.0E-5	6.4E-9	5.8E-8	9.8E-8	9.7E-6
30	1.0E-5	6.3E-9	5.8E-8	9.7E-8	9.7E-6
31	1.0E-5	6.2E-9	5.7E-8	9.6E-8	9.6E-6
32	1.0E-5	6.1E-9	5.6E-8	9.4E-8	9.5E-6
33	1.0E-5	6.0E-9	5.5E-8	9.3E-8	9.5E-6
34	1.0E-5	6.0E-9	5.5E-8	9.2E-8	9.4E-6
35	1.0E-5	5.9E-9	5.4E-8	9.2E-8	9.4E-6
36	1.0E-5	5.8E-9	5.3E-8	9.1E-8	9.3E-6
37	9.9E-6	5.8E-9	5.3E-8	9.0E-8	9.2E-6
38	9.9E-6	5.7E-9	5.2E-8	8.9E-8	9.2E-6
39	9.8E-6	5.6E-9	5.2E-8	8.8E-8	9.1E-6
40	9.7E-6	5.6E-9	5.1E-8	8.7E-8	9.1E-6
41	9.7E-6	5.5E-9	5.0E-8	8.6E-8	9.0E-6
42	9.6E-6	5.5E-9	5.0E-8	8.5E-8	9.0E-6
