Radionuclide	H-3
Route of Intake	Inhalation
Material	Aerosols Type F, LaNiAl tritide, fA=0.99
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	8.1E-1	-	-	8.1E-2	7.3E-3
0.083333	8.0E-1	-	-	5.0E-2	7.0E-3
0.125	7.9E-1	-	-	3.6E-2	7.7E-3
0.25	7.6E-1	-	-	2.5E-2	9.0E-3
0.375	7.4E-1	-	-	2.3E-2	9.8E-3
0.5	7.2E-1	-	-	2.2E-2	1.0E-2
0.625	7.0E-1	-	-	2.1E-2	1.1E-2
0.75	6.9E-1	-	-	2.1E-2	1.1E-2
0.875	6.8E-1	-	-	2.0E-2	1.1E-2
1	6.7E-1	1.8E-2	7.3E-4	2.0E-2	1.2E-2
1.125	6.6E-1	-	-	1.9E-2	1.2E-2
1.25	6.5E-1	-	-	1.9E-2	1.2E-2
1.375	6.4E-1	-	-	1.9E-2	1.2E-2
1.5	6.3E-1	-	-	1.8E-2	1.2E-2
1.625	6.3E-1	-	-	1.8E-2	1.2E-2
1.75	6.2E-1	-	-	1.8E-2	1.2E-2
1.875	6.1E-1	-	-	1.7E-2	1.2E-2
2	6.1E-1	2.3E-2	2.1E-3	1.7E-2	1.2E-2
2.25	6.0E-1	-	-	1.7E-2	1.1E-2
2.5	5.9E-1	-	-	1.6E-2	1.1E-2
2.75	5.8E-1	-	-	1.6E-2	1.1E-2
3	5.7E-1	2.2E-2	2.1E-3	1.6E-2	1.1E-2
3.25	5.6E-1	-	-	1.5E-2	1.1E-2
3.5	5.5E-1	-	-	1.5E-2	1.0E-2
3.75	5.4E-1	-	-	1.5E-2	1.0E-2
4	5.3E-1	2.1E-2	1.8E-3	1.4E-2	1.0E-2
4.25	5.2E-1	-	-	1.4E-2	1.0E-2
4.5	5.1E-1	-	-	1.4E-2	9.8E-3
4.75	5.0E-1	-	-	1.4E-2	9.6E-3
5	4.9E-1	1.9E-2	1.6E-3	1.3E-2	9.5E-3
5.5	4.8E-1	-	-	1.3E-2	9.1E-3
6	4.6E-1	1.8E-2	1.5E-3	1.2E-2	8.8E-3
6.5	4.4E-1	-	-	1.2E-2	8.5E-3
7	4.3E-1	1.7E-2	1.4E-3	1.2E-2	8.2E-3
7.5	4.1E-1	-	-	1.1E-2	7.9E-3
8	4.0E-1	1.6E-2	1.3E-3	1.1E-2	7.7E-3
8.5	3.9E-1	-	-	1.0E-2	7.4E-3
9	3.7E-1	1.5E-2	1.2E-3	1.0E-2	7.2E-3
9.5	3.6E-1	-	-	9.8E-3	6.9E-3
