Radionuclide	Mo-93
Route of Intake	Ingestion
Material	All other forms, fA=0.9
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Liver*
0.041667	1.0E+0	-	-	6.7E-1	8.8E-2
0.083333	9.7E-1	-	-	3.7E-1	2.3E-1
0.125	9.4E-1	-	-	2.3E-1	3.2E-1
0.25	8.5E-1	-	-	1.2E-1	4.0E-1
0.375	8.2E-1	-	-	1.1E-1	4.0E-1
0.5	7.9E-1	-	-	1.0E-1	3.9E-1
0.625	7.7E-1	-	-	9.7E-2	3.9E-1
0.75	7.5E-1	-	-	9.0E-2	3.8E-1
0.875	7.3E-1	-	-	8.4E-2	3.8E-1
1	7.1E-1	2.6E-1	2.9E-2	7.7E-2	3.8E-1
1.125	6.9E-1	-	-	7.0E-2	3.8E-1
1.25	6.8E-1	-	-	6.3E-2	3.8E-1
1.375	6.6E-1	-	-	5.7E-2	3.8E-1
1.5	6.5E-1	-	-	5.1E-2	3.8E-1
1.625	6.3E-1	-	-	4.5E-2	3.8E-1
1.75	6.2E-1	-	-	4.0E-2	3.7E-1
1.875	6.1E-1	-	-	3.6E-2	3.7E-1
2	6.0E-1	6.2E-2	4.6E-2	3.1E-2	3.7E-1
2.25	5.9E-1	-	-	2.5E-2	3.7E-1
2.5	5.8E-1	-	-	1.9E-2	3.7E-1
2.75	5.7E-1	-	-	1.5E-2	3.7E-1
3	5.6E-1	2.0E-2	2.1E-2	1.3E-2	3.7E-1
3.25	5.6E-1	-	-	1.1E-2	3.7E-1
3.5	5.5E-1	-	-	9.1E-3	3.6E-1
3.75	5.5E-1	-	-	8.1E-3	3.6E-1
4	5.5E-1	8.8E-3	7.0E-3	7.3E-3	3.6E-1
4.25	5.4E-1	-	-	6.8E-3	3.6E-1
4.5	5.4E-1	-	-	6.5E-3	3.6E-1
4.75	5.4E-1	-	-	6.2E-3	3.6E-1
5	5.4E-1	5.8E-3	3.0E-3	6.1E-3	3.5E-1
5.5	5.3E-1	-	-	5.9E-3	3.5E-1
6	5.3E-1	5.1E-3	2.0E-3	5.8E-3	3.5E-1
6.5	5.3E-1	-	-	5.7E-3	3.5E-1
7	5.2E-1	4.9E-3	1.7E-3	5.7E-3	3.4E-1
7.5	5.2E-1	-	-	5.6E-3	3.4E-1
8	5.2E-1	4.8E-3	1.7E-3	5.6E-3	3.4E-1
8.5	5.1E-1	-	-	5.6E-3	3.3E-1
9	5.1E-1	4.7E-3	1.6E-3	5.6E-3	3.3E-1
9.5	5.1E-1	-	-	5.5E-3	3.3E-1
10	5.0E-1	4.7E-3	1.6E-3	5.5E-3	3.3E-1
11	5.0E-1	4.6E-3	1.6E-3	5.5E-3	3.2E-1
12	4.9E-1	4.6E-3	1.6E-3	5.4E-3	3.1E-1
13	4.9E-1	4.6E-3	1.5E-3	5.4E-3	3.1E-1
14	4.8E-1	4.5E-3	1.5E-3	5.3E-3	3.0E-1
15	4.7E-1	4.5E-3	1.5E-3	5.3E-3	3.0E-1
16	4.7E-1	4.4E-3	1.5E-3	5.2E-3	2.9E-1
17	4.6E-1	4.4E-3	1.4E-3	5.2E-3	2.9E-1
18	4.6E-1	4.3E-3	1.4E-3	5.1E-3	2.8E-1
19	4.5E-1	4.3E-3	1.4E-3	5.1E-3	2.8E-1
20	4.5E-1	4.3E-3	1.4E-3	5.0E-3	2.7E-1
21	4.4E-1	4.2E-3	1.3E-3	5.0E-3	2.7E-1
22	4.3E-1	4.2E-3	1.3E-3	4.9E-3	2.7E-1
23	4.3E-1	4.1E-3	1.3E-3	4.9E-3	2.6E-1
24	4.2E-1	4.1E-3	1.3E-3	4.8E-3	2.6E-1
25	4.2E-1	4.1E-3	1.3E-3	4.8E-3	2.5E-1
26	4.1E-1	4.0E-3	1.2E-3	4.7E-3	2.5E-1
27	4.1E-1	4.0E-3	1.2E-3	4.7E-3	2.4E-1
28	4.0E-1	3.9E-3	1.2E-3	4.6E-3	2.4E-1
29	4.0E-1	3.9E-3	1.2E-3	4.6E-3	2.4E-1
30	3.9E-1	3.9E-3	1.1E-3	4.5E-3	2.3E-1
31	3.9E-1	3.8E-3	1.1E-3	4.5E-3	2.3E-1
32	3.8E-1	3.8E-3	1.1E-3	4.4E-3	2.2E-1
33	3.8E-1	3.7E-3	1.1E-3	4.4E-3	2.2E-1
34	3.7E-1	3.7E-3	1.1E-3	4.4E-3	2.2E-1
35	3.7E-1	3.7E-3	1.1E-3	4.3E-3	2.1E-1
36	3.6E-1	3.6E-3	1.0E-3	4.3E-3	2.1E-1
37	3.6E-1	3.6E-3	1.0E-3	4.2E-3	2.1E-1
38	3.5E-1	3.6E-3	1.0E-3	4.2E-3	2.0E-1
39	3.5E-1	3.5E-3	9.9E-4	4.1E-3	2.0E-1
40	3.5E-1	3.5E-3	9.7E-4	4.1E-3	2.0E-1
41	3.4E-1	3.4E-3	9.5E-4	4.0E-3	1.9E-1
42	3.4E-1	3.4E-3	9.4E-4	4.0E-3	1.9E-1
43	3.3E-1	3.4E-3	9.2E-4	4.0E-3	1.9E-1
44	3.3E-1	3.3E-3	9.1E-4	3.9E-3	1.8E-1
45	3.2E-1	3.3E-3	8.9E-4	3.9E-3	1.8E-1
46	3.2E-1	3.3E-3	8.8E-4	3.8E-3	1.8E-1
47	3.2E-1	3.2E-3	8.6E-4	3.8E-3	1.7E-1
48	3.1E-1	3.2E-3	8.5E-4	3.7E-3	1.7E-1
49	3.1E-1	3.2E-3	8.3E-4	3.7E-3	1.7E-1
50	3.0E-1	3.1E-3	8.2E-4	3.7E-3	1.6E-1
51	3.0E-1	3.1E-3	8.0E-4	3.6E-3	1.6E-1
52	3.0E-1	3.1E-3	7.9E-4	3.6E-3	1.6E-1
53	2.9E-1	3.0E-3	7.8E-4	3.6E-3	1.6E-1
54	2.9E-1	3.0E-3	7.6E-4	3.5E-3	1.5E-1
55	2.9E-1	3.0E-3	7.5E-4	3.5E-3	1.5E-1
56	2.8E-1	2.9E-3	7.4E-4	3.4E-3	1.5E-1
57	2.8E-1	2.9E-3	7.3E-4	3.4E-3	1.5E-1
58	2.7E-1	2.9E-3	7.1E-4	3.4E-3	1.4E-1
59	2.7E-1	2.8E-3	7.0E-4	3.3E-3	1.4E-1
60	2.7E-1	2.8E-3	6.9E-4	3.3E-3	1.4E-1
61	2.6E-1	2.8E-3	6.8E-4	3.2E-3	1.4E-1
62	2.6E-1	2.7E-3	6.7E-4	3.2E-3	1.3E-1
63	2.6E-1	2.7E-3	6.6E-4	3.2E-3	1.3E-1
64	2.5E-1	2.7E-3	6.5E-4	3.1E-3	1.3E-1
65	2.5E-1	2.7E-3	6.3E-4	3.1E-3	1.3E-1
66	2.5E-1	2.6E-3	6.2E-4	3.1E-3	1.3E-1
67	2.4E-1	2.6E-3	6.1E-4	3.0E-3	1.2E-1
68	2.4E-1	2.6E-3	6.0E-4	3.0E-3	1.2E-1
69	2.4E-1	2.5E-3	5.9E-4	3.0E-3	1.2E-1
70	2.3E-1	2.5E-3	5.8E-4	2.9E-3	1.2E-1
71	2.3E-1	2.5E-3	5.7E-4	2.9E-3	1.2E-1
72	2.3E-1	2.5E-3	5.6E-4	2.9E-3	1.1E-1
73	2.3E-1	2.4E-3	5.5E-4	2.8E-3	1.1E-1
74	2.2E-1	2.4E-3	5.4E-4	2.8E-3	1.1E-1
75	2.2E-1	2.4E-3	5.4E-4	2.8E-3	1.1E-1
76	2.2E-1	2.3E-3	5.3E-4	2.7E-3	1.1E-1
77	2.1E-1	2.3E-3	5.2E-4	2.7E-3	1.0E-1
78	2.1E-1	2.3E-3	5.1E-4	2.7E-3	1.0E-1
79	2.1E-1	2.3E-3	5.0E-4	2.6E-3	1.0E-1
80	2.1E-1	2.2E-3	4.9E-4	2.6E-3	9.9E-2
81	2.0E-1	2.2E-3	4.8E-4	2.6E-3	9.7E-2
82	2.0E-1	2.2E-3	4.8E-4	2.6E-3	9.6E-2
83	2.0E-1	2.2E-3	4.7E-4	2.5E-3	9.4E-2
84	1.9E-1	2.1E-3	4.6E-4	2.5E-3	9.3E-2
85	1.9E-1	2.1E-3	4.5E-4	2.5E-3	9.1E-2
86	1.9E-1	2.1E-3	4.4E-4	2.4E-3	8.9E-2
87	1.9E-1	2.1E-3	4.4E-4	2.4E-3	8.8E-2
88	1.8E-1	2.0E-3	4.3E-4	2.4E-3	8.6E-2
89	1.8E-1	2.0E-3	4.2E-4	2.4E-3	8.5E-2
90	1.8E-1	2.0E-3	4.1E-4	2.3E-3	8.4E-2
91	1.8E-1	2.0E-3	4.1E-4	2.3E-3	8.2E-2
92	1.8E-1	1.9E-3	4.0E-4	2.3E-3	8.1E-2
93	1.7E-1	1.9E-3	3.9E-4	2.2E-3	7.9E-2
94	1.7E-1	1.9E-3	3.9E-4	2.2E-3	7.8E-2
95	1.7E-1	1.9E-3	3.8E-4	2.2E-3	7.7E-2
96	1.7E-1	1.9E-3	3.7E-4	2.2E-3	7.5E-2
97	1.6E-1	1.8E-3	3.7E-4	2.1E-3	7.4E-2
98	1.6E-1	1.8E-3	3.6E-4	2.1E-3	7.3E-2
99	1.6E-1	1.8E-3	3.6E-4	2.1E-3	7.2E-2
