Radionuclide	F-18
Route of Intake	Ingestion
Material	All forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	6.8E-1	-	-	3.1E-1	1.8E-1
0.083333	4.5E-1	-	-	9.5E-2	2.2E-1
0.125	2.9E-1	-	-	3.1E-2	1.7E-1
0.25	7.9E-2	-	-	2.2E-3	5.0E-2
0.375	2.1E-2	-	-	4.9E-4	1.3E-2
0.5	5.4E-3	-	-	1.4E-4	3.4E-3
0.625	1.4E-3	-	-	4.0E-5	8.9E-4
0.75	3.7E-4	-	-	1.2E-5	2.3E-4
0.875	9.5E-5	-	-	3.4E-6	6.0E-5
1	2.5E-5	8.7E-5	3.3E-7	9.7E-7	1.6E-5
1.125	6.5E-6	-	-	2.8E-7	4.0E-6
1.25	1.7E-6	-	-	7.8E-8	1.0E-6
1.375	4.4E-7	-	-	2.2E-8	2.7E-7
1.5	1.1E-7	-	-	6.1E-9	7.1E-8
1.625	3.0E-8	-	-	1.7E-9	1.8E-8
1.75	7.8E-9	-	-	4.7E-10	4.7E-9
1.875	2.0E-9	-	-	1.3E-10	1.2E-9
2	5.3E-10	2.2E-9	-	-	3.2E-10
