Radionuclide	H-3
Route of Intake	Ingestion
Material	 Biogenic forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*
0.041667	1.0E+0	-	-	4.6E-1
0.083333	1.0E+0	-	-	2.1E-1
0.125	1.0E+0	-	-	1.1E-1
0.25	9.9E-1	-	-	3.6E-2
0.375	9.9E-1	-	-	3.0E-2
0.5	9.9E-1	-	-	3.0E-2
0.625	9.8E-1	-	-	2.9E-2
0.75	9.8E-1	-	-	2.9E-2
0.875	9.7E-1	-	-	2.8E-2
1	9.7E-1	1.6E-2	3.1E-3	2.8E-2
1.125	9.6E-1	-	-	2.7E-2
1.25	9.6E-1	-	-	2.6E-2
1.375	9.5E-1	-	-	2.6E-2
1.5	9.5E-1	-	-	2.5E-2
1.625	9.4E-1	-	-	2.4E-2
1.75	9.4E-1	-	-	2.4E-2
1.875	9.4E-1	-	-	2.3E-2
2	9.3E-1	1.8E-2	5.2E-3	2.3E-2
2.25	9.2E-1	-	-	2.2E-2
2.5	9.1E-1	-	-	2.1E-2
2.75	9.1E-1	-	-	2.1E-2
3	9.0E-1	1.7E-2	3.0E-3	2.0E-2
3.25	8.9E-1	-	-	2.0E-2
3.5	8.8E-1	-	-	2.0E-2
3.75	8.8E-1	-	-	2.0E-2
4	8.7E-1	1.6E-2	1.7E-3	1.9E-2
4.25	8.6E-1	-	-	1.9E-2
4.5	8.6E-1	-	-	1.9E-2
4.75	8.5E-1	-	-	1.9E-2
5	8.4E-1	1.5E-2	1.3E-3	1.9E-2
5.5	8.3E-1	-	-	1.8E-2
6	8.2E-1	1.4E-2	1.1E-3	1.8E-2
6.5	8.0E-1	-	-	1.8E-2
7	7.9E-1	1.4E-2	1.1E-3	1.7E-2
7.5	7.8E-1	-	-	1.7E-2
8	7.7E-1	1.3E-2	1.0E-3	1.7E-2
8.5	7.6E-1	-	-	1.6E-2
9	7.4E-1	1.2E-2	9.7E-4	1.6E-2
9.5	7.3E-1	-	-	1.6E-2
10	7.2E-1	1.2E-2	9.2E-4	1.6E-2
11	7.0E-1	1.1E-2	8.8E-4	1.5E-2
12	6.8E-1	1.1E-2	8.4E-4	1.5E-2
13	6.6E-1	1.0E-2	8.0E-4	1.4E-2
14	6.5E-1	9.9E-3	7.7E-4	1.4E-2
15	6.3E-1	9.5E-3	7.3E-4	1.3E-2
16	6.1E-1	9.1E-3	7.0E-4	1.3E-2
17	6.0E-1	8.7E-3	6.7E-4	1.3E-2
18	5.8E-1	8.3E-3	6.4E-4	1.2E-2
19	5.7E-1	8.0E-3	6.2E-4	1.2E-2
20	5.5E-1	7.7E-3	5.9E-4	1.2E-2
21	5.4E-1	7.4E-3	5.7E-4	1.1E-2
22	5.2E-1	7.1E-3	5.5E-4	1.1E-2
23	5.1E-1	6.9E-3	5.3E-4	1.1E-2
24	5.0E-1	6.6E-3	5.1E-4	1.0E-2
25	4.9E-1	6.4E-3	4.9E-4	1.0E-2
26	4.8E-1	6.1E-3	4.7E-4	9.9E-3
27	4.7E-1	5.9E-3	4.5E-4	9.7E-3
28	4.6E-1	5.7E-3	4.4E-4	9.4E-3
29	4.5E-1	5.5E-3	4.2E-4	9.2E-3
30	4.4E-1	5.4E-3	4.1E-4	9.0E-3
31	4.3E-1	5.2E-3	4.0E-4	8.8E-3
32	4.2E-1	5.0E-3	3.8E-4	8.6E-3
33	4.1E-1	4.9E-3	3.7E-4	8.4E-3
34	4.0E-1	4.7E-3	3.6E-4	8.2E-3
35	3.9E-1	4.6E-3	3.5E-4	8.0E-3
36	3.8E-1	4.4E-3	3.4E-4	7.8E-3
37	3.8E-1	4.3E-3	3.3E-4	7.7E-3
38	3.7E-1	4.2E-3	3.2E-4	7.5E-3
39	3.6E-1	4.1E-3	3.1E-4	7.3E-3
40	3.5E-1	4.0E-3	3.0E-4	7.2E-3
41	3.5E-1	3.8E-3	2.9E-4	7.0E-3
42	3.4E-1	3.7E-3	2.8E-4	6.9E-3
43	3.3E-1	3.6E-3	2.8E-4	6.7E-3
44	3.3E-1	3.5E-3	2.7E-4	6.6E-3
45	3.2E-1	3.5E-3	2.6E-4	6.5E-3
46	3.1E-1	3.4E-3	2.5E-4	6.3E-3
47	3.1E-1	3.3E-3	2.5E-4	6.2E-3
48	3.0E-1	3.2E-3	2.4E-4	6.1E-3
49	3.0E-1	3.1E-3	2.4E-4	6.0E-3
50	2.9E-1	3.0E-3	2.3E-4	5.9E-3
51	2.8E-1	3.0E-3	2.2E-4	5.7E-3
52	2.8E-1	2.9E-3	2.2E-4	5.6E-3
53	2.7E-1	2.8E-3	2.1E-4	5.5E-3
54	2.7E-1	2.8E-3	2.1E-4	5.4E-3
55	2.6E-1	2.7E-3	2.0E-4	5.3E-3
56	2.6E-1	2.7E-3	2.0E-4	5.2E-3
57	2.5E-1	2.6E-3	1.9E-4	5.1E-3
58	2.5E-1	2.5E-3	1.9E-4	5.0E-3
59	2.5E-1	2.5E-3	1.9E-4	4.9E-3
60	2.4E-1	2.4E-3	1.8E-4	4.8E-3
61	2.4E-1	2.4E-3	1.8E-4	4.7E-3
62	2.3E-1	2.3E-3	1.7E-4	4.7E-3
63	2.3E-1	2.3E-3	1.7E-4	4.6E-3
64	2.2E-1	2.2E-3	1.7E-4	4.5E-3
65	2.2E-1	2.2E-3	1.6E-4	4.4E-3
66	2.2E-1	2.1E-3	1.6E-4	4.3E-3
67	2.1E-1	2.1E-3	1.6E-4	4.3E-3
68	2.1E-1	2.1E-3	1.5E-4	4.2E-3
69	2.0E-1	2.0E-3	1.5E-4	4.1E-3
70	2.0E-1	2.0E-3	1.5E-4	4.0E-3
71	2.0E-1	1.9E-3	1.4E-4	4.0E-3
72	1.9E-1	1.9E-3	1.4E-4	3.9E-3
73	1.9E-1	1.9E-3	1.4E-4	3.8E-3
