Radionuclide	I-129
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Liver*
0.041667	9.7E-1	-	-	1.1E-1	5.2E-2	4.3E-2
0.083333	9.2E-1	-	-	1.3E-1	8.4E-2	3.4E-2
0.125	8.7E-1	-	-	1.3E-1	1.1E-1	2.9E-2
0.25	7.1E-1	-	-	9.4E-2	1.7E-1	2.0E-2
0.375	5.9E-1	-	-	6.7E-2	2.1E-1	1.4E-2
0.5	5.0E-1	-	-	4.8E-2	2.4E-1	9.4E-3
0.625	4.4E-1	-	-	3.5E-2	2.6E-1	6.6E-3
0.75	4.0E-1	-	-	2.6E-2	2.8E-1	4.7E-3
0.875	3.7E-1	-	-	2.0E-2	2.8E-1	3.4E-3
1	3.5E-1	6.5E-1	1.3E-3	1.5E-2	2.9E-1	2.5E-3
1.125	3.4E-1	-	-	1.2E-2	2.9E-1	2.0E-3
1.25	3.3E-1	-	-	1.0E-2	3.0E-1	1.6E-3
1.375	3.2E-1	-	-	8.2E-3	3.0E-1	1.4E-3
1.5	3.2E-1	-	-	6.9E-3	3.0E-1	1.3E-3
1.625	3.2E-1	-	-	5.8E-3	3.0E-1	1.3E-3
1.75	3.1E-1	-	-	4.9E-3	3.0E-1	1.2E-3
1.875	3.1E-1	-	-	4.2E-3	3.0E-1	1.2E-3
2	3.1E-1	3.9E-2	3.7E-3	3.6E-3	3.0E-1	1.3E-3
2.25	3.1E-1	-	-	2.7E-3	3.0E-1	1.4E-3
2.5	3.1E-1	-	-	2.1E-3	3.0E-1	1.5E-3
2.75	3.1E-1	-	-	1.6E-3	3.0E-1	1.6E-3
3	3.1E-1	2.0E-3	2.2E-3	1.2E-3	3.0E-1	1.7E-3
3.25	3.1E-1	-	-	1.0E-3	3.0E-1	1.8E-3
3.5	3.1E-1	-	-	8.3E-4	3.0E-1	1.9E-3
3.75	3.1E-1	-	-	7.1E-4	3.0E-1	2.1E-3
4	3.0E-1	3.7E-4	7.9E-4	6.3E-4	3.0E-1	2.2E-3
4.25	3.0E-1	-	-	5.9E-4	3.0E-1	2.3E-3
4.5	3.0E-1	-	-	5.6E-4	3.0E-1	2.4E-3
4.75	3.0E-1	-	-	5.5E-4	3.0E-1	2.5E-3
5	3.0E-1	3.8E-4	3.1E-4	5.5E-4	2.9E-1	2.6E-3
5.5	3.0E-1	-	-	5.6E-4	2.9E-1	2.7E-3
6	3.0E-1	4.6E-4	2.0E-4	5.9E-4	2.9E-1	2.9E-3
6.5	3.0E-1	-	-	6.2E-4	2.9E-1	3.1E-3
7	3.0E-1	5.4E-4	2.0E-4	6.6E-4	2.9E-1	3.2E-3
7.5	3.0E-1	-	-	6.9E-4	2.9E-1	3.4E-3
8	3.0E-1	6.0E-4	2.2E-4	7.2E-4	2.9E-1	3.5E-3
8.5	3.0E-1	-	-	7.5E-4	2.9E-1	3.6E-3
9	3.0E-1	6.7E-4	2.4E-4	7.8E-4	2.9E-1	3.8E-3
9.5	3.0E-1	-	-	8.1E-4	2.9E-1	3.9E-3
10	3.0E-1	7.2E-4	2.6E-4	8.4E-4	2.9E-1	4.0E-3
11	3.0E-1	7.7E-4	2.8E-4	8.8E-4	2.8E-1	4.2E-3
12	3.0E-1	8.1E-4	3.0E-4	9.2E-4	2.8E-1	4.3E-3
13	3.0E-1	8.5E-4	3.1E-4	9.6E-4	2.8E-1	4.5E-3
14	3.0E-1	8.8E-4	3.2E-4	9.9E-4	2.8E-1	4.6E-3
15	2.9E-1	9.1E-4	3.4E-4	1.0E-3	2.8E-1	4.8E-3
16	2.9E-1	9.3E-4	3.5E-4	1.0E-3	2.7E-1	4.9E-3
17	2.9E-1	9.6E-4	3.5E-4	1.1E-3	2.7E-1	4.9E-3
18	2.9E-1	9.8E-4	3.6E-4	1.1E-3	2.7E-1	5.0E-3
19	2.9E-1	9.9E-4	3.7E-4	1.1E-3	2.7E-1	5.1E-3
20	2.9E-1	1.0E-3	3.7E-4	1.1E-3	2.7E-1	5.1E-3
21	2.9E-1	1.0E-3	3.8E-4	1.1E-3	2.7E-1	5.2E-3
22	2.8E-1	1.0E-3	3.8E-4	1.1E-3	2.6E-1	5.2E-3
23	2.8E-1	1.0E-3	3.9E-4	1.1E-3	2.6E-1	5.3E-3
24	2.8E-1	1.0E-3	3.9E-4	1.2E-3	2.6E-1	5.3E-3
25	2.8E-1	1.1E-3	3.9E-4	1.2E-3	2.6E-1	5.3E-3
26	2.8E-1	1.1E-3	4.0E-4	1.2E-3	2.6E-1	5.3E-3
27	2.8E-1	1.1E-3	4.0E-4	1.2E-3	2.6E-1	5.3E-3
28	2.8E-1	1.1E-3	4.0E-4	1.2E-3	2.6E-1	5.3E-3
29	2.7E-1	1.1E-3	4.0E-4	1.2E-3	2.5E-1	5.4E-3
30	2.7E-1	1.1E-3	4.0E-4	1.2E-3	2.5E-1	5.4E-3
31	2.7E-1	1.1E-3	4.0E-4	1.2E-3	2.5E-1	5.4E-3
32	2.7E-1	1.1E-3	4.0E-4	1.2E-3	2.5E-1	5.3E-3
33	2.7E-1	1.1E-3	4.0E-4	1.2E-3	2.5E-1	5.3E-3
34	2.7E-1	1.1E-3	4.0E-4	1.2E-3	2.5E-1	5.3E-3
35	2.7E-1	1.1E-3	4.0E-4	1.2E-3	2.5E-1	5.3E-3
36	2.6E-1	1.1E-3	4.0E-4	1.2E-3	2.4E-1	5.3E-3
37	2.6E-1	1.1E-3	4.0E-4	1.2E-3	2.4E-1	5.3E-3
38	2.6E-1	1.1E-3	4.0E-4	1.2E-3	2.4E-1	5.3E-3
39	2.6E-1	1.1E-3	3.9E-4	1.2E-3	2.4E-1	5.2E-3
40	2.6E-1	1.1E-3	3.9E-4	1.1E-3	2.4E-1	5.2E-3
41	2.6E-1	1.0E-3	3.9E-4	1.1E-3	2.4E-1	5.2E-3
42	2.6E-1	1.0E-3	3.9E-4	1.1E-3	2.4E-1	5.2E-3
43	2.5E-1	1.0E-3	3.9E-4	1.1E-3	2.3E-1	5.2E-3
44	2.5E-1	1.0E-3	3.9E-4	1.1E-3	2.3E-1	5.1E-3
45	2.5E-1	1.0E-3	3.9E-4	1.1E-3	2.3E-1	5.1E-3
46	2.5E-1	1.0E-3	3.8E-4	1.1E-3	2.3E-1	5.1E-3
47	2.5E-1	1.0E-3	3.8E-4	1.1E-3	2.3E-1	5.1E-3
48	2.5E-1	1.0E-3	3.8E-4	1.1E-3	2.3E-1	5.1E-3
49	2.5E-1	1.0E-3	3.8E-4	1.1E-3	2.3E-1	5.0E-3
50	2.4E-1	1.0E-3	3.8E-4	1.1E-3	2.3E-1	5.0E-3
51	2.4E-1	1.0E-3	3.8E-4	1.1E-3	2.2E-1	5.0E-3
52	2.4E-1	1.0E-3	3.7E-4	1.1E-3	2.2E-1	5.0E-3
53	2.4E-1	9.9E-4	3.7E-4	1.1E-3	2.2E-1	4.9E-3
54	2.4E-1	9.9E-4	3.7E-4	1.1E-3	2.2E-1	4.9E-3
55	2.4E-1	9.8E-4	3.7E-4	1.1E-3	2.2E-1	4.9E-3
56	2.4E-1	9.8E-4	3.7E-4	1.1E-3	2.2E-1	4.9E-3
57	2.3E-1	9.7E-4	3.6E-4	1.1E-3	2.2E-1	4.8E-3
