Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type S, Oxide, all unspecified forms, fA=5E-6
AMTD/AMAD, µm	3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.7E-4	-	-	5.6E-5	2.3E-5	7.0E-9	3.6E-9
0.083333	6.7E-4	-	-	2.5E-4	8.7E-5	6.3E-8	2.8E-8
0.125	1.5E-3	-	-	6.1E-4	1.9E-4	2.2E-7	9.0E-8
0.25	5.3E-3	-	-	2.7E-3	6.7E-4	1.6E-6	6.2E-7
0.375	1.1E-2	-	-	6.4E-3	1.4E-3	4.8E-6	1.7E-6
0.5	1.8E-2	-	-	1.1E-2	2.3E-3	9.7E-6	3.3E-6
0.625	2.5E-2	-	-	1.7E-2	3.3E-3	1.6E-5	5.2E-6
0.75	3.3E-2	-	-	2.4E-2	4.5E-3	2.4E-5	7.4E-6
0.875	4.0E-2	-	-	3.0E-2	5.7E-3	3.2E-5	9.6E-6
1	4.7E-2	3.4E-5	7.8E-2	3.6E-2	7.0E-3	4.1E-5	1.2E-5
1.125	5.4E-2	-	-	4.1E-2	8.3E-3	5.0E-5	1.4E-5
1.25	5.9E-2	-	-	4.5E-2	9.7E-3	5.9E-5	1.6E-5
1.375	6.3E-2	-	-	4.9E-2	1.1E-2	6.8E-5	1.8E-5
1.5	6.6E-2	-	-	5.1E-2	1.2E-2	7.7E-5	2.0E-5
1.625	6.8E-2	-	-	5.2E-2	1.4E-2	8.6E-5	2.1E-5
1.75	6.9E-2	-	-	5.2E-2	1.5E-2	9.4E-5	2.3E-5
1.875	7.0E-2	-	-	5.1E-2	1.6E-2	1.0E-4	2.4E-5
2	6.9E-2	1.5E-5	2.4E-1	5.0E-2	1.8E-2	1.1E-4	2.5E-5
2.25	6.7E-2	-	-	4.5E-2	2.0E-2	1.3E-4	2.8E-5
2.5	6.4E-2	-	-	4.0E-2	2.3E-2	1.4E-4	2.9E-5
2.75	6.0E-2	-	-	3.4E-2	2.5E-2	1.5E-4	3.1E-5
3	5.6E-2	6.3E-6	1.6E-1	2.8E-2	2.7E-2	1.7E-4	3.3E-5
3.25	5.2E-2	-	-	2.2E-2	2.9E-2	1.8E-4	3.4E-5
3.5	5.0E-2	-	-	1.8E-2	3.1E-2	1.9E-4	3.5E-5
3.75	4.8E-2	-	-	1.4E-2	3.3E-2	2.0E-4	3.6E-5
4	4.6E-2	4.6E-6	6.1E-2	1.1E-2	3.5E-2	2.1E-4	3.7E-5
4.25	4.6E-2	-	-	8.4E-3	3.7E-2	2.2E-4	3.8E-5
4.5	4.5E-2	-	-	6.5E-3	3.8E-2	2.2E-4	3.9E-5
4.75	4.6E-2	-	-	5.0E-3	4.0E-2	2.3E-4	3.9E-5
5	4.6E-2	3.9E-6	1.9E-2	4.0E-3	4.1E-2	2.4E-4	4.0E-5
5.5	4.7E-2	-	-	2.6E-3	4.4E-2	2.5E-4	4.1E-5
6	4.9E-2	3.3E-6	5.5E-3	1.9E-3	4.6E-2	2.6E-4	4.2E-5
6.5	5.1E-2	-	-	1.5E-3	4.9E-2	2.8E-4	4.3E-5
7	5.2E-2	2.9E-6	2.1E-3	1.3E-3	5.0E-2	2.9E-4	4.4E-5
7.5	5.4E-2	-	-	1.2E-3	5.2E-2	2.9E-4	4.4E-5
8	5.5E-2	2.6E-6	1.2E-3	1.1E-3	5.4E-2	3.0E-4	4.5E-5
8.5	5.7E-2	-	-	1.0E-3	5.5E-2	3.1E-4	4.5E-5
9	5.8E-2	2.4E-6	8.6E-4	9.5E-4	5.6E-2	3.2E-4	4.5E-5
9.5	5.9E-2	-	-	9.0E-4	5.7E-2	3.2E-4	4.6E-5
10	6.0E-2	2.2E-6	7.1E-4	8.6E-4	5.8E-2	3.3E-4	4.6E-5
11	6.2E-2	2.0E-6	6.0E-4	7.7E-4	6.0E-2	3.4E-4	4.7E-5
12	6.3E-2	1.9E-6	5.2E-4	7.0E-4	6.1E-2	3.5E-4	4.7E-5
13	6.4E-2	1.8E-6	4.5E-4	6.4E-4	6.2E-2	3.6E-4	4.7E-5
14	6.5E-2	1.7E-6	3.9E-4	5.9E-4	6.3E-2	3.6E-4	4.8E-5
15	6.5E-2	1.6E-6	3.5E-4	5.4E-4	6.4E-2	3.7E-4	4.8E-5
16	6.6E-2	1.6E-6	3.1E-4	5.0E-4	6.4E-2	3.7E-4	4.8E-5
17	6.6E-2	1.5E-6	2.8E-4	4.7E-4	6.5E-2	3.8E-4	4.9E-5
18	6.6E-2	1.5E-6	2.6E-4	4.4E-4	6.5E-2	3.8E-4	4.9E-5
19	6.7E-2	1.4E-6	2.3E-4	4.2E-4	6.5E-2	3.9E-4	4.9E-5
20	6.7E-2	1.4E-6	2.2E-4	4.0E-4	6.5E-2	3.9E-4	4.9E-5
21	6.7E-2	1.3E-6	2.0E-4	3.9E-4	6.5E-2	3.9E-4	5.0E-5
22	6.7E-2	1.3E-6	1.9E-4	3.7E-4	6.5E-2	4.0E-4	5.0E-5
23	6.7E-2	1.3E-6	1.8E-4	3.6E-4	6.5E-2	4.0E-4	5.0E-5
24	6.7E-2	1.2E-6	1.7E-4	3.5E-4	6.5E-2	4.0E-4	5.0E-5
25	6.7E-2	1.2E-6	1.7E-4	3.5E-4	6.5E-2	4.0E-4	5.0E-5
26	6.6E-2	1.2E-6	1.6E-4	3.4E-4	6.5E-2	4.1E-4	5.1E-5
27	6.6E-2	1.2E-6	1.6E-4	3.3E-4	6.5E-2	4.1E-4	5.1E-5
28	6.6E-2	1.1E-6	1.5E-4	3.3E-4	6.5E-2	4.1E-4	5.1E-5
29	6.6E-2	1.1E-6	1.5E-4	3.3E-4	6.5E-2	4.1E-4	5.1E-5
30	6.6E-2	1.1E-6	1.5E-4	3.2E-4	6.5E-2	4.2E-4	5.2E-5
31	6.6E-2	1.1E-6	1.5E-4	3.2E-4	6.4E-2	4.2E-4	5.2E-5
32	6.6E-2	1.0E-6	1.4E-4	3.2E-4	6.4E-2	4.2E-4	5.2E-5
33	6.5E-2	1.0E-6	1.4E-4	3.2E-4	6.4E-2	4.2E-4	5.2E-5
34	6.5E-2	1.0E-6	1.4E-4	3.1E-4	6.4E-2	4.2E-4	5.3E-5
35	6.5E-2	9.9E-7	1.4E-4	3.1E-4	6.4E-2	4.3E-4	5.3E-5
36	6.5E-2	9.7E-7	1.4E-4	3.1E-4	6.4E-2	4.3E-4	5.3E-5
37	6.5E-2	9.6E-7	1.4E-4	3.1E-4	6.3E-2	4.3E-4	5.3E-5
38	6.5E-2	9.4E-7	1.4E-4	3.1E-4	6.3E-2	4.3E-4	5.3E-5
39	6.4E-2	9.3E-7	1.3E-4	3.1E-4	6.3E-2	4.3E-4	5.4E-5
40	6.4E-2	9.1E-7	1.3E-4	3.1E-4	6.3E-2	4.4E-4	5.4E-5
41	6.4E-2	9.0E-7	1.3E-4	3.1E-4	6.3E-2	4.4E-4	5.4E-5
42	6.4E-2	8.9E-7	1.3E-4	3.1E-4	6.2E-2	4.4E-4	5.4E-5
43	6.4E-2	8.7E-7	1.3E-4	3.0E-4	6.2E-2	4.4E-4	5.4E-5
44	6.3E-2	8.6E-7	1.3E-4	3.0E-4	6.2E-2	4.4E-4	5.5E-5
