Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type S, Oxide, all unspecified forms, fA=5E-6
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.8E-4	-	-	6.1E-5	1.7E-5	6.4E-9	3.2E-9
0.083333	7.0E-4	-	-	2.8E-4	6.3E-5	5.6E-8	2.5E-8
0.125	1.5E-3	-	-	6.7E-4	1.3E-4	1.9E-7	8.0E-8
0.25	5.6E-3	-	-	3.0E-3	4.7E-4	1.4E-6	5.5E-7
0.375	1.1E-2	-	-	7.0E-3	9.8E-4	4.2E-6	1.5E-6
0.5	1.8E-2	-	-	1.2E-2	1.6E-3	8.5E-6	2.9E-6
0.625	2.6E-2	-	-	1.9E-2	2.3E-3	1.4E-5	4.7E-6
0.75	3.4E-2	-	-	2.6E-2	3.2E-3	2.0E-5	6.5E-6
0.875	4.2E-2	-	-	3.3E-2	4.0E-3	2.7E-5	8.5E-6
1	4.9E-2	2.6E-5	8.5E-2	3.9E-2	4.9E-3	3.5E-5	1.0E-5
1.125	5.5E-2	-	-	4.5E-2	5.9E-3	4.2E-5	1.2E-5
1.25	6.1E-2	-	-	5.0E-2	6.8E-3	5.0E-5	1.4E-5
1.375	6.5E-2	-	-	5.3E-2	7.8E-3	5.7E-5	1.6E-5
1.5	6.7E-2	-	-	5.6E-2	8.7E-3	6.5E-5	1.7E-5
1.625	6.9E-2	-	-	5.7E-2	9.7E-3	7.2E-5	1.8E-5
1.75	7.0E-2	-	-	5.7E-2	1.1E-2	7.9E-5	1.9E-5
1.875	7.0E-2	-	-	5.6E-2	1.2E-2	8.5E-5	2.1E-5
2	6.9E-2	1.1E-5	2.7E-1	5.5E-2	1.2E-2	9.1E-5	2.1E-5
2.25	6.5E-2	-	-	5.0E-2	1.4E-2	1.0E-4	2.3E-5
2.5	6.0E-2	-	-	4.3E-2	1.6E-2	1.1E-4	2.5E-5
2.75	5.5E-2	-	-	3.7E-2	1.8E-2	1.2E-4	2.6E-5
3	5.0E-2	4.9E-6	1.8E-1	3.0E-2	1.9E-2	1.3E-4	2.7E-5
3.25	4.5E-2	-	-	2.4E-2	2.1E-2	1.4E-4	2.8E-5
3.5	4.2E-2	-	-	1.9E-2	2.2E-2	1.5E-4	2.8E-5
3.75	3.9E-2	-	-	1.5E-2	2.3E-2	1.6E-4	2.9E-5
4	3.7E-2	3.6E-6	6.7E-2	1.1E-2	2.5E-2	1.6E-4	3.0E-5
4.25	3.5E-2	-	-	8.8E-3	2.6E-2	1.7E-4	3.0E-5
4.5	3.4E-2	-	-	6.7E-3	2.7E-2	1.8E-4	3.1E-5
4.75	3.4E-2	-	-	5.2E-3	2.8E-2	1.8E-4	3.1E-5
5	3.3E-2	3.0E-6	2.0E-2	4.0E-3	2.9E-2	1.9E-4	3.1E-5
5.5	3.4E-2	-	-	2.5E-3	3.1E-2	2.0E-4	3.2E-5
6	3.5E-2	2.5E-6	5.7E-3	1.7E-3	3.2E-2	2.1E-4	3.3E-5
6.5	3.6E-2	-	-	1.3E-3	3.4E-2	2.1E-4	3.3E-5
7	3.7E-2	2.2E-6	1.9E-3	1.1E-3	3.5E-2	2.2E-4	3.4E-5
7.5	3.8E-2	-	-	9.3E-4	3.6E-2	2.3E-4	3.4E-5
8	3.9E-2	2.0E-6	9.8E-4	8.5E-4	3.7E-2	2.4E-4	3.5E-5
8.5	4.0E-2	-	-	8.0E-4	3.8E-2	2.4E-4	3.5E-5
9	4.0E-2	1.8E-6	6.9E-4	7.5E-4	3.9E-2	2.5E-4	3.5E-5
9.5	4.1E-2	-	-	7.1E-4	4.0E-2	2.5E-4	3.5E-5
10	4.2E-2	1.6E-6	5.6E-4	6.7E-4	4.0E-2	2.6E-4	3.6E-5
11	4.3E-2	1.5E-6	4.7E-4	6.0E-4	4.2E-2	2.6E-4	3.6E-5
12	4.4E-2	1.4E-6	4.0E-4	5.4E-4	4.2E-2	2.7E-4	3.6E-5
13	4.4E-2	1.3E-6	3.5E-4	4.9E-4	4.3E-2	2.8E-4	3.6E-5
14	4.5E-2	1.3E-6	3.0E-4	4.5E-4	4.4E-2	2.8E-4	3.7E-5
15	4.5E-2	1.2E-6	2.7E-4	4.1E-4	4.4E-2	2.8E-4	3.7E-5
16	4.6E-2	1.2E-6	2.4E-4	3.8E-4	4.4E-2	2.9E-4	3.7E-5
17	4.6E-2	1.1E-6	2.1E-4	3.5E-4	4.5E-2	2.9E-4	3.7E-5
18	4.6E-2	1.1E-6	1.9E-4	3.3E-4	4.5E-2	2.9E-4	3.7E-5
19	4.6E-2	1.1E-6	1.7E-4	3.1E-4	4.5E-2	3.0E-4	3.8E-5
20	4.6E-2	1.0E-6	1.6E-4	3.0E-4	4.5E-2	3.0E-4	3.8E-5
21	4.6E-2	9.9E-7	1.5E-4	2.8E-4	4.5E-2	3.0E-4	3.8E-5
22	4.6E-2	9.7E-7	1.4E-4	2.7E-4	4.5E-2	3.0E-4	3.8E-5
23	4.6E-2	9.4E-7	1.3E-4	2.6E-4	4.5E-2	3.1E-4	3.8E-5
24	4.6E-2	9.2E-7	1.2E-4	2.6E-4	4.5E-2	3.1E-4	3.8E-5
25	4.6E-2	8.9E-7	1.2E-4	2.5E-4	4.5E-2	3.1E-4	3.9E-5
26	4.6E-2	8.7E-7	1.1E-4	2.4E-4	4.5E-2	3.1E-4	3.9E-5
27	4.6E-2	8.5E-7	1.1E-4	2.4E-4	4.5E-2	3.1E-4	3.9E-5
28	4.6E-2	8.3E-7	1.1E-4	2.4E-4	4.5E-2	3.1E-4	3.9E-5
29	4.6E-2	8.1E-7	1.1E-4	2.3E-4	4.5E-2	3.2E-4	3.9E-5
30	4.6E-2	8.0E-7	1.0E-4	2.3E-4	4.5E-2	3.2E-4	3.9E-5
31	4.6E-2	7.8E-7	1.0E-4	2.3E-4	4.4E-2	3.2E-4	3.9E-5
32	4.5E-2	7.6E-7	1.0E-4	2.3E-4	4.4E-2	3.2E-4	4.0E-5
33	4.5E-2	7.5E-7	9.9E-5	2.3E-4	4.4E-2	3.2E-4	4.0E-5
34	4.5E-2	7.3E-7	9.7E-5	2.2E-4	4.4E-2	3.2E-4	4.0E-5
35	4.5E-2	7.2E-7	9.6E-5	2.2E-4	4.4E-2	3.2E-4	4.0E-5
36	4.5E-2	7.1E-7	9.5E-5	2.2E-4	4.4E-2	3.3E-4	4.0E-5
