Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type M, Thorium hydroxide, fA=1E-4
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	2.1E-4	-	-	7.0E-5	3.3E-5	2.0E-7	1.0E-7
0.083333	8.5E-4	-	-	3.3E-4	1.1E-4	1.8E-6	7.8E-7
0.125	1.8E-3	-	-	8.0E-4	2.2E-4	6.2E-6	2.5E-6
0.25	6.7E-3	-	-	3.6E-3	6.9E-4	4.5E-5	1.7E-5
0.375	1.4E-2	-	-	8.4E-3	1.3E-3	1.3E-4	4.5E-5
0.5	2.2E-2	-	-	1.5E-2	2.0E-3	2.6E-4	8.6E-5
0.625	3.2E-2	-	-	2.3E-2	2.9E-3	4.2E-4	1.3E-4
0.75	4.2E-2	-	-	3.1E-2	3.7E-3	6.1E-4	1.9E-4
0.875	5.1E-2	-	-	3.9E-2	4.6E-3	8.2E-4	2.4E-4
1	6.0E-2	8.6E-4	1.0E-1	4.7E-2	5.5E-3	1.0E-3	3.0E-4
1.125	6.8E-2	-	-	5.4E-2	6.4E-3	1.3E-3	3.5E-4
1.25	7.4E-2	-	-	6.0E-2	7.2E-3	1.5E-3	4.0E-4
1.375	7.9E-2	-	-	6.4E-2	8.1E-3	1.7E-3	4.5E-4
1.5	8.3E-2	-	-	6.7E-2	8.9E-3	2.0E-3	4.9E-4
1.625	8.5E-2	-	-	6.9E-2	9.6E-3	2.2E-3	5.3E-4
1.75	8.6E-2	-	-	6.9E-2	1.0E-2	2.4E-3	5.7E-4
1.875	8.6E-2	-	-	6.9E-2	1.1E-2	2.6E-3	6.0E-4
2	8.5E-2	3.4E-4	3.2E-1	6.7E-2	1.2E-2	2.8E-3	6.4E-4
2.25	8.1E-2	-	-	6.2E-2	1.3E-2	3.2E-3	6.9E-4
2.5	7.5E-2	-	-	5.5E-2	1.4E-2	3.5E-3	7.4E-4
2.75	6.9E-2	-	-	4.8E-2	1.4E-2	3.9E-3	7.9E-4
3	6.2E-2	1.5E-4	2.1E-1	4.1E-2	1.5E-2	4.2E-3	8.3E-4
3.25	5.7E-2	-	-	3.4E-2	1.6E-2	4.4E-3	8.6E-4
