Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including thorium chloride, citrate, nitrate and sulphate; thorium fluoride, fA=5E-5
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.3E-4	-	-	9.2E-6	1.0E-4	1.6E-6	7.4E-7
0.083333	5.3E-4	-	-	4.7E-5	4.1E-4	1.0E-5	3.4E-6
0.125	1.2E-3	-	-	1.2E-4	9.0E-4	2.6E-5	7.9E-6
0.25	4.4E-3	-	-	5.4E-4	3.4E-3	1.2E-4	3.2E-5
0.375	9.3E-3	-	-	1.3E-3	7.0E-3	2.9E-4	7.2E-5
0.5	1.5E-2	-	-	2.2E-3	1.2E-2	5.2E-4	1.2E-4
0.625	2.2E-2	-	-	3.4E-3	1.7E-2	8.1E-4	1.8E-4
0.75	3.0E-2	-	-	4.7E-3	2.3E-2	1.1E-3	2.5E-4
0.875	3.8E-2	-	-	6.1E-3	2.9E-2	1.5E-3	3.3E-4
1	4.7E-2	2.1E-3	1.2E-2	7.4E-3	3.6E-2	1.9E-3	4.0E-4
1.125	5.5E-2	-	-	8.7E-3	4.2E-2	2.3E-3	4.8E-4
1.25	6.4E-2	-	-	9.8E-3	4.9E-2	2.7E-3	5.6E-4
1.375	7.2E-2	-	-	1.1E-2	5.6E-2	3.1E-3	6.4E-4
1.5	8.0E-2	-	-	1.2E-2	6.3E-2	3.6E-3	7.2E-4
1.625	8.8E-2	-	-	1.2E-2	6.9E-2	4.0E-3	8.0E-4
1.75	9.6E-2	-	-	1.3E-2	7.6E-2	4.4E-3	8.7E-4
1.875	1.0E-1	-	-	1.3E-2	8.3E-2	4.8E-3	9.5E-4
2	1.1E-1	5.3E-4	4.2E-2	1.4E-2	8.9E-2	5.3E-3	1.0E-3
2.25	1.3E-1	-	-	1.4E-2	1.0E-1	6.1E-3	1.2E-3
2.5	1.4E-1	-	-	1.4E-2	1.1E-1	6.8E-3	1.3E-3
2.75	1.5E-1	-	-	1.4E-2	1.2E-1	7.6E-3	1.4E-3
3	1.6E-1	3.5E-4	3.4E-2	1.4E-2	1.4E-1	8.3E-3	1.6E-3
3.25	1.7E-1	-	-	1.3E-2	1.5E-1	9.0E-3	1.7E-3
3.5	1.8E-1	-	-	1.3E-2	1.6E-1	9.6E-3	1.8E-3
3.75	1.9E-1	-	-	1.3E-2	1.6E-1	1.0E-2	1.9E-3
4	2.0E-1	3.0E-4	2.0E-2	1.3E-2	1.7E-1	1.1E-2	1.9E-3
4.25	2.1E-1	-	-	1.3E-2	1.8E-1	1.1E-2	2.0E-3
4.5	2.2E-1	-	-	1.3E-2	1.9E-1	1.2E-2	2.1E-3
4.75	2.3E-1	-	-	1.3E-2	2.0E-1	1.2E-2	2.2E-3
5	2.3E-1	2.7E-4	1.3E-2	1.2E-2	2.0E-1	1.3E-2	2.2E-3
5.5	2.5E-1	-	-	1.2E-2	2.1E-1	1.4E-2	2.4E-3
6	2.6E-1	2.5E-4	9.4E-3	1.2E-2	2.2E-1	1.5E-2	2.5E-3
6.5	2.7E-1	-	-	1.2E-2	2.3E-1	1.6E-2	2.6E-3
7	2.8E-1	2.3E-4	7.5E-3	1.2E-2	2.4E-1	1.6E-2	2.6E-3
7.5	2.8E-1	-	-	1.1E-2	2.5E-1	1.7E-2	2.7E-3
8	2.9E-1	2.2E-4	6.2E-3	1.1E-2	2.6E-1	1.8E-2	2.8E-3
8.5	3.0E-1	-	-	1.1E-2	2.6E-1	1.8E-2	2.8E-3
9	3.0E-1	2.1E-4	5.1E-3	1.1E-2	2.7E-1	1.9E-2	2.9E-3
9.5	3.1E-1	-	-	1.1E-2	2.7E-1	2.0E-2	3.0E-3
10	3.1E-1	2.0E-4	4.3E-3	1.0E-2	2.7E-1	2.0E-2	3.0E-3
