Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type M, Thorium hydroxide, fA=1E-4
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	6.4E-5	-	-	9.4E-6	3.9E-5	1.4E-7	7.7E-8
0.083333	2.6E-4	-	-	4.4E-5	1.5E-4	1.4E-6	6.2E-7
0.125	5.7E-4	-	-	1.1E-4	3.3E-4	4.9E-6	2.0E-6
0.25	2.1E-3	-	-	5.0E-4	1.2E-3	3.7E-5	1.3E-5
0.375	4.4E-3	-	-	1.2E-3	2.4E-3	1.1E-4	3.7E-5
0.5	7.2E-3	-	-	2.2E-3	3.8E-3	2.3E-4	7.3E-5
0.625	1.0E-2	-	-	3.3E-3	5.5E-3	3.9E-4	1.2E-4
0.75	1.4E-2	-	-	4.6E-3	7.3E-3	5.8E-4	1.7E-4
0.875	1.7E-2	-	-	5.9E-3	9.3E-3	8.0E-4	2.2E-4
1	2.1E-2	1.1E-3	1.3E-2	7.1E-3	1.1E-2	1.0E-3	2.8E-4
1.125	2.5E-2	-	-	8.2E-3	1.3E-2	1.3E-3	3.3E-4
1.25	2.8E-2	-	-	9.2E-3	1.5E-2	1.6E-3	3.8E-4
1.375	3.1E-2	-	-	9.9E-3	1.8E-2	1.8E-3	4.4E-4
1.5	3.4E-2	-	-	1.1E-2	2.0E-2	2.1E-3	4.9E-4
1.625	3.7E-2	-	-	1.1E-2	2.2E-2	2.4E-3	5.4E-4
1.75	4.0E-2	-	-	1.1E-2	2.4E-2	2.6E-3	5.9E-4
1.875	4.2E-2	-	-	1.1E-2	2.6E-2	2.9E-3	6.3E-4
2	4.4E-2	5.1E-4	4.3E-2	1.1E-2	2.8E-2	3.2E-3	6.8E-4
2.25	4.9E-2	-	-	1.1E-2	3.2E-2	3.7E-3	7.6E-4
2.5	5.2E-2	-	-	1.0E-2	3.6E-2	4.2E-3	8.4E-4
2.75	5.6E-2	-	-	9.3E-3	3.9E-2	4.6E-3	9.1E-4
3	5.9E-2	2.2E-4	3.0E-2	8.5E-3	4.3E-2	5.1E-3	9.7E-4
3.25	6.2E-2	-	-	7.7E-3	4.6E-2	5.5E-3	1.0E-3
3.5	6.5E-2	-	-	7.1E-3	4.9E-2	5.9E-3	1.1E-3
3.75	6.8E-2	-	-	6.6E-3	5.2E-2	6.3E-3	1.1E-3
4	7.0E-2	1.7E-4	1.3E-2	6.1E-3	5.4E-2	6.6E-3	1.2E-3
4.25	7.3E-2	-	-	5.8E-3	5.7E-2	7.0E-3	1.2E-3
4.5	7.6E-2	-	-	5.6E-3	5.9E-2	7.3E-3	1.3E-3
4.75	7.8E-2	-	-	5.4E-3	6.2E-2	7.6E-3	1.3E-3
5	8.0E-2	1.5E-4	5.8E-3	5.2E-3	6.4E-2	7.9E-3	1.3E-3
5.5	8.5E-2	-	-	5.0E-3	6.8E-2	8.4E-3	1.4E-3
6	8.9E-2	1.3E-4	3.2E-3	4.9E-3	7.1E-2	8.9E-3	1.4E-3
6.5	9.2E-2	-	-	4.9E-3	7.4E-2	9.3E-3	1.5E-3
7	9.5E-2	1.2E-4	2.2E-3	4.8E-3	7.7E-2	9.7E-3	1.5E-3
7.5	9.8E-2	-	-	4.7E-3	7.9E-2	1.0E-2	1.6E-3
8	1.0E-1	1.1E-4	1.7E-3	4.7E-3	8.1E-2	1.0E-2	1.6E-3
8.5	1.0E-1	-	-	4.6E-3	8.3E-2	1.1E-2	1.6E-3
9	1.0E-1	9.9E-5	1.4E-3	4.6E-3	8.4E-2	1.1E-2	1.6E-3
9.5	1.1E-1	-	-	4.5E-3	8.6E-2	1.1E-2	1.7E-3
10	1.1E-1	9.3E-5	1.2E-3	4.5E-3	8.7E-2	1.2E-2	1.7E-3
11	1.1E-1	8.8E-5	1.0E-3	4.4E-3	8.9E-2	1.2E-2	1.7E-3
12	1.1E-1	8.4E-5	8.8E-4	4.3E-3	9.0E-2	1.2E-2	1.7E-3
