Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type M, Thorium hydroxide, fA=1E-4
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.8E-4	-	-	6.1E-5	1.6E-5	1.3E-7	6.5E-8
0.083333	7.0E-4	-	-	2.8E-4	6.1E-5	1.1E-6	5.0E-7
0.125	1.5E-3	-	-	6.6E-4	1.3E-4	3.9E-6	1.6E-6
0.25	5.6E-3	-	-	2.9E-3	4.3E-4	2.9E-5	1.1E-5
0.375	1.1E-2	-	-	6.9E-3	8.6E-4	8.5E-5	3.1E-5
0.5	1.8E-2	-	-	1.2E-2	1.4E-3	1.7E-4	5.9E-5
0.625	2.6E-2	-	-	1.9E-2	2.0E-3	2.8E-4	9.4E-5
0.75	3.4E-2	-	-	2.5E-2	2.6E-3	4.1E-4	1.3E-4
0.875	4.2E-2	-	-	3.2E-2	3.3E-3	5.5E-4	1.7E-4
1	4.9E-2	5.3E-4	8.4E-2	3.9E-2	4.1E-3	7.0E-4	2.1E-4
1.125	5.5E-2	-	-	4.4E-2	4.8E-3	8.5E-4	2.5E-4
1.25	6.1E-2	-	-	4.9E-2	5.6E-3	1.0E-3	2.8E-4
1.375	6.5E-2	-	-	5.3E-2	6.3E-3	1.2E-3	3.1E-4
1.5	6.8E-2	-	-	5.5E-2	7.1E-3	1.3E-3	3.4E-4
1.625	6.9E-2	-	-	5.6E-2	7.8E-3	1.4E-3	3.7E-4
1.75	7.0E-2	-	-	5.7E-2	8.6E-3	1.6E-3	3.9E-4
1.875	7.0E-2	-	-	5.6E-2	9.3E-3	1.7E-3	4.1E-4
2	6.9E-2	2.3E-4	2.7E-1	5.4E-2	1.0E-2	1.8E-3	4.3E-4
2.25	6.6E-2	-	-	5.0E-2	1.1E-2	2.1E-3	4.7E-4
2.5	6.1E-2	-	-	4.4E-2	1.3E-2	2.3E-3	5.0E-4
2.75	5.6E-2	-	-	3.7E-2	1.4E-2	2.5E-3	5.2E-4
3	5.0E-2	1.0E-4	1.7E-1	3.1E-2	1.5E-2	2.7E-3	5.4E-4
3.25	4.6E-2	-	-	2.5E-2	1.6E-2	2.9E-3	5.6E-4
3.5	4.2E-2	-	-	2.0E-2	1.8E-2	3.0E-3	5.8E-4
3.75	3.9E-2	-	-	1.6E-2	1.9E-2	3.2E-3	5.9E-4
4	3.7E-2	7.7E-5	6.6E-2	1.2E-2	2.0E-2	3.3E-3	6.1E-4
4.25	3.5E-2	-	-	9.7E-3	2.0E-2	3.5E-3	6.2E-4
4.5	3.4E-2	-	-	7.7E-3	2.1E-2	3.6E-3	6.3E-4
4.75	3.4E-2	-	-	6.1E-3	2.2E-2	3.7E-3	6.4E-4
5	3.4E-2	6.6E-5	2.0E-2	5.0E-3	2.3E-2	3.8E-3	6.5E-4
5.5	3.4E-2	-	-	3.5E-3	2.4E-2	4.1E-3	6.7E-4
6	3.5E-2	5.7E-5	5.4E-3	2.8E-3	2.5E-2	4.3E-3	6.9E-4
6.5	3.5E-2	-	-	2.4E-3	2.7E-2	4.4E-3	7.0E-4
7	3.6E-2	5.1E-5	1.7E-3	2.2E-3	2.7E-2	4.6E-3	7.1E-4
7.5	3.7E-2	-	-	2.1E-3	2.8E-2	4.8E-3	7.2E-4
8	3.8E-2	4.6E-5	8.2E-4	2.0E-3	2.9E-2	4.9E-3	7.3E-4
8.5	3.9E-2	-	-	2.0E-3	3.0E-2	5.0E-3	7.4E-4
9	4.0E-2	4.3E-5	5.5E-4	1.9E-3	3.0E-2	5.2E-3	7.5E-4
9.5	4.0E-2	-	-	1.9E-3	3.1E-2	5.3E-3	7.6E-4
