Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including thorium chloride, citrate, nitrate and sulphate; thorium fluoride, fA=5E-5
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.9E-4	-	-	1.8E-5	1.4E-4	2.2E-6	9.8E-7
0.083333	7.6E-4	-	-	9.2E-5	5.4E-4	1.3E-5	4.5E-6
0.125	1.7E-3	-	-	2.3E-4	1.2E-3	3.5E-5	1.0E-5
0.25	6.3E-3	-	-	1.1E-3	4.3E-3	1.6E-4	4.3E-5
0.375	1.3E-2	-	-	2.5E-3	9.0E-3	3.9E-4	9.7E-5
0.5	2.2E-2	-	-	4.4E-3	1.5E-2	7.0E-4	1.7E-4
0.625	3.2E-2	-	-	6.8E-3	2.2E-2	1.1E-3	2.5E-4
0.75	4.2E-2	-	-	9.3E-3	2.9E-2	1.5E-3	3.4E-4
0.875	5.4E-2	-	-	1.2E-2	3.7E-2	2.0E-3	4.4E-4
1	6.5E-2	2.8E-3	2.6E-2	1.5E-2	4.5E-2	2.5E-3	5.4E-4
1.125	7.7E-2	-	-	1.7E-2	5.3E-2	3.1E-3	6.5E-4
1.25	8.8E-2	-	-	1.9E-2	6.2E-2	3.6E-3	7.6E-4
1.375	9.9E-2	-	-	2.1E-2	7.0E-2	4.2E-3	8.6E-4
1.5	1.1E-1	-	-	2.3E-2	7.9E-2	4.8E-3	9.7E-4
1.625	1.2E-1	-	-	2.4E-2	8.7E-2	5.4E-3	1.1E-3
1.75	1.3E-1	-	-	2.5E-2	9.5E-2	5.9E-3	1.2E-3
1.875	1.4E-1	-	-	2.6E-2	1.0E-1	6.5E-3	1.3E-3
2	1.5E-1	7.1E-4	8.9E-2	2.6E-2	1.1E-1	7.1E-3	1.4E-3
2.25	1.7E-1	-	-	2.6E-2	1.3E-1	8.1E-3	1.6E-3
2.5	1.8E-1	-	-	2.6E-2	1.4E-1	9.2E-3	1.8E-3
2.75	2.0E-1	-	-	2.6E-2	1.5E-1	1.0E-2	1.9E-3
3	2.1E-1	4.6E-4	7.0E-2	2.5E-2	1.7E-1	1.1E-2	2.1E-3
3.25	2.2E-1	-	-	2.4E-2	1.8E-1	1.2E-2	2.2E-3
3.5	2.3E-1	-	-	2.3E-2	1.9E-1	1.3E-2	2.4E-3
3.75	2.4E-1	-	-	2.3E-2	2.0E-1	1.4E-2	2.5E-3
4	2.5E-1	3.9E-4	4.0E-2	2.2E-2	2.1E-1	1.4E-2	2.6E-3
4.25	2.6E-1	-	-	2.2E-2	2.2E-1	1.5E-2	2.7E-3
4.5	2.7E-1	-	-	2.1E-2	2.3E-1	1.6E-2	2.8E-3
4.75	2.8E-1	-	-	2.1E-2	2.4E-1	1.7E-2	2.9E-3
5	2.9E-1	3.5E-4	2.5E-2	2.1E-2	2.4E-1	1.7E-2	3.0E-3
5.5	3.0E-1	-	-	2.0E-2	2.6E-1	1.9E-2	3.1E-3
6	3.2E-1	3.2E-4	1.8E-2	2.0E-2	2.7E-1	2.0E-2	3.3E-3
6.5	3.3E-1	-	-	1.9E-2	2.8E-1	2.1E-2	3.4E-3
7	3.4E-1	3.0E-4	1.4E-2	1.9E-2	2.9E-1	2.2E-2	3.5E-3
7.5	3.4E-1	-	-	1.8E-2	2.9E-1	2.3E-2	3.6E-3
8	3.5E-1	2.8E-4	1.1E-2	1.8E-2	3.0E-1	2.3E-2	3.7E-3
8.5	3.6E-1	-	-	1.7E-2	3.1E-1	2.4E-2	3.7E-3
9	3.6E-1	2.6E-4	9.3E-3	1.7E-2	3.1E-1	2.5E-2	3.8E-3
9.5	3.7E-1	-	-	1.6E-2	3.2E-1	2.6E-2	3.9E-3
10	3.7E-1	2.5E-4	7.7E-3	1.6E-2	3.2E-1	2.6E-2	3.9E-3
11	3.8E-1	2.4E-4	6.4E-3	1.5E-2	3.2E-1	2.8E-2	4.0E-3
12	3.8E-1	2.3E-4	5.4E-3	1.4E-2	3.3E-1	2.9E-2	4.1E-3
13	3.9E-1	2.3E-4	4.5E-3	1.3E-2	3.3E-1	3.0E-2	4.2E-3
14	3.9E-1	2.2E-4	3.8E-3	1.3E-2	3.3E-1	3.1E-2	4.3E-3
15	3.9E-1	2.2E-4	3.3E-3	1.2E-2	3.3E-1	3.2E-2	4.4E-3
16	3.9E-1	2.1E-4	2.8E-3	1.2E-2	3.3E-1	3.2E-2	4.5E-3
17	3.9E-1	2.1E-4	2.4E-3	1.2E-2	3.3E-1	3.3E-2	4.5E-3
18	3.9E-1	2.0E-4	2.1E-3	1.1E-2	3.3E-1	3.4E-2	4.6E-3
19	3.9E-1	2.0E-4	1.8E-3	1.1E-2	3.3E-1	3.5E-2	4.7E-3
20	3.9E-1	2.0E-4	1.6E-3	1.1E-2	3.3E-1	3.5E-2	4.7E-3
21	3.9E-1	2.0E-4	1.5E-3	1.1E-2	3.3E-1	3.6E-2	4.8E-3
22	3.9E-1	1.9E-4	1.3E-3	1.1E-2	3.3E-1	3.7E-2	4.9E-3
23	3.9E-1	1.9E-4	1.2E-3	1.1E-2	3.3E-1	3.7E-2	4.9E-3
24	3.9E-1	1.9E-4	1.1E-3	1.1E-2	3.2E-1	3.8E-2	5.0E-3
25	3.9E-1	1.9E-4	1.0E-3	1.1E-2	3.2E-1	3.8E-2	5.1E-3
26	3.8E-1	1.9E-4	9.6E-4	1.1E-2	3.2E-1	3.9E-2	5.1E-3
27	3.8E-1	1.8E-4	9.1E-4	1.1E-2	3.2E-1	4.0E-2	5.2E-3
28	3.8E-1	1.8E-4	8.6E-4	1.1E-2	3.2E-1	4.0E-2	5.2E-3
29	3.8E-1	1.8E-4	8.3E-4	1.1E-2	3.1E-1	4.1E-2	5.3E-3
30	3.8E-1	1.8E-4	7.9E-4	1.1E-2	3.1E-1	4.1E-2	5.4E-3
31	3.8E-1	1.8E-4	7.7E-4	1.1E-2	3.1E-1	4.2E-2	5.4E-3
32	3.8E-1	1.7E-4	7.4E-4	1.1E-2	3.1E-1	4.2E-2	5.5E-3
33	3.7E-1	1.7E-4	7.2E-4	1.1E-2	3.0E-1	4.3E-2	5.5E-3
34	3.7E-1	1.7E-4	7.1E-4	1.1E-2	3.0E-1	4.3E-2	5.6E-3
35	3.7E-1	1.7E-4	6.9E-4	1.1E-2	3.0E-1	4.4E-2	5.6E-3
36	3.7E-1	1.7E-4	6.8E-4	1.2E-2	3.0E-1	4.4E-2	5.7E-3
37	3.7E-1	1.7E-4	6.7E-4	1.2E-2	2.9E-1	4.5E-2	5.8E-3
38	3.7E-1	1.6E-4	6.6E-4	1.2E-2	2.9E-1	4.5E-2	5.8E-3
39	3.6E-1	1.6E-4	6.5E-4	1.2E-2	2.9E-1	4.6E-2	5.9E-3
40	3.6E-1	1.6E-4	6.4E-4	1.2E-2	2.9E-1	4.6E-2	5.9E-3
41	3.6E-1	1.6E-4	6.3E-4	1.2E-2	2.9E-1	4.7E-2	6.0E-3
42	3.6E-1	1.6E-4	6.2E-4	1.2E-2	2.8E-1	4.7E-2	6.0E-3
43	3.6E-1	1.6E-4	6.2E-4	1.2E-2	2.8E-1	4.8E-2	6.1E-3
44	3.6E-1	1.6E-4	6.1E-4	1.2E-2	2.8E-1	4.8E-2	6.1E-3
45	3.5E-1	1.5E-4	6.0E-4	1.2E-2	2.8E-1	4.9E-2	6.2E-3
46	3.5E-1	1.5E-4	6.0E-4	1.2E-2	2.7E-1	4.9E-2	6.2E-3
47	3.5E-1	1.5E-4	5.9E-4	1.2E-2	2.7E-1	4.9E-2	6.3E-3
48	3.5E-1	1.5E-4	5.8E-4	1.2E-2	2.7E-1	5.0E-2	6.3E-3
49	3.5E-1	1.5E-4	5.8E-4	1.3E-2	2.7E-1	5.0E-2	6.4E-3
50	3.5E-1	1.5E-4	5.7E-4	1.3E-2	2.7E-1	5.1E-2	6.4E-3
51	3.5E-1	1.5E-4	5.7E-4	1.3E-2	2.6E-1	5.1E-2	6.5E-3
52	3.4E-1	1.4E-4	5.6E-4	1.3E-2	2.6E-1	5.2E-2	6.5E-3
53	3.4E-1	1.4E-4	5.6E-4	1.3E-2	2.6E-1	5.2E-2	6.6E-3
54	3.4E-1	1.4E-4	5.5E-4	1.3E-2	2.6E-1	5.2E-2	6.6E-3
55	3.4E-1	1.4E-4	5.5E-4	1.3E-2	2.6E-1	5.3E-2	6.7E-3
56	3.4E-1	1.4E-4	5.4E-4	1.3E-2	2.5E-1	5.3E-2	6.7E-3
57	3.4E-1	1.4E-4	5.4E-4	1.3E-2	2.5E-1	5.4E-2	6.8E-3
58	3.4E-1	1.4E-4	5.3E-4	1.3E-2	2.5E-1	5.4E-2	6.8E-3
59	3.3E-1	1.4E-4	5.3E-4	1.3E-2	2.5E-1	5.4E-2	6.9E-3
60	3.3E-1	1.4E-4	5.2E-4	1.3E-2	2.5E-1	5.5E-2	6.9E-3
61	3.3E-1	1.3E-4	5.2E-4	1.3E-2	2.4E-1	5.5E-2	6.9E-3
62	3.3E-1	1.3E-4	5.1E-4	1.3E-2	2.4E-1	5.6E-2	7.0E-3
63	3.3E-1	1.3E-4	5.1E-4	1.3E-2	2.4E-1	5.6E-2	7.0E-3
64	3.3E-1	1.3E-4	5.0E-4	1.4E-2	2.4E-1	5.6E-2	7.1E-3
65	3.3E-1	1.3E-4	5.0E-4	1.4E-2	2.4E-1	5.7E-2	7.1E-3
66	3.3E-1	1.3E-4	5.0E-4	1.4E-2	2.4E-1	5.7E-2	7.2E-3
67	3.2E-1	1.3E-4	4.9E-4	1.4E-2	2.3E-1	5.8E-2	7.2E-3
68	3.2E-1	1.3E-4	4.9E-4	1.4E-2	2.3E-1	5.8E-2	7.2E-3
69	3.2E-1	1.3E-4	4.8E-4	1.4E-2	2.3E-1	5.8E-2	7.3E-3
70	3.2E-1	1.2E-4	4.8E-4	1.4E-2	2.3E-1	5.9E-2	7.3E-3
71	3.2E-1	1.2E-4	4.7E-4	1.4E-2	2.3E-1	5.9E-2	7.4E-3
72	3.2E-1	1.2E-4	4.7E-4	1.4E-2	2.2E-1	5.9E-2	7.4E-3
73	3.2E-1	1.2E-4	4.7E-4	1.4E-2	2.2E-1	6.0E-2	7.4E-3
74	3.2E-1	1.2E-4	4.6E-4	1.4E-2	2.2E-1	6.0E-2	7.5E-3
75	3.1E-1	1.2E-4	4.6E-4	1.4E-2	2.2E-1	6.0E-2	7.5E-3
76	3.1E-1	1.2E-4	4.5E-4	1.4E-2	2.2E-1	6.1E-2	7.6E-3
77	3.1E-1	1.2E-4	4.5E-4	1.4E-2	2.2E-1	6.1E-2	7.6E-3
78	3.1E-1	1.2E-4	4.5E-4	1.4E-2	2.1E-1	6.1E-2	7.6E-3
79	3.1E-1	1.2E-4	4.4E-4	1.4E-2	2.1E-1	6.2E-2	7.7E-3
80	3.1E-1	1.2E-4	4.4E-4	1.4E-2	2.1E-1	6.2E-2	7.7E-3
81	3.1E-1	1.1E-4	4.3E-4	1.4E-2	2.1E-1	6.2E-2	7.7E-3
