Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type S, Oxide, all unspecified forms, fA=5E-6
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	6.4E-5	-	-	9.4E-6	4.0E-5	7.2E-9	3.9E-9
0.083333	2.6E-4	-	-	4.3E-5	1.6E-4	7.0E-8	3.1E-8
0.125	5.7E-4	-	-	1.1E-4	3.5E-4	2.4E-7	9.9E-8
0.25	2.1E-3	-	-	4.8E-4	1.3E-3	1.9E-6	6.7E-7
0.375	4.4E-3	-	-	1.1E-3	2.7E-3	5.6E-6	1.9E-6
0.5	7.2E-3	-	-	2.0E-3	4.5E-3	1.1E-5	3.6E-6
0.625	1.0E-2	-	-	3.1E-3	6.6E-3	1.9E-5	5.8E-6
0.75	1.4E-2	-	-	4.2E-3	8.8E-3	2.9E-5	8.3E-6
0.875	1.8E-2	-	-	5.4E-3	1.1E-2	4.0E-5	1.1E-5
1	2.1E-2	5.5E-5	1.4E-2	6.5E-3	1.4E-2	5.2E-5	1.4E-5
1.125	2.5E-2	-	-	7.5E-3	1.6E-2	6.4E-5	1.6E-5
1.25	2.8E-2	-	-	8.4E-3	1.9E-2	7.7E-5	1.9E-5
1.375	3.1E-2	-	-	9.1E-3	2.2E-2	9.1E-5	2.2E-5
1.5	3.5E-2	-	-	9.6E-3	2.4E-2	1.0E-4	2.4E-5
1.625	3.8E-2	-	-	9.9E-3	2.7E-2	1.2E-4	2.6E-5
1.75	4.0E-2	-	-	1.0E-2	3.0E-2	1.3E-4	2.9E-5
1.875	4.3E-2	-	-	1.0E-2	3.2E-2	1.4E-4	3.1E-5
2	4.5E-2	2.5E-5	4.4E-2	9.9E-3	3.5E-2	1.6E-4	3.3E-5
2.25	5.0E-2	-	-	9.4E-3	4.0E-2	1.8E-4	3.7E-5
2.5	5.4E-2	-	-	8.6E-3	4.5E-2	2.1E-4	4.1E-5
2.75	5.7E-2	-	-	7.8E-3	4.9E-2	2.3E-4	4.4E-5
3	6.1E-2	1.0E-5	3.1E-2	6.9E-3	5.3E-2	2.5E-4	4.7E-5
3.25	6.4E-2	-	-	6.1E-3	5.8E-2	2.7E-4	5.0E-5
3.5	6.7E-2	-	-	5.4E-3	6.1E-2	2.9E-4	5.3E-5
3.75	7.0E-2	-	-	4.8E-3	6.5E-2	3.1E-4	5.5E-5
4	7.3E-2	7.7E-6	1.4E-2	4.4E-3	6.9E-2	3.2E-4	5.7E-5
4.25	7.6E-2	-	-	4.0E-3	7.2E-2	3.4E-4	5.9E-5
4.5	7.9E-2	-	-	3.7E-3	7.5E-2	3.5E-4	6.1E-5
4.75	8.2E-2	-	-	3.4E-3	7.8E-2	3.7E-4	6.2E-5
5	8.4E-2	6.5E-6	6.5E-3	3.2E-3	8.1E-2	3.8E-4	6.4E-5
5.5	8.9E-2	-	-	3.0E-3	8.6E-2	4.0E-4	6.6E-5
6	9.4E-2	5.6E-6	3.8E-3	2.8E-3	9.0E-2	4.3E-4	6.8E-5
6.5	9.8E-2	-	-	2.6E-3	9.4E-2	4.5E-4	7.0E-5
7	1.0E-1	4.9E-6	2.7E-3	2.5E-3	9.8E-2	4.6E-4	7.1E-5
7.5	1.0E-1	-	-	2.4E-3	1.0E-1	4.8E-4	7.3E-5
8	1.1E-1	4.4E-6	2.2E-3	2.3E-3	1.0E-1	4.9E-4	7.4E-5
8.5	1.1E-1	-	-	2.1E-3	1.1E-1	5.1E-4	7.4E-5
9	1.1E-1	4.0E-6	1.8E-3	2.0E-3	1.1E-1	5.2E-4	7.5E-5
9.5	1.1E-1	-	-	1.9E-3	1.1E-1	5.3E-4	7.6E-5
