Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type S, Oxide, all unspecified forms, fA=5E-6
AMTD/AMAD, µm	10

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.7E-4	-	-	6.0E-5	8.4E-6	4.9E-9	2.4E-9
0.083333	6.6E-4	-	-	2.7E-4	3.1E-5	4.2E-8	1.8E-8
0.125	1.4E-3	-	-	6.5E-4	6.5E-5	1.4E-7	6.1E-8
0.25	5.2E-3	-	-	2.9E-3	2.2E-4	1.1E-6	4.2E-7
0.375	1.1E-2	-	-	6.8E-3	4.6E-4	3.1E-6	1.2E-6
0.5	1.7E-2	-	-	1.2E-2	7.5E-4	6.3E-6	2.2E-6
0.625	2.5E-2	-	-	1.9E-2	1.1E-3	1.0E-5	3.5E-6
0.75	3.2E-2	-	-	2.5E-2	1.5E-3	1.5E-5	5.0E-6
0.875	3.9E-2	-	-	3.2E-2	1.9E-3	2.0E-5	6.4E-6
1	4.6E-2	1.6E-5	8.3E-2	3.8E-2	2.3E-3	2.5E-5	7.8E-6
1.125	5.1E-2	-	-	4.4E-2	2.7E-3	3.0E-5	9.1E-6
1.25	5.6E-2	-	-	4.9E-2	3.2E-3	3.5E-5	1.0E-5
1.375	5.9E-2	-	-	5.2E-2	3.6E-3	4.0E-5	1.1E-5
1.5	6.2E-2	-	-	5.4E-2	4.0E-3	4.5E-5	1.2E-5
1.625	6.3E-2	-	-	5.6E-2	4.5E-3	4.9E-5	1.3E-5
1.75	6.3E-2	-	-	5.6E-2	4.9E-3	5.3E-5	1.4E-5
1.875	6.2E-2	-	-	5.5E-2	5.3E-3	5.7E-5	1.5E-5
2	6.1E-2	6.5E-6	2.6E-1	5.3E-2	5.7E-3	6.1E-5	1.5E-5
2.25	5.6E-2	-	-	4.9E-2	6.6E-3	6.8E-5	1.6E-5
2.5	5.1E-2	-	-	4.2E-2	7.3E-3	7.4E-5	1.7E-5
2.75	4.5E-2	-	-	3.6E-2	8.1E-3	8.0E-5	1.7E-5
3	3.9E-2	2.8E-6	1.7E-1	2.9E-2	8.8E-3	8.5E-5	1.8E-5
3.25	3.3E-2	-	-	2.3E-2	9.4E-3	8.9E-5	1.8E-5
3.5	2.9E-2	-	-	1.8E-2	1.0E-2	9.4E-5	1.8E-5
3.75	2.5E-2	-	-	1.4E-2	1.1E-2	9.7E-5	1.8E-5
4	2.3E-2	2.1E-6	6.5E-2	1.1E-2	1.1E-2	1.0E-4	1.9E-5
4.25	2.0E-2	-	-	8.3E-3	1.2E-2	1.0E-4	1.9E-5
4.5	1.9E-2	-	-	6.2E-3	1.2E-2	1.1E-4	1.9E-5
4.75	1.8E-2	-	-	4.7E-3	1.3E-2	1.1E-4	1.9E-5
5	1.7E-2	1.7E-6	1.9E-2	3.5E-3	1.3E-2	1.1E-4	1.9E-5
5.5	1.6E-2	-	-	2.0E-3	1.4E-2	1.2E-4	1.9E-5
6	1.6E-2	1.5E-6	5.1E-3	1.3E-3	1.5E-2	1.2E-4	2.0E-5
6.5	1.7E-2	-	-	8.7E-4	1.5E-2	1.3E-4	2.0E-5
7	1.7E-2	1.3E-6	1.5E-3	6.6E-4	1.6E-2	1.3E-4	2.0E-5
7.5	1.7E-2	-	-	5.5E-4	1.6E-2	1.4E-4	2.0E-5
8	1.8E-2	1.1E-6	6.4E-4	4.9E-4	1.7E-2	1.4E-4	2.0E-5
8.5	1.8E-2	-	-	4.5E-4	1.7E-2	1.4E-4	2.0E-5
9	1.9E-2	1.0E-6	4.0E-4	4.2E-4	1.8E-2	1.4E-4	2.0E-5
9.5	1.9E-2	-	-	3.9E-4	1.8E-2	1.5E-4	2.1E-5
10	1.9E-2	9.2E-7	3.1E-4	3.7E-4	1.8E-2	1.5E-4	2.1E-5
11	2.0E-2	8.5E-7	2.6E-4	3.3E-4	1.9E-2	1.5E-4	2.1E-5
12	2.0E-2	7.9E-7	2.2E-4	2.9E-4	1.9E-2	1.6E-4	2.1E-5
13	2.0E-2	7.4E-7	1.9E-4	2.6E-4	1.9E-2	1.6E-4	2.1E-5
14	2.0E-2	7.0E-7	1.6E-4	2.4E-4	2.0E-2	1.6E-4	2.1E-5
15	2.1E-2	6.7E-7	1.4E-4	2.2E-4	2.0E-2	1.7E-4	2.1E-5
16	2.1E-2	6.4E-7	1.2E-4	2.0E-4	2.0E-2	1.7E-4	2.1E-5
17	2.1E-2	6.1E-7	1.1E-4	1.8E-4	2.0E-2	1.7E-4	2.1E-5
18	2.1E-2	5.9E-7	9.6E-5	1.7E-4	2.0E-2	1.7E-4	2.1E-5
19	2.1E-2	5.7E-7	8.7E-5	1.6E-4	2.0E-2	1.7E-4	2.2E-5
20	2.1E-2	5.5E-7	7.9E-5	1.5E-4	2.0E-2	1.7E-4	2.2E-5
21	2.1E-2	5.3E-7	7.2E-5	1.4E-4	2.0E-2	1.7E-4	2.2E-5
22	2.1E-2	5.2E-7	6.7E-5	1.4E-4	2.0E-2	1.7E-4	2.2E-5
23	2.1E-2	5.0E-7	6.3E-5	1.3E-4	2.0E-2	1.8E-4	2.2E-5
24	2.1E-2	4.9E-7	5.9E-5	1.3E-4	2.0E-2	1.8E-4	2.2E-5
25	2.1E-2	4.7E-7	5.6E-5	1.2E-4	2.0E-2	1.8E-4	2.2E-5
26	2.1E-2	4.6E-7	5.4E-5	1.2E-4	2.0E-2	1.8E-4	2.2E-5
27	2.1E-2	4.5E-7	5.1E-5	1.2E-4	2.0E-2	1.8E-4	2.2E-5
28	2.1E-2	4.4E-7	5.0E-5	1.2E-4	2.0E-2	1.8E-4	2.2E-5
29	2.1E-2	4.2E-7	4.8E-5	1.1E-4	2.0E-2	1.8E-4	2.2E-5
30	2.1E-2	4.1E-7	4.7E-5	1.1E-4	2.0E-2	1.8E-4	2.2E-5
31	2.1E-2	4.0E-7	4.6E-5	1.1E-4	2.0E-2	1.8E-4	2.2E-5
32	2.1E-2	3.9E-7	4.5E-5	1.1E-4	2.0E-2	1.8E-4	2.2E-5
33	2.1E-2	3.9E-7	4.4E-5	1.1E-4	2.0E-2	1.8E-4	2.2E-5
34	2.0E-2	3.8E-7	4.4E-5	1.1E-4	2.0E-2	1.8E-4	2.2E-5
35	2.0E-2	3.7E-7	4.3E-5	1.1E-4	2.0E-2	1.8E-4	2.3E-5
36	2.0E-2	3.6E-7	4.3E-5	1.1E-4	2.0E-2	1.8E-4	2.3E-5
37	2.0E-2	3.5E-7	4.2E-5	1.1E-4	1.9E-2	1.8E-4	2.3E-5
38	2.0E-2	3.5E-7	4.2E-5	1.1E-4	1.9E-2	1.9E-4	2.3E-5
39	2.0E-2	3.4E-7	4.2E-5	1.1E-4	1.9E-2	1.9E-4	2.3E-5
40	2.0E-2	3.3E-7	4.1E-5	1.1E-4	1.9E-2	1.9E-4	2.3E-5
41	2.0E-2	3.3E-7	4.1E-5	1.1E-4	1.9E-2	1.9E-4	2.3E-5
42	2.0E-2	3.2E-7	4.1E-5	1.1E-4	1.9E-2	1.9E-4	2.3E-5
43	2.0E-2	3.1E-7	4.1E-5	1.1E-4	1.9E-2	1.9E-4	2.3E-5
44	2.0E-2	3.1E-7	4.0E-5	1.0E-4	1.9E-2	1.9E-4	2.3E-5
45	2.0E-2	3.0E-7	4.0E-5	1.0E-4	1.9E-2	1.9E-4	2.3E-5
46	2.0E-2	3.0E-7	4.0E-5	1.0E-4	1.9E-2	1.9E-4	2.3E-5
47	2.0E-2	2.9E-7	4.0E-5	1.0E-4	1.9E-2	1.9E-4	2.3E-5
48	2.0E-2	2.9E-7	4.0E-5	1.0E-4	1.9E-2	1.9E-4	2.3E-5
49	2.0E-2	2.8E-7	3.9E-5	1.0E-4	1.9E-2	1.9E-4	2.3E-5
50	2.0E-2	2.8E-7	3.9E-5	1.0E-4	1.9E-2	1.9E-4	2.3E-5
51	1.9E-2	2.8E-7	3.9E-5	1.0E-4	1.9E-2	1.9E-4	2.4E-5
52	1.9E-2	2.7E-7	3.9E-5	1.0E-4	1.9E-2	1.9E-4	2.4E-5
53	1.9E-2	2.7E-7	3.9E-5	1.0E-4	1.9E-2	1.9E-4	2.4E-5
54	1.9E-2	2.6E-7	3.8E-5	1.0E-4	1.9E-2	1.9E-4	2.4E-5
55	1.9E-2	2.6E-7	3.8E-5	1.0E-4	1.8E-2	1.9E-4	2.4E-5
56	1.9E-2	2.6E-7	3.8E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
57	1.9E-2	2.5E-7	3.8E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
58	1.9E-2	2.5E-7	3.8E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
59	1.9E-2	2.5E-7	3.8E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
60	1.9E-2	2.5E-7	3.8E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
61	1.9E-2	2.4E-7	3.7E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
62	1.9E-2	2.4E-7	3.7E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
63	1.9E-2	2.4E-7	3.7E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
64	1.9E-2	2.4E-7	3.7E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
65	1.9E-2	2.3E-7	3.7E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
66	1.9E-2	2.3E-7	3.7E-5	1.0E-4	1.8E-2	2.0E-4	2.4E-5
67	1.9E-2	2.3E-7	3.6E-5	1.0E-4	1.8E-2	2.0E-4	2.5E-5
68	1.9E-2	2.3E-7	3.6E-5	1.0E-4	1.8E-2	2.0E-4	2.5E-5
69	1.9E-2	2.2E-7	3.6E-5	1.0E-4	1.8E-2	2.0E-4	2.5E-5
70	1.8E-2	2.2E-7	3.6E-5	1.0E-4	1.8E-2	2.0E-4	2.5E-5
71	1.8E-2	2.2E-7	3.6E-5	1.0E-4	1.8E-2	2.0E-4	2.5E-5
72	1.8E-2	2.2E-7	3.6E-5	1.0E-4	1.8E-2	2.0E-4	2.5E-5
73	1.8E-2	2.2E-7	3.6E-5	1.0E-4	1.8E-2	2.0E-4	2.5E-5
74	1.8E-2	2.2E-7	3.5E-5	9.9E-5	1.7E-2	2.0E-4	2.5E-5
75	1.8E-2	2.1E-7	3.5E-5	9.9E-5	1.7E-2	2.0E-4	2.5E-5
76	1.8E-2	2.1E-7	3.5E-5	9.9E-5	1.7E-2	2.1E-4	2.5E-5
77	1.8E-2	2.1E-7	3.5E-5	9.9E-5	1.7E-2	2.1E-4	2.5E-5
78	1.8E-2	2.1E-7	3.5E-5	9.9E-5	1.7E-2	2.1E-4	2.5E-5
79	1.8E-2	2.1E-7	3.5E-5	9.9E-5	1.7E-2	2.1E-4	2.5E-5
80	1.8E-2	2.1E-7	3.5E-5	9.9E-5	1.7E-2	2.1E-4	2.5E-5
81	1.8E-2	2.0E-7	3.4E-5	9.8E-5	1.7E-2	2.1E-4	2.5E-5
82	1.8E-2	2.0E-7	3.4E-5	9.8E-5	1.7E-2	2.1E-4	2.5E-5
83	1.8E-2	2.0E-7	3.4E-5	9.8E-5	1.7E-2	2.1E-4	2.5E-5
84	1.8E-2	2.0E-7	3.4E-5	9.8E-5	1.7E-2	2.1E-4	2.6E-5
85	1.8E-2	2.0E-7	3.4E-5	9.8E-5	1.7E-2	2.1E-4	2.6E-5
86	1.8E-2	2.0E-7	3.4E-5	9.8E-5	1.7E-2	2.1E-4	2.6E-5
87	1.8E-2	2.0E-7	3.4E-5	9.8E-5	1.7E-2	2.1E-4	2.6E-5
88	1.8E-2	2.0E-7	3.3E-5	9.7E-5	1.7E-2	2.1E-4	2.6E-5
89	1.8E-2	2.0E-7	3.3E-5	9.7E-5	1.7E-2	2.1E-4	2.6E-5
90	1.7E-2	1.9E-7	3.3E-5	9.7E-5	1.7E-2	2.1E-4	2.6E-5
91	1.7E-2	1.9E-7	3.3E-5	9.7E-5	1.7E-2	2.1E-4	2.6E-5
92	1.7E-2	1.9E-7	3.3E-5	9.7E-5	1.7E-2	2.1E-4	2.6E-5
93	1.7E-2	1.9E-7	3.3E-5	9.7E-5	1.7E-2	2.1E-4	2.6E-5
94	1.7E-2	1.9E-7	3.3E-5	9.6E-5	1.6E-2	2.1E-4	2.6E-5
95	1.7E-2	1.9E-7	3.3E-5	9.6E-5	1.6E-2	2.1E-4	2.6E-5
96	1.7E-2	1.9E-7	3.2E-5	9.6E-5	1.6E-2	2.1E-4	2.6E-5
97	1.7E-2	1.9E-7	3.2E-5	9.6E-5	1.6E-2	2.1E-4	2.6E-5
98	1.7E-2	1.9E-7	3.2E-5	9.6E-5	1.6E-2	2.2E-4	2.6E-5
99	1.7E-2	1.9E-7	3.2E-5	9.6E-5	1.6E-2	2.2E-4	2.6E-5
100	1.7E-2	1.9E-7	3.2E-5	9.6E-5	1.6E-2	2.2E-4	2.6E-5
110	1.7E-2	1.8E-7	3.1E-5	9.4E-5	1.6E-2	2.2E-4	2.7E-5
120	1.6E-2	1.7E-7	2.9E-5	9.3E-5	1.5E-2	2.2E-4	2.7E-5
130	1.6E-2	1.7E-7	2.8E-5	9.2E-5	1.5E-2	2.3E-4	2.8E-5
