Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including thorium chloride, citrate, nitrate and sulphate; thorium fluoride, fA=5E-5
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.4E-4	-	-	5.2E-5	2.9E-6	3.6E-7	1.5E-7
0.083333	5.7E-4	-	-	2.4E-4	1.0E-5	2.2E-6	7.3E-7
0.125	1.2E-3	-	-	5.6E-4	2.1E-5	5.9E-6	1.9E-6
0.25	4.5E-3	-	-	2.5E-3	6.9E-5	3.3E-5	1.0E-5
0.375	9.2E-3	-	-	5.9E-3	1.4E-4	8.5E-5	2.5E-5
0.5	1.5E-2	-	-	1.0E-2	2.3E-4	1.6E-4	4.7E-5
0.625	2.1E-2	-	-	1.6E-2	3.3E-4	2.6E-4	7.3E-5
0.75	2.7E-2	-	-	2.2E-2	4.5E-4	3.8E-4	1.0E-4
0.875	3.4E-2	-	-	2.8E-2	5.7E-4	5.1E-4	1.3E-4
1	3.9E-2	6.0E-4	7.1E-2	3.3E-2	6.9E-4	6.4E-4	1.7E-4
1.125	4.4E-2	-	-	3.8E-2	8.2E-4	7.9E-4	2.0E-4
1.25	4.8E-2	-	-	4.2E-2	9.5E-4	9.3E-4	2.3E-4
1.375	5.1E-2	-	-	4.5E-2	1.1E-3	1.1E-3	2.6E-4
1.5	5.3E-2	-	-	4.7E-2	1.2E-3	1.2E-3	2.9E-4
1.625	5.4E-2	-	-	4.8E-2	1.3E-3	1.4E-3	3.1E-4
1.75	5.4E-2	-	-	4.8E-2	1.5E-3	1.5E-3	3.4E-4
1.875	5.4E-2	-	-	4.8E-2	1.6E-3	1.7E-3	3.6E-4
2	5.2E-2	2.3E-4	2.2E-1	4.6E-2	1.7E-3	1.8E-3	3.9E-4
2.25	4.8E-2	-	-	4.2E-2	1.9E-3	2.0E-3	4.3E-4
2.5	4.3E-2	-	-	3.7E-2	2.1E-3	2.3E-3	4.6E-4
2.75	3.8E-2	-	-	3.1E-2	2.3E-3	2.5E-3	4.9E-4
3	3.3E-2	1.1E-4	1.5E-1	2.6E-2	2.5E-3	2.7E-3	5.2E-4
3.25	2.8E-2	-	-	2.1E-2	2.7E-3	2.9E-3	5.4E-4
3.5	2.4E-2	-	-	1.7E-2	2.9E-3	3.1E-3	5.7E-4
3.75	2.1E-2	-	-	1.3E-2	3.1E-3	3.3E-3	5.9E-4
4	1.9E-2	7.5E-5	5.6E-2	1.0E-2	3.2E-3	3.4E-3	6.0E-4
4.25	1.7E-2	-	-	8.0E-3	3.3E-3	3.6E-3	6.2E-4
4.5	1.5E-2	-	-	6.3E-3	3.5E-3	3.7E-3	6.3E-4
4.75	1.4E-2	-	-	5.0E-3	3.6E-3	3.9E-3	6.4E-4
5	1.4E-2	6.1E-5	1.6E-2	4.0E-3	3.7E-3	4.0E-3	6.6E-4
5.5	1.3E-2	-	-	2.8E-3	3.9E-3	4.2E-3	6.7E-4
6	1.3E-2	5.1E-5	4.1E-3	2.1E-3	4.1E-3	4.4E-3	6.9E-4
6.5	1.3E-2	-	-	1.8E-3	4.2E-3	4.6E-3	7.0E-4
7	1.3E-2	4.4E-5	1.0E-3	1.7E-3	4.4E-3	4.7E-3	7.1E-4
7.5	1.3E-2	-	-	1.6E-3	4.5E-3	4.9E-3	7.2E-4
8	1.3E-2	3.9E-5	3.2E-4	1.6E-3	4.6E-3	5.0E-3	7.3E-4
8.5	1.4E-2	-	-	1.5E-3	4.7E-3	5.1E-3	7.3E-4
9	1.4E-2	3.4E-5	1.6E-4	1.5E-3	4.8E-3	5.3E-3	7.4E-4
9.5	1.4E-2	-	-	1.5E-3	4.8E-3	5.3E-3	7.4E-4
10	1.4E-2	3.1E-5	1.1E-4	1.5E-3	4.9E-3	5.4E-3	7.4E-4
11	1.4E-2	2.8E-5	8.8E-5	1.5E-3	5.0E-3	5.6E-3	7.5E-4
12	1.5E-2	2.6E-5	7.3E-5	1.5E-3	5.1E-3	5.7E-3	7.5E-4
13	1.5E-2	2.4E-5	6.1E-5	1.5E-3	5.1E-3	5.8E-3	7.6E-4
14	1.5E-2	2.3E-5	5.2E-5	1.5E-3	5.1E-3	5.9E-3	7.6E-4
15	1.5E-2	2.1E-5	4.5E-5	1.5E-3	5.2E-3	6.0E-3	7.6E-4
16	1.5E-2	2.0E-5	3.8E-5	1.4E-3	5.2E-3	6.0E-3	7.6E-4
17	1.5E-2	1.9E-5	3.3E-5	1.4E-3	5.2E-3	6.1E-3	7.6E-4
18	1.5E-2	1.8E-5	2.9E-5	1.4E-3	5.2E-3	6.1E-3	7.6E-4
19	1.5E-2	1.7E-5	2.6E-5	1.4E-3	5.1E-3	6.2E-3	7.6E-4
20	1.5E-2	1.7E-5	2.3E-5	1.4E-3	5.1E-3	6.2E-3	7.6E-4
21	1.5E-2	1.6E-5	2.1E-5	1.4E-3	5.1E-3	6.2E-3	7.6E-4
22	1.5E-2	1.5E-5	1.9E-5	1.4E-3	5.1E-3	6.2E-3	7.6E-4
23	1.5E-2	1.5E-5	1.8E-5	1.4E-3	5.0E-3	6.2E-3	7.6E-4
24	1.5E-2	1.4E-5	1.6E-5	1.4E-3	5.0E-3	6.3E-3	7.6E-4
25	1.5E-2	1.3E-5	1.5E-5	1.4E-3	5.0E-3	6.3E-3	7.6E-4
26	1.5E-2	1.3E-5	1.4E-5	1.4E-3	5.0E-3	6.3E-3	7.6E-4
27	1.5E-2	1.2E-5	1.4E-5	1.4E-3	4.9E-3	6.3E-3	7.6E-4
28	1.5E-2	1.2E-5	1.3E-5	1.4E-3	4.9E-3	6.3E-3	7.7E-4
29	1.5E-2	1.2E-5	1.3E-5	1.4E-3	4.9E-3	6.3E-3	7.7E-4
30	1.5E-2	1.1E-5	1.2E-5	1.4E-3	4.8E-3	6.3E-3	7.7E-4
31	1.5E-2	1.1E-5	1.2E-5	1.4E-3	4.8E-3	6.3E-3	7.7E-4
32	1.5E-2	1.0E-5	1.2E-5	1.4E-3	4.8E-3	6.3E-3	7.7E-4
33	1.5E-2	1.0E-5	1.1E-5	1.4E-3	4.7E-3	6.3E-3	7.7E-4
34	1.5E-2	9.6E-6	1.1E-5	1.4E-3	4.7E-3	6.3E-3	7.7E-4
35	1.5E-2	9.3E-6	1.1E-5	1.4E-3	4.6E-3	6.3E-3	7.7E-4
36	1.5E-2	9.0E-6	1.1E-5	1.4E-3	4.6E-3	6.3E-3	7.7E-4
37	1.5E-2	8.7E-6	1.1E-5	1.4E-3	4.6E-3	6.4E-3	7.7E-4
38	1.5E-2	8.4E-6	1.0E-5	1.4E-3	4.5E-3	6.4E-3	7.7E-4
39	1.5E-2	8.1E-6	1.0E-5	1.4E-3	4.5E-3	6.4E-3	7.7E-4
40	1.5E-2	7.9E-6	1.0E-5	1.4E-3	4.5E-3	6.4E-3	7.7E-4
41	1.5E-2	7.6E-6	1.0E-5	1.4E-3	4.4E-3	6.4E-3	7.7E-4
42	1.5E-2	7.4E-6	9.9E-6	1.4E-3	4.4E-3	6.4E-3	7.7E-4
43	1.5E-2	7.1E-6	9.7E-6	1.4E-3	4.4E-3	6.4E-3	7.7E-4
44	1.4E-2	6.9E-6	9.6E-6	1.4E-3	4.3E-3	6.4E-3	7.7E-4
45	1.4E-2	6.7E-6	9.5E-6	1.4E-3	4.3E-3	6.4E-3	7.7E-4
46	1.4E-2	6.5E-6	9.5E-6	1.4E-3	4.3E-3	6.4E-3	7.7E-4
47	1.4E-2	6.3E-6	9.4E-6	1.4E-3	4.2E-3	6.4E-3	7.7E-4
48	1.4E-2	6.1E-6	9.3E-6	1.4E-3	4.2E-3	6.4E-3	7.7E-4
49	1.4E-2	6.0E-6	9.2E-6	1.4E-3	4.2E-3	6.4E-3	7.7E-4
50	1.4E-2	5.8E-6	9.1E-6	1.4E-3	4.1E-3	6.4E-3	7.7E-4
51	1.4E-2	5.6E-6	9.0E-6	1.4E-3	4.1E-3	6.4E-3	7.7E-4
52	1.4E-2	5.5E-6	8.9E-6	1.4E-3	4.1E-3	6.4E-3	7.7E-4
53	1.4E-2	5.3E-6	8.9E-6	1.4E-3	4.0E-3	6.4E-3	7.7E-4
54	1.4E-2	5.2E-6	8.8E-6	1.4E-3	4.0E-3	6.4E-3	7.7E-4
55	1.4E-2	5.0E-6	8.7E-6	1.4E-3	4.0E-3	6.4E-3	7.7E-4
56	1.4E-2	4.9E-6	8.6E-6	1.4E-3	4.0E-3	6.4E-3	7.7E-4
57	1.4E-2	4.8E-6	8.6E-6	1.4E-3	3.9E-3	6.4E-3	7.7E-4
58	1.4E-2	4.7E-6	8.5E-6	1.4E-3	3.9E-3	6.4E-3	7.7E-4
59	1.4E-2	4.5E-6	8.4E-6	1.4E-3	3.9E-3	6.4E-3	7.8E-4
60	1.4E-2	4.4E-6	8.3E-6	1.4E-3	3.8E-3	6.4E-3	7.8E-4
61	1.4E-2	4.3E-6	8.3E-6	1.4E-3	3.8E-3	6.4E-3	7.8E-4
62	1.4E-2	4.2E-6	8.2E-6	1.4E-3	3.8E-3	6.4E-3	7.8E-4
63	1.4E-2	4.1E-6	8.1E-6	1.4E-3	3.7E-3	6.4E-3	7.8E-4
64	1.4E-2	4.0E-6	8.1E-6	1.4E-3	3.7E-3	6.4E-3	7.8E-4
65	1.4E-2	4.0E-6	8.0E-6	1.4E-3	3.7E-3	6.4E-3	7.8E-4
66	1.4E-2	3.9E-6	7.9E-6	1.4E-3	3.7E-3	6.4E-3	7.8E-4
67	1.4E-2	3.8E-6	7.9E-6	1.4E-3	3.6E-3	6.5E-3	7.8E-4
68	1.4E-2	3.7E-6	7.8E-6	1.4E-3	3.6E-3	6.5E-3	7.8E-4
69	1.4E-2	3.6E-6	7.7E-6	1.4E-3	3.6E-3	6.5E-3	7.8E-4
70	1.4E-2	3.6E-6	7.7E-6	1.4E-3	3.6E-3	6.5E-3	7.8E-4
71	1.4E-2	3.5E-6	7.6E-6	1.4E-3	3.5E-3	6.5E-3	7.8E-4
72	1.4E-2	3.4E-6	7.5E-6	1.4E-3	3.5E-3	6.5E-3	7.8E-4
73	1.4E-2	3.4E-6	7.5E-6	1.4E-3	3.5E-3	6.5E-3	7.8E-4
74	1.4E-2	3.3E-6	7.4E-6	1.4E-3	3.4E-3	6.5E-3	7.8E-4
75	1.4E-2	3.2E-6	7.3E-6	1.4E-3	3.4E-3	6.5E-3	7.8E-4
76	1.4E-2	3.2E-6	7.3E-6	1.4E-3	3.4E-3	6.5E-3	7.8E-4
77	1.4E-2	3.1E-6	7.2E-6	1.4E-3	3.4E-3	6.5E-3	7.8E-4
