Radionuclide	Th-228
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-4
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Lungs* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
0.041667	1.2E-4	-	-	2.0E-5	1.9E-5	1.6E-5	7.4E-6
0.083333	4.9E-4	-	-	1.2E-4	1.8E-5	1.0E-4	3.4E-5
0.125	1.1E-3	-	-	3.1E-4	2.0E-5	2.6E-4	7.8E-5
0.25	4.3E-3	-	-	1.3E-3	5.7E-5	1.2E-3	3.2E-4
0.375	9.2E-3	-	-	2.9E-3	1.2E-4	2.9E-3	7.0E-4
0.5	1.5E-2	-	-	4.9E-3	1.9E-4	5.1E-3	1.2E-3
0.625	2.2E-2	-	-	7.1E-3	2.7E-4	7.9E-3	1.8E-3
0.75	3.0E-2	-	-	9.5E-3	3.6E-4	1.1E-2	2.4E-3
0.875	3.7E-2	-	-	1.2E-2	4.6E-4	1.5E-2	3.1E-3
1	4.5E-2	2.0E-2	7.2E-3	1.4E-2	5.5E-4	1.8E-2	3.8E-3
1.125	5.3E-2	-	-	1.6E-2	6.5E-4	2.2E-2	4.5E-3
1.25	6.1E-2	-	-	1.8E-2	7.4E-4	2.6E-2	5.2E-3
1.375	6.9E-2	-	-	2.0E-2	8.3E-4	3.0E-2	5.9E-3
1.5	7.6E-2	-	-	2.2E-2	9.2E-4	3.4E-2	6.6E-3
1.625	8.3E-2	-	-	2.3E-2	1.0E-3	3.8E-2	7.3E-3
1.75	9.0E-2	-	-	2.5E-2	1.1E-3	4.2E-2	8.0E-3
1.875	9.7E-2	-	-	2.6E-2	1.2E-3	4.6E-2	8.6E-3
2	1.0E-1	4.3E-3	2.2E-2	2.7E-2	1.3E-3	4.9E-2	9.3E-3
2.25	1.1E-1	-	-	2.8E-2	1.4E-3	5.6E-2	1.0E-2
2.5	1.3E-1	-	-	3.0E-2	1.5E-3	6.3E-2	1.2E-2
2.75	1.4E-1	-	-	3.1E-2	1.7E-3	7.0E-2	1.3E-2
3	1.4E-1	2.4E-3	1.4E-2	3.2E-2	1.8E-3	7.5E-2	1.3E-2
3.25	1.5E-1	-	-	3.2E-2	1.9E-3	8.1E-2	1.4E-2
3.5	1.6E-1	-	-	3.3E-2	2.0E-3	8.6E-2	1.5E-2
3.75	1.7E-1	-	-	3.4E-2	2.0E-3	9.1E-2	1.6E-2
4	1.8E-1	1.9E-3	5.5E-3	3.4E-2	2.1E-3	9.6E-2	1.6E-2
4.25	1.8E-1	-	-	3.5E-2	2.2E-3	1.0E-1	1.7E-2
4.5	1.9E-1	-	-	3.5E-2	2.2E-3	1.0E-1	1.7E-2
4.75	1.9E-1	-	-	3.6E-2	2.3E-3	1.1E-1	1.8E-2
5	2.0E-1	1.6E-3	1.6E-3	3.6E-2	2.3E-3	1.1E-1	1.8E-2
5.5	2.1E-1	-	-	3.7E-2	2.4E-3	1.2E-1	1.9E-2
6	2.1E-1	1.3E-3	4.8E-4	3.7E-2	2.5E-3	1.2E-1	1.9E-2
6.5	2.2E-1	-	-	3.8E-2	2.5E-3	1.3E-1	1.9E-2
7	2.3E-1	1.1E-3	1.6E-4	3.8E-2	2.5E-3	1.3E-1	2.0E-2
7.5	2.3E-1	-	-	3.8E-2	2.6E-3	1.4E-1	2.0E-2
8	2.4E-1	1.0E-3	8.1E-5	3.8E-2	2.6E-3	1.4E-1	2.0E-2
8.5	2.4E-1	-	-	3.8E-2	2.6E-3	1.4E-1	2.0E-2
9	2.4E-1	8.8E-4	5.4E-5	3.8E-2	2.6E-3	1.5E-1	2.0E-2
9.5	2.5E-1	-	-	3.9E-2	2.6E-3	1.5E-1	2.1E-2
10	2.5E-1	7.9E-4	4.2E-5	3.9E-2	2.6E-3	1.5E-1	2.1E-2
11	2.5E-1	7.2E-4	3.4E-5	3.9E-2	2.6E-3	1.6E-1	2.1E-2
12	2.6E-1	6.6E-4	2.8E-5	3.8E-2	2.7E-3	1.6E-1	2.1E-2
13	2.6E-1	6.1E-4	2.4E-5	3.8E-2	2.7E-3	1.6E-1	2.1E-2
14	2.6E-1	5.6E-4	2.1E-5	3.8E-2	2.7E-3	1.6E-1	2.1E-2
15	2.6E-1	5.3E-4	1.9E-5	3.8E-2	2.7E-3	1.7E-1	2.1E-2
16	2.6E-1	5.0E-4	1.7E-5	3.8E-2	2.7E-3	1.7E-1	2.1E-2
17	2.7E-1	4.7E-4	1.6E-5	3.8E-2	2.7E-3	1.7E-1	2.1E-2
18	2.7E-1	4.4E-4	1.5E-5	3.8E-2	2.7E-3	1.7E-1	2.1E-2
19	2.7E-1	4.2E-4	1.5E-5	3.8E-2	2.6E-3	1.7E-1	2.1E-2
20	2.7E-1	4.0E-4	1.4E-5	3.8E-2	2.6E-3	1.7E-1	2.1E-2
21	2.7E-1	3.8E-4	1.4E-5	3.8E-2	2.6E-3	1.7E-1	2.1E-2
22	2.7E-1	3.6E-4	1.3E-5	3.8E-2	2.6E-3	1.7E-1	2.1E-2
23	2.7E-1	3.4E-4	1.3E-5	3.8E-2	2.6E-3	1.7E-1	2.1E-2
24	2.7E-1	3.3E-4	1.3E-5	3.8E-2	2.6E-3	1.7E-1	2.1E-2
25	2.7E-1	3.1E-4	1.3E-5	3.7E-2	2.6E-3	1.7E-1	2.1E-2
26	2.7E-1	3.0E-4	1.3E-5	3.7E-2	2.6E-3	1.7E-1	2.1E-2
27	2.7E-1	2.8E-4	1.3E-5	3.7E-2	2.6E-3	1.7E-1	2.1E-2
28	2.7E-1	2.7E-4	1.3E-5	3.7E-2	2.6E-3	1.7E-1	2.1E-2
29	2.7E-1	2.6E-4	1.3E-5	3.7E-2	2.6E-3	1.7E-1	2.1E-2
30	2.7E-1	2.5E-4	1.3E-5	3.7E-2	2.6E-3	1.7E-1	2.1E-2
31	2.7E-1	2.4E-4	1.3E-5	3.7E-2	2.6E-3	1.7E-1	2.1E-2
32	2.7E-1	2.2E-4	1.3E-5	3.7E-2	2.6E-3	1.7E-1	2.0E-2
33	2.7E-1	2.1E-4	1.2E-5	3.7E-2	2.6E-3	1.7E-1	2.0E-2
34	2.7E-1	2.1E-4	1.2E-5	3.7E-2	2.6E-3	1.7E-1	2.0E-2
35	2.7E-1	2.0E-4	1.2E-5	3.7E-2	2.6E-3	1.7E-1	2.0E-2
36	2.7E-1	1.9E-4	1.2E-5	3.7E-2	2.6E-3	1.7E-1	2.0E-2
37	2.6E-1	1.8E-4	1.2E-5	3.7E-2	2.6E-3	1.7E-1	2.0E-2
38	2.6E-1	1.7E-4	1.2E-5	3.6E-2	2.6E-3	1.7E-1	2.0E-2
39	2.6E-1	1.6E-4	1.2E-5	3.6E-2	2.6E-3	1.7E-1	2.0E-2
40	2.6E-1	1.6E-4	1.2E-5	3.6E-2	2.6E-3	1.7E-1	2.0E-2
41	2.6E-1	1.5E-4	1.2E-5	3.6E-2	2.6E-3	1.7E-1	2.0E-2
42	2.6E-1	1.4E-4	1.2E-5	3.6E-2	2.6E-3	1.7E-1	2.0E-2
43	2.6E-1	1.4E-4	1.2E-5	3.6E-2	2.6E-3	1.7E-1	2.0E-2
44	2.6E-1	1.3E-4	1.2E-5	3.6E-2	2.6E-3	1.7E-1	2.0E-2
45	2.6E-1	1.3E-4	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
46	2.6E-1	1.2E-4	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
47	2.6E-1	1.2E-4	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
48	2.6E-1	1.1E-4	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
49	2.6E-1	1.1E-4	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
50	2.6E-1	1.0E-4	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
51	2.6E-1	9.7E-5	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
52	2.6E-1	9.3E-5	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
53	2.6E-1	8.9E-5	1.2E-5	3.6E-2	2.5E-3	1.7E-1	2.0E-2
54	2.6E-1	8.6E-5	1.2E-5	3.5E-2	2.5E-3	1.7E-1	2.0E-2
55	2.6E-1	8.2E-5	1.2E-5	3.5E-2	2.5E-3	1.7E-1	2.0E-2
56	2.6E-1	7.9E-5	1.2E-5	3.5E-2	2.5E-3	1.7E-1	2.0E-2
