Radionuclide	Br-84
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.99
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*
0.041667	2.6E-1	3.9E-2	1.4E-2
0.083333	7.0E-2	6.4E-3	1.4E-3
0.125	1.9E-2	1.2E-3	2.2E-4
0.25	3.6E-4	1.5E-5	3.7E-6
0.375	6.9E-6	2.6E-7	7.9E-8
0.5	1.3E-7	4.6E-9	1.7E-9
0.625	2.6E-9	-	-
