Radionuclide	Br-84
Route of Intake	Injection
Material	Injection, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	2.7E-1	5.7E-3
0.083333	7.3E-2	1.6E-3
0.125	2.0E-2	4.2E-4
0.25	3.9E-4	8.2E-6
0.375	7.6E-6	1.6E-7
0.5	1.5E-7	3.2E-9
0.625	2.9E-9	-
