Radionuclide	Te-133
Route of Intake	Ingestion
Material	All forms, fA=0.3
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Thyroid*	Skeleton*	Liver*
0.041667	3.6E-2	3.5E-2	7.2E-7	7.8E-5	1.1E-4
0.083333	1.3E-3	1.2E-3	7.8E-8	7.7E-6	1.1E-5
0.125	4.6E-5	4.0E-5	5.0E-9	4.5E-7	6.5E-7
0.25	2.1E-9	1.7E-9	-	-	-
