Radionuclide	Cs-135m
Route of Intake	Inhalation
Material	Aerosols Type F, Caesium chloride, nitrate, sulphate, fA=0.99
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	4.4E-1	-	8.1E-2	6.8E-3	8.3E-3	1.9E-2
0.083333	2.0E-1	-	3.1E-2	3.1E-3	5.0E-3	1.2E-2
0.125	9.0E-2	-	1.3E-2	1.6E-3	2.8E-3	6.2E-3
0.25	8.2E-3	-	9.3E-4	1.9E-4	3.6E-4	7.3E-4
0.375	7.6E-4	-	7.4E-5	2.0E-5	4.0E-5	7.5E-5
0.5	7.0E-5	-	6.1E-6	2.0E-6	4.3E-6	7.3E-6
0.625	6.6E-6	-	5.1E-7	1.9E-7	4.4E-7	6.8E-7
0.75	6.1E-7	-	4.4E-8	1.8E-8	4.5E-8	6.2E-8
0.875	5.8E-8	-	3.8E-9	1.7E-9	4.4E-9	5.6E-9
1	5.4E-9	2.3E-10	3.3E-10	1.6E-10	4.3E-10	5.1E-10
1.125	5.1E-10	-	-	-	-	-
