Radionuclide	Ru-106
Route of Intake	Inhalation
Material	Aerosols Type F, Chloride, oxalate, fA=5E-2
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Rh-106)	Urine (24-hour sample) (Rh-106)	Faeces (24-hour sample) (Rh-106)	Alimentary Tract* (Rh-106)	Lungs* (Rh-106)	Skeleton* (Rh-106)	Liver* (Rh-106)
0.041667	6.6E-1	-	-	1.9E-1	7.4E-3	6.3E-3	9.4E-3
0.083333	6.4E-1	-	-	2.1E-1	4.5E-3	7.4E-3	1.1E-2
0.125	6.3E-1	-	-	2.3E-1	4.0E-3	8.1E-3	1.2E-2
0.25	6.0E-1	-	-	2.7E-1	4.1E-3	9.8E-3	1.4E-2
0.375	5.8E-1	-	-	2.9E-1	4.4E-3	1.1E-2	1.6E-2
0.5	5.6E-1	-	-	3.1E-1	4.5E-3	1.2E-2	1.8E-2
0.625	5.4E-1	-	-	3.2E-1	4.5E-3	1.3E-2	1.9E-2
0.75	5.2E-1	-	-	3.3E-1	4.5E-3	1.3E-2	1.9E-2
0.875	5.0E-1	-	-	3.2E-1	4.5E-3	1.4E-2	2.0E-2
1	4.8E-1	2.8E-2	5.5E-2	3.1E-1	4.4E-3	1.4E-2	2.0E-2
1.125	4.5E-1	-	-	3.0E-1	4.3E-3	1.4E-2	2.1E-2
1.25	4.3E-1	-	-	2.9E-1	4.2E-3	1.5E-2	2.1E-2
1.375	4.0E-1	-	-	2.7E-1	4.0E-3	1.5E-2	2.1E-2
1.5	3.8E-1	-	-	2.5E-1	3.9E-3	1.5E-2	2.1E-2
1.625	3.6E-1	-	-	2.3E-1	3.8E-3	1.5E-2	2.1E-2
1.75	3.3E-1	-	-	2.1E-1	3.6E-3	1.5E-2	2.1E-2
1.875	3.1E-1	-	-	1.9E-1	3.5E-3	1.5E-2	2.1E-2
2	2.9E-1	7.4E-3	1.7E-1	1.7E-1	3.4E-3	1.5E-2	2.1E-2
2.25	2.5E-1	-	-	1.3E-1	3.2E-3	1.5E-2	2.1E-2
2.5	2.2E-1	-	-	1.0E-1	3.0E-3	1.5E-2	2.1E-2
2.75	1.9E-1	-	-	7.9E-2	2.8E-3	1.5E-2	2.0E-2
3	1.7E-1	4.9E-3	1.1E-1	6.0E-2	2.6E-3	1.5E-2	2.0E-2
3.25	1.5E-1	-	-	4.5E-2	2.4E-3	1.5E-2	2.0E-2
3.5	1.4E-1	-	-	3.4E-2	2.3E-3	1.5E-2	1.9E-2
3.75	1.3E-1	-	-	2.5E-2	2.2E-3	1.5E-2	1.9E-2
4	1.2E-1	4.0E-3	4.2E-2	1.9E-2	2.1E-3	1.5E-2	1.9E-2
4.25	1.2E-1	-	-	1.4E-2	2.0E-3	1.5E-2	1.9E-2
4.5	1.1E-1	-	-	1.1E-2	1.9E-3	1.5E-2	1.8E-2
4.75	1.1E-1	-	-	8.4E-3	1.8E-3	1.5E-2	1.8E-2
5	1.1E-1	3.5E-3	1.3E-2	6.6E-3	1.7E-3	1.4E-2	1.8E-2
5.5	1.0E-1	-	-	4.6E-3	1.6E-3	1.4E-2	1.7E-2
6	9.8E-2	3.1E-3	3.8E-3	3.5E-3	1.5E-3	1.4E-2	1.7E-2
