Radionuclide	Ru-106
Route of Intake	Inhalation
Material	Gas or vapour Type F, Ruthenium tetroxide , fA=1E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Rh-106)	Urine (24-hour sample) (Rh-106)	Faeces (24-hour sample) (Rh-106)	Alimentary Tract* (Rh-106)	Lungs* (Rh-106)	Skeleton* (Rh-106)	Liver* (Rh-106)
0.041667	9.9E-1	-	-	4.4E-1	1.6E-1	5.4E-4	8.0E-4
0.083333	9.8E-1	-	-	5.0E-1	1.3E-1	9.0E-4	1.3E-3
0.125	9.7E-1	-	-	5.4E-1	1.1E-1	1.2E-3	1.8E-3
0.25	9.5E-1	-	-	6.1E-1	8.0E-2	1.9E-3	2.9E-3
0.375	9.3E-1	-	-	6.5E-1	6.9E-2	2.5E-3	3.7E-3
0.5	9.1E-1	-	-	6.8E-1	6.3E-2	2.9E-3	4.2E-3
0.625	8.8E-1	-	-	6.9E-1	5.8E-2	3.2E-3	4.7E-3
0.75	8.5E-1	-	-	6.8E-1	5.5E-2	3.5E-3	5.1E-3
0.875	8.1E-1	-	-	6.6E-1	5.2E-2	3.7E-3	5.4E-3
1	7.7E-1	7.4E-3	1.3E-1	6.4E-1	4.9E-2	3.9E-3	5.7E-3
1.125	7.2E-1	-	-	6.0E-1	4.7E-2	4.1E-3	5.9E-3
1.25	6.7E-1	-	-	5.7E-1	4.5E-2	4.2E-3	6.1E-3
1.375	6.2E-1	-	-	5.2E-1	4.3E-2	4.3E-3	6.2E-3
1.5	5.7E-1	-	-	4.8E-1	4.1E-2	4.5E-3	6.3E-3
1.625	5.2E-1	-	-	4.4E-1	3.9E-2	4.5E-3	6.4E-3
1.75	4.8E-1	-	-	4.0E-1	3.8E-2	4.6E-3	6.5E-3
1.875	4.3E-1	-	-	3.6E-1	3.7E-2	4.7E-3	6.6E-3
2	3.9E-1	3.2E-3	3.6E-1	3.2E-1	3.5E-2	4.7E-3	6.6E-3
2.25	3.2E-1	-	-	2.5E-1	3.3E-2	4.8E-3	6.7E-3
2.5	2.6E-1	-	-	1.9E-1	3.1E-2	4.9E-3	6.7E-3
2.75	2.1E-1	-	-	1.5E-1	3.0E-2	4.9E-3	6.7E-3
3	1.7E-1	2.0E-3	2.2E-1	1.1E-1	2.8E-2	4.9E-3	6.7E-3
3.25	1.4E-1	-	-	8.2E-2	2.7E-2	4.9E-3	6.6E-3
3.5	1.2E-1	-	-	6.1E-2	2.6E-2	4.9E-3	6.6E-3
3.75	1.0E-1	-	-	4.6E-2	2.4E-2	4.9E-3	6.5E-3
4	9.1E-2	1.5E-3	7.9E-2	3.5E-2	2.3E-2	4.9E-3	6.4E-3
4.25	8.2E-2	-	-	2.6E-2	2.2E-2	4.9E-3	6.3E-3
4.5	7.4E-2	-	-	2.0E-2	2.2E-2	4.9E-3	6.2E-3
4.75	6.9E-2	-	-	1.6E-2	2.1E-2	4.9E-3	6.2E-3
5	6.5E-2	1.3E-3	2.5E-2	1.3E-2	2.0E-2	4.9E-3	6.1E-3
5.5	5.9E-2	-	-	8.9E-3	1.9E-2	4.8E-3	5.9E-3
6	5.5E-2	1.1E-3	8.5E-3	6.8E-3	1.7E-2	4.8E-3	5.7E-3
6.5	5.2E-2	-	-	5.6E-3	1.6E-2	4.7E-3	5.5E-3
7	5.0E-2	9.9E-4	4.1E-3	4.9E-3	1.5E-2	4.7E-3	5.4E-3
7.5	4.8E-2	-	-	4.3E-3	1.4E-2	4.6E-3	5.2E-3
8	4.6E-2	9.0E-4	2.7E-3	3.9E-3	1.3E-2	4.5E-3	5.0E-3
8.5	4.5E-2	-	-	3.6E-3	1.3E-2	4.5E-3	4.9E-3
9	4.3E-2	8.3E-4	2.1E-3	3.3E-3	1.2E-2	4.4E-3	4.7E-3
9.5	4.2E-2	-	-	3.0E-3	1.1E-2	4.4E-3	4.6E-3
10	4.1E-2	7.7E-4	1.7E-3	2.8E-3	1.1E-2	4.3E-3	4.4E-3
11	3.8E-2	7.1E-4	1.4E-3	2.3E-3	9.8E-3	4.2E-3	4.2E-3
12	3.6E-2	6.6E-4	1.2E-3	2.0E-3	9.0E-3	4.1E-3	3.9E-3
13	3.5E-2	6.2E-4	1.0E-3	1.7E-3	8.3E-3	4.0E-3	3.7E-3
14	3.3E-2	5.8E-4	8.4E-4	1.5E-3	7.7E-3	3.9E-3	3.5E-3
15	3.2E-2	5.5E-4	7.0E-4	1.3E-3	7.3E-3	3.8E-3	3.3E-3
16	3.1E-2	5.1E-4	5.9E-4	1.2E-3	6.9E-3	3.7E-3	3.1E-3
17	3.0E-2	4.8E-4	5.1E-4	1.0E-3	6.6E-3	3.6E-3	3.0E-3
18	2.9E-2	4.5E-4	4.3E-4	9.2E-4	6.3E-3	3.5E-3	2.8E-3
19	2.8E-2	4.3E-4	3.7E-4	8.3E-4	6.0E-3	3.4E-3	2.7E-3
20	2.7E-2	4.0E-4	3.2E-4	7.5E-4	5.8E-3	3.4E-3	2.5E-3
21	2.7E-2	3.8E-4	2.8E-4	6.9E-4	5.7E-3	3.3E-3	2.4E-3
22	2.6E-2	3.6E-4	2.4E-4	6.3E-4	5.5E-3	3.2E-3	2.3E-3
23	2.5E-2	3.4E-4	2.1E-4	5.8E-4	5.4E-3	3.2E-3	2.2E-3
24	2.5E-2	3.2E-4	1.8E-4	5.4E-4	5.3E-3	3.1E-3	2.1E-3
25	2.4E-2	3.0E-4	1.6E-4	5.1E-4	5.2E-3	3.0E-3	2.0E-3
26	2.4E-2	2.9E-4	1.5E-4	4.8E-4	5.1E-3	3.0E-3	2.0E-3
27	2.3E-2	2.7E-4	1.3E-4	4.5E-4	5.0E-3	2.9E-3	1.9E-3
28	2.3E-2	2.6E-4	1.2E-4	4.3E-4	5.0E-3	2.9E-3	1.8E-3
29	2.2E-2	2.4E-4	1.1E-4	4.1E-4	4.9E-3	2.8E-3	1.8E-3
30	2.2E-2	2.3E-4	9.8E-5	3.9E-4	4.9E-3	2.8E-3	1.7E-3
31	2.2E-2	2.2E-4	9.0E-5	3.8E-4	4.8E-3	2.8E-3	1.6E-3
32	2.1E-2	2.1E-4	8.3E-5	3.6E-4	4.8E-3	2.7E-3	1.6E-3
33	2.1E-2	2.0E-4	7.6E-5	3.5E-4	4.7E-3	2.7E-3	1.5E-3
34	2.1E-2	1.9E-4	7.1E-5	3.4E-4	4.7E-3	2.6E-3	1.5E-3
35	2.1E-2	1.8E-4	6.6E-5	3.3E-4	4.7E-3	2.6E-3	1.4E-3
36	2.0E-2	1.7E-4	6.2E-5	3.2E-4	4.6E-3	2.6E-3	1.4E-3
37	2.0E-2	1.6E-4	5.8E-5	3.1E-4	4.6E-3	2.5E-3	1.4E-3
38	2.0E-2	1.6E-4	5.5E-5	3.0E-4	4.6E-3	2.5E-3	1.3E-3
39	2.0E-2	1.5E-4	5.2E-5	3.0E-4	4.5E-3	2.5E-3	1.3E-3
40	1.9E-2	1.4E-4	5.0E-5	2.9E-4	4.5E-3	2.5E-3	1.3E-3
41	1.9E-2	1.4E-4	4.7E-5	2.8E-4	4.5E-3	2.4E-3	1.2E-3
42	1.9E-2	1.3E-4	4.5E-5	2.8E-4	4.4E-3	2.4E-3	1.2E-3
43	1.9E-2	1.2E-4	4.3E-5	2.7E-4	4.4E-3	2.4E-3	1.2E-3
44	1.8E-2	1.2E-4	4.1E-5	2.7E-4	4.4E-3	2.4E-3	1.1E-3
45	1.8E-2	1.1E-4	3.9E-5	2.6E-4	4.4E-3	2.3E-3	1.1E-3
46	1.8E-2	1.1E-4	3.8E-5	2.6E-4	4.3E-3	2.3E-3	1.1E-3
47	1.8E-2	1.1E-4	3.6E-5	2.5E-4	4.3E-3	2.3E-3	1.1E-3
48	1.8E-2	1.0E-4	3.5E-5	2.5E-4	4.3E-3	2.3E-3	1.1E-3
49	1.8E-2	9.7E-5	3.4E-5	2.4E-4	4.3E-3	2.3E-3	1.0E-3
50	1.7E-2	9.3E-5	3.2E-5	2.4E-4	4.2E-3	2.3E-3	1.0E-3
51	1.7E-2	9.0E-5	3.1E-5	2.4E-4	4.2E-3	2.2E-3	1.0E-3
