Radionuclide	Au-200
Route of Intake	Inhalation
Material	Aerosols Type S, Elemental gold, gold-labelled Teflon, fA=1E-3
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	3.7E-1	3.3E-2	2.9E-1	2.4E-5	3.5E-5
0.083333	1.6E-1	1.7E-2	1.2E-1	1.9E-5	2.8E-5
0.125	6.6E-2	8.0E-3	5.1E-2	1.1E-5	1.7E-5
0.25	5.0E-3	7.6E-4	3.8E-3	1.4E-6	2.1E-6
0.375	3.8E-4	6.5E-5	2.8E-4	1.3E-7	2.1E-7
0.5	2.8E-5	5.4E-6	2.1E-5	1.1E-8	1.8E-8
0.625	2.1E-6	4.3E-7	1.6E-6	8.3E-10	1.5E-9
0.75	1.6E-7	3.3E-8	1.2E-7	-	1.2E-10
0.875	1.2E-8	2.6E-9	9.1E-9	-	-
1	9.1E-10	1.9E-10	6.9E-10	-	-
