Radionuclide	Eu-154m
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-4
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	3.5E-1	3.2E-2	2.7E-1	1.7E-3	1.5E-3
0.083333	1.4E-1	1.5E-2	1.0E-1	1.6E-3	1.3E-3
0.125	5.7E-2	7.0E-3	4.0E-2	1.1E-3	8.2E-4
0.25	3.7E-3	5.8E-4	2.3E-3	1.5E-4	1.1E-4
0.375	2.4E-4	4.3E-5	1.3E-4	1.4E-5	1.1E-5
0.5	1.6E-5	3.1E-6	7.9E-6	1.2E-6	9.0E-7
0.625	1.0E-6	2.1E-7	4.7E-7	1.0E-7	7.2E-8
0.75	6.8E-8	1.4E-8	2.7E-8	7.7E-9	5.5E-9
0.875	4.4E-9	9.5E-10	1.6E-9	5.7E-10	4.1E-10
1	2.9E-10	-	-	-	-
