Radionuclide	Lu-167
Route of Intake	Inhalation
Material	Aerosols Water soluble forms, including chloride and citrate, fA=2.5E-4
AMTD/AMAD, µm	0.001

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	4.4E-1	-	1.4E-1	6.8E-2	5.1E-4	1.5E-4
0.083333	1.9E-1	-	7.4E-2	2.6E-2	4.8E-4	8.5E-5
0.125	8.4E-2	-	3.7E-2	1.0E-2	3.1E-4	4.5E-5
0.25	7.3E-3	-	3.9E-3	7.3E-4	5.0E-5	5.6E-6
0.375	6.3E-4	-	3.9E-4	5.7E-5	6.0E-6	6.3E-7
0.5	5.4E-5	-	3.6E-5	4.7E-6	6.5E-7	6.6E-8
0.625	4.7E-6	-	3.3E-6	3.8E-7	6.8E-8	6.7E-9
0.75	4.0E-7	-	3.0E-7	3.2E-8	6.8E-9	6.6E-10
0.875	3.4E-8	-	2.6E-8	2.7E-9	6.6E-10	-
1	2.9E-9	3.9E-10	2.3E-9	2.2E-10	-	-
1.125	2.4E-10	-	1.9E-10	-	-	-
