Radionuclide	Lu-167
Route of Intake	Inhalation
Material	Aerosols Type F, fA=5E-4
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	1.3E-1	1.9E-2	7.9E-2	7.3E-4	2.3E-4
0.083333	5.8E-2	9.8E-3	3.4E-2	8.1E-4	1.6E-4
0.125	2.6E-2	4.8E-3	1.4E-2	5.9E-4	9.3E-5
0.25	2.2E-3	5.1E-4	1.1E-3	1.1E-4	1.3E-5
0.375	1.9E-4	5.1E-5	8.8E-5	1.5E-5	1.6E-6
0.5	1.7E-5	4.8E-6	6.9E-6	1.7E-6	1.7E-7
0.625	1.5E-6	4.5E-7	5.5E-7	1.8E-7	1.8E-8
0.75	1.3E-7	4.0E-8	4.3E-8	1.9E-8	1.8E-9
0.875	1.1E-8	3.5E-9	3.4E-9	1.9E-9	1.8E-10
1	9.5E-10	3.1E-10	2.7E-10	1.8E-10	-
