Radionuclide	Mn-52m
Route of Intake	Injection
Material	Injection, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Skeleton*	Liver*
0.041667	1.4E-1	3.6E-3	1.0E-3	5.7E-2
0.083333	1.9E-2	5.7E-4	1.5E-4	8.8E-3
0.125	2.7E-3	8.9E-5	2.2E-5	1.3E-3
0.25	7.3E-6	3.2E-7	6.2E-8	3.6E-6
0.375	2.0E-8	1.1E-9	1.7E-10	9.7E-9
