Radionuclide	Cm-251
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-6
AMTD/AMAD, µm	20

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	5.6E-2	2.1E-2	1.2E-3	1.6E-7	2.7E-7
0.083333	4.6E-3	1.9E-3	8.7E-5	2.1E-8	3.5E-8
0.125	3.8E-4	1.8E-4	6.8E-6	2.3E-9	3.7E-9
0.25	2.2E-7	1.3E-7	3.6E-9	-	-
0.375	1.3E-10	-	-	-	-
