Radionuclide	Cd-104
Route of Intake	Injection
Material	Injection, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	4.9E-1	-	1.1E-2	1.6E-3	2.1E-1
0.083333	2.4E-1	-	5.5E-3	7.7E-4	1.0E-1
0.125	1.1E-1	-	2.7E-3	3.8E-4	4.9E-2
0.25	1.3E-2	-	3.0E-4	4.4E-5	5.8E-3
0.375	1.5E-3	-	3.4E-5	5.1E-6	6.7E-4
0.5	1.7E-4	-	3.9E-6	6.0E-7	7.9E-5
0.625	2.0E-5	-	4.4E-7	7.0E-8	9.2E-6
0.75	2.3E-6	-	5.0E-8	8.2E-9	1.1E-6
0.875	2.7E-7	-	5.6E-9	9.5E-10	1.2E-7
1	3.1E-8	1.2E-10	6.3E-10	1.1E-10	1.4E-8
1.125	3.5E-9	-	-	-	1.7E-9
1.25	4.0E-10	-	-	-	1.9E-10
