Radionuclide	Ru-94
Route of Intake	Inhalation
Material	Gas or vapour Type F, Ruthenium tetroxide , fA=1E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	4.5E-1	-	2.0E-1	7.0E-2	2.4E-4	3.6E-4
0.083333	2.0E-1	-	1.0E-1	2.5E-2	1.8E-4	2.7E-4
0.125	8.7E-2	-	4.8E-2	9.7E-3	1.1E-4	1.6E-4
0.25	7.7E-3	-	5.0E-3	6.4E-4	1.6E-5	2.3E-5
0.375	6.8E-4	-	4.8E-4	5.0E-5	1.8E-6	2.7E-6
0.5	5.9E-5	-	4.4E-5	4.1E-6	1.9E-7	2.8E-7
0.625	5.2E-6	-	4.0E-6	3.4E-7	1.9E-8	2.8E-8
0.75	4.5E-7	-	3.6E-7	2.9E-8	1.9E-9	2.7E-9
0.875	3.9E-8	-	3.2E-8	2.5E-9	1.8E-10	2.6E-10
1	3.3E-9	5.4E-10	2.7E-9	2.1E-10	-	-
1.125	2.8E-10	-	2.3E-10	-	-	-
