Radionuclide	Hf-177m
Route of Intake	Injection
Material	Injection, fA=2E-3
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Skeleton*	Liver*
0.041667	4.4E-1	2.9E-2	4.0E-2	4.1E-2
0.083333	2.0E-1	1.2E-2	2.1E-2	1.7E-2
0.125	8.8E-2	5.0E-3	1.1E-2	7.0E-3
0.25	7.7E-3	3.9E-4	1.2E-3	5.4E-4
0.375	6.8E-4	3.2E-5	1.2E-4	4.4E-5
0.5	6.0E-5	2.7E-6	1.1E-5	3.7E-6
0.625	5.3E-6	2.4E-7	1.0E-6	3.2E-7
0.75	4.6E-7	2.0E-8	9.3E-8	2.7E-8
0.875	4.1E-8	1.8E-9	8.5E-9	2.4E-9
1	3.6E-9	1.6E-10	7.7E-10	2.1E-10
1.125	3.2E-10	-	-	-
