Radionuclide	Pr-142m
Route of Intake	Ingestion
Material	All compounds, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Skeleton*	Liver*
0.041667	5.9E-2	5.9E-2	2.6E-7	4.1E-7
0.083333	3.3E-3	3.3E-3	5.5E-8	8.9E-8
0.125	1.9E-4	1.9E-4	6.1E-9	1.0E-8
0.25	3.8E-8	3.8E-8	-	-
