Radionuclide	I-134
Route of Intake	Inhalation
Material	Aerosols Type F, Sodium iodide, caesium chloride vector, silver iodide, all unspecified forms, fA=0.99
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Liver*
0.041667	4.2E-1	-	4.9E-2	1.0E-2	1.2E-2	1.2E-2
0.083333	1.8E-1	-	2.2E-2	2.8E-3	9.6E-3	4.8E-3
0.125	7.9E-2	-	9.4E-3	1.1E-3	6.1E-3	1.9E-3
0.25	6.3E-3	-	6.9E-4	8.0E-5	9.7E-4	1.4E-4
0.375	5.0E-4	-	5.0E-5	5.6E-6	1.2E-4	9.6E-6
0.5	4.0E-5	-	3.7E-6	4.0E-7	1.3E-5	6.8E-7
0.625	3.3E-6	-	2.7E-7	2.8E-8	1.3E-6	4.9E-8
0.75	2.7E-7	-	2.1E-8	2.0E-9	1.3E-7	3.5E-9
0.875	2.3E-8	-	1.6E-9	1.4E-10	1.3E-8	2.6E-10
1	2.0E-9	2.8E-9	1.2E-10	-	1.3E-9	-
1.125	1.7E-10	-	-	-	1.2E-10	-
