Radionuclide	I-134
Route of Intake	Inhalation
Material	Aerosols Type F, Sodium iodide, caesium chloride vector, silver iodide, all unspecified forms, fA=0.99
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Liver*
0.041667	2.7E-1	-	2.8E-2	1.0E-2	1.1E-2	1.1E-2
0.083333	1.2E-1	-	1.5E-2	2.4E-3	8.7E-3	4.1E-3
0.125	5.1E-2	-	7.0E-3	9.4E-4	5.4E-3	1.6E-3
0.25	3.9E-3	-	4.9E-4	6.0E-5	8.2E-4	1.0E-4
0.375	3.0E-4	-	3.4E-5	3.9E-6	9.7E-5	6.7E-6
0.5	2.4E-5	-	2.3E-6	2.6E-7	1.0E-5	4.4E-7
0.625	2.0E-6	-	1.6E-7	1.7E-8	1.0E-6	3.0E-8
0.75	1.6E-7	-	1.1E-8	1.1E-9	1.0E-7	2.0E-9
0.875	1.4E-8	-	8.2E-10	-	9.9E-9	1.4E-10
1	1.2E-9	2.1E-9	-	-	9.4E-10	-
1.125	1.1E-10	-	-	-	-	-
