Radionuclide	Cl-38
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.99
AMTD/AMAD, µm	0.003

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*
0.041667	3.1E-1	3.1E-2	4.4E-2
0.083333	1.0E-1	6.6E-3	4.8E-3
0.125	3.2E-2	1.6E-3	7.0E-4
0.25	1.1E-3	3.7E-5	1.4E-5
0.375	3.8E-5	1.2E-6	5.0E-7
0.5	1.3E-6	3.9E-8	1.8E-8
0.625	4.5E-8	1.3E-9	6.4E-10
0.75	1.6E-9	-	-
