Radionuclide	Cl-38
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.99
AMTD/AMAD, µm	1

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*
0.041667	1.7E-1	2.1E-2	1.4E-2
0.083333	5.4E-2	4.3E-3	1.6E-3
0.125	1.7E-2	9.9E-4	2.7E-4
0.25	5.9E-4	2.3E-5	6.5E-6
0.375	2.0E-5	7.1E-7	2.4E-7
0.5	6.9E-7	2.3E-8	8.8E-9
0.625	2.4E-8	7.6E-10	3.2E-10
0.75	8.2E-10	-	-
