Radionuclide	Cl-38
Route of Intake	Inhalation
Material	Aerosols Type M, fA=0.2
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*
0.041667	2.9E-1	2.5E-2	2.2E-1
0.083333	9.3E-2	9.6E-3	6.9E-2
0.125	3.0E-2	3.5E-3	2.2E-2
0.25	1.1E-3	1.4E-4	7.2E-4
0.375	3.7E-5	5.5E-6	2.4E-5
0.5	1.3E-6	2.0E-7	8.3E-7
0.625	4.5E-8	7.4E-9	2.8E-8
0.75	1.6E-9	2.6E-10	9.7E-10
