Radionuclide	Cl-38
Route of Intake	Ingestion
Material	All forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*
0.041667	3.3E-1	1.5E-1
0.083333	1.1E-1	2.3E-2
0.125	3.5E-2	3.8E-3
0.25	1.2E-3	4.5E-5
0.375	4.2E-5	1.3E-6
0.5	1.5E-6	4.6E-8
0.625	5.1E-8	1.6E-9
0.75	1.8E-9	-
