Radionuclide	Te-133m
Route of Intake	Inhalation
Material	Aerosols Type F, Tellurium chloride, tellurium dioxide, fA=0.3
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Alimentary Tract*	Lungs*	Thyroid*	Skeleton*	Liver*
0.041667	1.4E-1	-	1.9E-2	2.1E-2	5.8E-5	5.8E-3	8.4E-3
0.083333	6.4E-2	-	9.4E-3	5.8E-3	3.6E-5	3.1E-3	4.5E-3
0.125	3.0E-2	-	4.5E-3	2.5E-3	2.0E-5	1.5E-3	2.2E-3
0.25	3.0E-3	-	4.9E-4	2.3E-4	3.0E-6	1.6E-4	2.4E-4
0.375	2.9E-4	-	5.2E-5	2.2E-5	3.9E-7	1.7E-5	2.6E-5
0.5	2.8E-5	-	5.5E-6	2.1E-6	4.8E-8	1.8E-6	2.9E-6
0.625	2.8E-6	-	5.8E-7	2.0E-7	5.7E-9	1.9E-7	3.1E-7
0.75	2.8E-7	-	5.9E-8	1.9E-8	6.6E-10	2.0E-8	3.3E-8
0.875	2.7E-8	-	6.1E-9	1.8E-9	-	2.1E-9	3.5E-9
1	2.7E-9	1.4E-9	6.1E-10	1.7E-10	-	2.1E-10	3.7E-10
1.125	2.7E-10	-	-	-	-	-	-
