Radionuclide	Sr-89
Route of Intake	Ingestion
Material	Strontium titanate, fA=1E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	1.0E+0	-	-	1.0E+0	7.8E-5
0.083333	1.0E+0	-	-	1.0E+0	3.0E-4
0.125	1.0E+0	-	-	9.9E-1	5.9E-4
0.25	9.9E-1	-	-	9.9E-1	1.5E-3
0.375	9.8E-1	-	-	9.8E-1	2.1E-3
0.5	9.6E-1	-	-	9.5E-1	2.5E-3
0.625	9.3E-1	-	-	9.2E-1	2.7E-3
0.75	8.9E-1	-	-	8.8E-1	2.8E-3
0.875	8.3E-1	-	-	8.3E-1	2.9E-3
1	7.7E-1	1.8E-3	2.1E-1	7.7E-1	3.0E-3
1.125	7.1E-1	-	-	7.0E-1	3.0E-3
1.25	6.5E-1	-	-	6.4E-1	3.1E-3
1.375	5.8E-1	-	-	5.7E-1	3.1E-3
1.5	5.2E-1	-	-	5.1E-1	3.1E-3
1.625	4.6E-1	-	-	4.5E-1	3.1E-3
1.75	4.0E-1	-	-	4.0E-1	3.0E-3
1.875	3.5E-1	-	-	3.5E-1	3.0E-3
2	3.1E-1	7.4E-4	4.6E-1	3.0E-1	3.0E-3
2.25	2.3E-1	-	-	2.2E-1	2.9E-3
2.5	1.7E-1	-	-	1.6E-1	2.8E-3
2.75	1.2E-1	-	-	1.2E-1	2.7E-3
3	8.8E-2	4.7E-4	2.1E-1	8.3E-2	2.7E-3
3.25	6.3E-2	-	-	5.8E-2	2.6E-3
3.5	4.6E-2	-	-	4.0E-2	2.5E-3
3.75	3.3E-2	-	-	2.8E-2	2.5E-3
4	2.4E-2	3.4E-4	6.3E-2	1.9E-2	2.4E-3
4.25	1.8E-2	-	-	1.3E-2	2.3E-3
4.5	1.4E-2	-	-	8.7E-3	2.3E-3
4.75	1.1E-2	-	-	5.9E-3	2.2E-3
5	8.7E-3	2.6E-4	1.5E-2	4.0E-3	2.2E-3
5.5	6.4E-3	-	-	1.8E-3	2.1E-3
6	5.3E-3	2.1E-4	3.1E-3	8.8E-4	2.0E-3
6.5	4.7E-3	-	-	4.5E-4	2.0E-3
7	4.4E-3	1.7E-4	6.5E-4	2.6E-4	1.9E-3
7.5	4.2E-3	-	-	1.8E-4	1.9E-3
8	4.0E-3	1.5E-4	1.6E-4	1.4E-4	1.9E-3
8.5	3.9E-3	-	-	1.2E-4	1.8E-3
9	3.8E-3	1.2E-4	6.6E-5	1.1E-4	1.8E-3
9.5	3.7E-3	-	-	9.7E-5	1.8E-3
10	3.6E-3	1.1E-4	4.3E-5	9.0E-5	1.8E-3
11	3.4E-3	9.6E-5	3.5E-5	8.0E-5	1.7E-3
12	3.2E-3	8.5E-5	3.0E-5	7.2E-5	1.7E-3
13	3.1E-3	7.6E-5	2.7E-5	6.5E-5	1.7E-3
14	3.0E-3	6.9E-5	2.4E-5	5.9E-5	1.6E-3
15	2.8E-3	6.3E-5	2.2E-5	5.4E-5	1.6E-3
16	2.7E-3	5.7E-5	2.0E-5	5.0E-5	1.6E-3
17	2.6E-3	5.2E-5	1.8E-5	4.6E-5	1.6E-3
18	2.5E-3	4.8E-5	1.6E-5	4.2E-5	1.6E-3
19	2.4E-3	4.4E-5	1.5E-5	3.9E-5	1.5E-3
20	2.3E-3	4.1E-5	1.4E-5	3.6E-5	1.5E-3
21	2.3E-3	3.8E-5	1.3E-5	3.3E-5	1.5E-3
22	2.2E-3	3.5E-5	1.2E-5	3.0E-5	1.5E-3
23	2.1E-3	3.2E-5	1.1E-5	2.8E-5	1.5E-3
24	2.0E-3	3.0E-5	9.9E-6	2.6E-5	1.4E-3
25	2.0E-3	2.7E-5	9.1E-6	2.4E-5	1.4E-3
26	1.9E-3	2.5E-5	8.5E-6	2.2E-5	1.4E-3
27	1.9E-3	2.4E-5	7.8E-6	2.0E-5	1.4E-3
28	1.8E-3	2.2E-5	7.2E-6	1.9E-5	1.4E-3
29	1.7E-3	2.0E-5	6.7E-6	1.8E-5	1.3E-3
30	1.7E-3	1.9E-5	6.2E-6	1.6E-5	1.3E-3
31	1.7E-3	1.7E-5	5.8E-6	1.5E-5	1.3E-3
32	1.6E-3	1.6E-5	5.4E-6	1.4E-5	1.3E-3
33	1.6E-3	1.5E-5	5.0E-6	1.3E-5	1.3E-3
34	1.5E-3	1.4E-5	4.6E-6	1.2E-5	1.3E-3
35	1.5E-3	1.3E-5	4.3E-6	1.1E-5	1.2E-3
36	1.5E-3	1.2E-5	4.0E-6	1.0E-5	1.2E-3
37	1.4E-3	1.1E-5	3.7E-6	9.7E-6	1.2E-3
38	1.4E-3	1.1E-5	3.5E-6	9.0E-6	1.2E-3
39	1.4E-3	9.9E-6	3.2E-6	8.4E-6	1.2E-3
40	1.3E-3	9.2E-6	3.0E-6	7.8E-6	1.1E-3
41	1.3E-3	8.6E-6	2.8E-6	7.3E-6	1.1E-3
42	1.3E-3	8.1E-6	2.6E-6	6.8E-6	1.1E-3
43	1.2E-3	7.6E-6	2.5E-6	6.4E-6	1.1E-3
44	1.2E-3	7.1E-6	2.3E-6	6.0E-6	1.1E-3
45	1.2E-3	6.6E-6	2.2E-6	5.6E-6	1.1E-3
46	1.2E-3	6.2E-6	2.0E-6	5.2E-6	1.0E-3
47	1.1E-3	5.9E-6	1.9E-6	4.9E-6	1.0E-3
48	1.1E-3	5.5E-6	1.8E-6	4.6E-6	1.0E-3
49	1.1E-3	5.2E-6	1.7E-6	4.3E-6	1.0E-3
50	1.1E-3	4.9E-6	1.6E-6	4.1E-6	9.8E-4
51	1.0E-3	4.6E-6	1.5E-6	3.8E-6	9.7E-4
52	1.0E-3	4.3E-6	1.4E-6	3.6E-6	9.5E-4
53	1.0E-3	4.1E-6	1.3E-6	3.4E-6	9.4E-4
54	9.9E-4	3.9E-6	1.3E-6	3.2E-6	9.2E-4
55	9.7E-4	3.7E-6	1.2E-6	3.0E-6	9.1E-4
56	9.5E-4	3.5E-6	1.1E-6	2.8E-6	8.9E-4
57	9.4E-4	3.3E-6	1.1E-6	2.7E-6	8.8E-4
58	9.2E-4	3.1E-6	1.0E-6	2.6E-6	8.7E-4
59	9.0E-4	3.0E-6	9.6E-7	2.4E-6	8.5E-4
60	8.9E-4	2.8E-6	9.1E-7	2.3E-6	8.4E-4
61	8.7E-4	2.7E-6	8.6E-7	2.2E-6	8.3E-4
62	8.6E-4	2.6E-6	8.2E-7	2.1E-6	8.1E-4
63	8.4E-4	2.5E-6	7.8E-7	2.0E-6	8.0E-4
64	8.3E-4	2.4E-6	7.5E-7	1.9E-6	7.9E-4
65	8.1E-4	2.3E-6	7.1E-7	1.8E-6	7.8E-4
66	8.0E-4	2.2E-6	6.8E-7	1.7E-6	7.6E-4
67	7.9E-4	2.1E-6	6.5E-7	1.6E-6	7.5E-4
68	7.7E-4	2.0E-6	6.3E-7	1.6E-6	7.4E-4
