Radionuclide	Cu-61
Route of Intake	Inhalation
Material	Aerosols Type S, fA=5E-3
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Liver*
0.041667	6.6E-1	-	-	2.3E-1	6.2E-2	8.3E-5
0.083333	5.3E-1	-	-	2.1E-1	4.7E-2	1.9E-4
0.125	4.2E-1	-	-	1.8E-1	3.7E-2	2.8E-4
0.25	2.2E-1	-	-	1.2E-1	1.9E-2	3.4E-4
0.375	1.1E-1	-	-	7.0E-2	9.8E-3	2.5E-4
0.5	5.9E-2	-	-	4.0E-2	5.2E-3	1.5E-4
0.625	3.1E-2	-	-	2.2E-2	2.8E-3	8.3E-5
0.75	1.6E-2	-	-	1.2E-2	1.5E-3	4.4E-5
0.875	8.2E-3	-	-	6.4E-3	7.9E-4	2.3E-5
1	4.2E-3	1.4E-10	5.8E-4	3.3E-3	4.2E-4	1.2E-5
1.125	2.1E-3	-	-	1.7E-3	2.2E-4	5.8E-6
1.25	1.1E-3	-	-	8.7E-4	1.2E-4	2.9E-6
1.375	5.3E-4	-	-	4.4E-4	6.4E-5	1.5E-6
1.5	2.6E-4	-	-	2.2E-4	3.4E-5	7.3E-7
1.625	1.3E-4	-	-	1.1E-4	1.8E-5	3.6E-7
1.75	6.4E-5	-	-	5.2E-5	9.7E-6	1.8E-7
1.875	3.2E-5	-	-	2.5E-5	5.2E-6	9.2E-8
2	1.5E-5	-	1.2E-5	1.2E-5	2.8E-6	4.7E-8
2.25	3.7E-6	-	-	2.7E-6	7.9E-7	1.2E-8
2.5	8.6E-7	-	-	6.1E-7	2.3E-7	3.2E-9
2.75	2.0E-7	-	-	1.3E-7	6.5E-8	8.7E-10
3	4.9E-8	-	5.5E-8	2.9E-8	1.8E-8	2.4E-10
3.25	1.2E-8	-	-	6.2E-9	5.3E-9	-
3.5	2.9E-9	-	-	1.3E-9	1.5E-9	-
3.75	7.4E-10	-	-	2.7E-10	4.3E-10	-
4	1.9E-10	-	1.4E-10	-	1.2E-10	-
