Radionuclide	Cu-61
Route of Intake	Injection
Material	Injection, fA=0.5
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Liver*
0.041667	8.1E-1	-	-	5.9E-2	5.0E-1
0.083333	6.6E-1	-	-	4.7E-2	5.1E-1
0.125	5.4E-1	-	-	3.5E-2	4.3E-1
0.25	2.9E-1	-	-	1.6E-2	2.1E-1
0.375	1.5E-1	-	-	8.5E-3	9.8E-2
0.5	8.2E-2	-	-	4.5E-3	4.6E-2
0.625	4.4E-2	-	-	2.4E-3	2.1E-2
0.75	2.4E-2	-	-	1.3E-3	1.0E-2
0.875	1.3E-2	-	-	6.7E-4	4.8E-3
1	6.7E-3	4.3E-8	7.9E-5	3.5E-4	2.3E-3
1.125	3.6E-3	-	-	1.8E-4	1.1E-3
1.25	1.9E-3	-	-	9.4E-5	5.5E-4
1.375	1.0E-3	-	-	4.8E-5	2.7E-4
1.5	5.5E-4	-	-	2.5E-5	1.4E-4
1.625	2.9E-4	-	-	1.3E-5	6.9E-5
1.75	1.6E-4	-	-	6.7E-6	3.5E-5
1.875	8.3E-5	-	-	3.5E-6	1.8E-5
2	4.5E-5	-	1.1E-6	1.8E-6	9.4E-6
2.25	1.3E-5	-	-	4.9E-7	2.5E-6
2.5	3.6E-6	-	-	1.3E-7	7.0E-7
2.75	1.0E-6	-	-	3.7E-8	1.9E-7
3	3.0E-7	-	4.9E-9	1.0E-8	5.5E-8
3.25	8.5E-8	-	-	3.0E-9	1.6E-8
3.5	2.4E-8	-	-	8.4E-10	4.4E-9
3.75	7.0E-9	-	-	2.4E-10	1.3E-9
4	2.0E-9	-	-	-	3.6E-10
4.25	5.7E-10	-	-	-	1.0E-10
4.5	1.6E-10	-	-	-	-
