Radionuclide	Tl-195
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-2
AMTD/AMAD, µm	0.3

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*	Liver*
0.041667	1.6E-1	-	2.4E-2	1.0E-1	1.9E-5	8.1E-6
0.083333	8.9E-2	-	1.5E-2	5.5E-2	2.2E-5	8.5E-6
0.125	4.9E-2	-	9.0E-3	3.0E-2	1.8E-5	6.8E-6
0.25	8.0E-3	-	1.8E-3	4.9E-3	5.5E-6	2.0E-6
0.375	1.3E-3	-	3.4E-4	8.2E-4	1.2E-6	4.3E-7
0.5	2.2E-4	-	6.0E-5	1.4E-4	2.4E-7	8.3E-8
0.625	3.6E-5	-	1.0E-5	2.2E-5	4.3E-8	1.5E-8
0.75	5.9E-6	-	1.8E-6	3.7E-6	7.7E-9	2.7E-9
0.875	9.6E-7	-	2.9E-7	6.2E-7	1.3E-9	4.6E-10
1	1.6E-7	8.0E-9	4.8E-8	1.0E-7	2.3E-10	-
1.125	2.6E-8	-	7.7E-9	1.7E-8	-	-
1.25	4.2E-9	-	1.2E-9	2.8E-9	-	-
1.375	6.8E-10	-	1.9E-10	4.7E-10	-	-
1.5	1.1E-10	-	-	-	-	-
