Radionuclide	At-206
Route of Intake	Inhalation
Material	Aerosols Type S, fA=1E-2
AMTD/AMAD, µm	0.01

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Lungs*	Thyroid*	Liver*
0.041667	2.2E-1	2.0E-2	1.7E-1	1.4E-6	1.6E-5
0.083333	5.7E-2	6.1E-3	4.4E-2	9.8E-7	7.9E-6
0.125	1.5E-2	1.8E-3	1.1E-2	4.8E-7	2.9E-6
0.25	2.5E-4	3.8E-5	1.9E-4	2.4E-8	7.9E-8
0.375	4.2E-6	7.2E-7	3.2E-6	7.7E-10	1.6E-9
0.5	7.0E-8	1.3E-8	5.3E-8	-	-
0.625	1.2E-9	2.4E-10	8.9E-10	-	-
