Radionuclide	Sr-82
Route of Intake	Ingestion
Material	Strontium titanate, fA=1E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	1.0E+0	-	-	1.0E+0	7.8E-5
0.083333	1.0E+0	-	-	1.0E+0	3.0E-4
0.125	1.0E+0	-	-	9.9E-1	5.8E-4
0.25	9.9E-1	-	-	9.8E-1	1.5E-3
0.375	9.8E-1	-	-	9.7E-1	2.1E-3
0.5	9.6E-1	-	-	9.5E-1	2.4E-3
0.625	9.2E-1	-	-	9.1E-1	2.7E-3
0.75	8.8E-1	-	-	8.7E-1	2.8E-3
0.875	8.2E-1	-	-	8.2E-1	2.9E-3
1	7.6E-1	1.8E-3	2.1E-1	7.6E-1	3.0E-3
1.125	7.0E-1	-	-	6.9E-1	3.0E-3
1.25	6.3E-1	-	-	6.3E-1	3.0E-3
1.375	5.7E-1	-	-	5.6E-1	3.0E-3
1.5	5.1E-1	-	-	5.0E-1	3.0E-3
1.625	4.5E-1	-	-	4.4E-1	3.0E-3
1.75	3.9E-1	-	-	3.9E-1	3.0E-3
1.875	3.4E-1	-	-	3.4E-1	2.9E-3
2	3.0E-1	7.2E-4	4.4E-1	2.9E-1	2.9E-3
2.25	2.2E-1	-	-	2.2E-1	2.8E-3
2.5	1.6E-1	-	-	1.6E-1	2.7E-3
2.75	1.2E-1	-	-	1.1E-1	2.6E-3
3	8.5E-2	4.5E-4	2.1E-1	7.9E-2	2.6E-3
3.25	6.1E-2	-	-	5.5E-2	2.5E-3
3.5	4.3E-2	-	-	3.8E-2	2.4E-3
3.75	3.1E-2	-	-	2.6E-2	2.3E-3
4	2.3E-2	3.2E-4	5.9E-2	1.8E-2	2.3E-3
4.25	1.7E-2	-	-	1.2E-2	2.2E-3
4.5	1.3E-2	-	-	8.2E-3	2.2E-3
4.75	1.0E-2	-	-	5.5E-3	2.1E-3
5	8.2E-3	2.5E-4	1.4E-2	3.7E-3	2.0E-3
5.5	6.0E-3	-	-	1.7E-3	2.0E-3
6	4.9E-3	1.9E-4	2.9E-3	8.1E-4	1.9E-3
6.5	4.3E-3	-	-	4.1E-4	1.8E-3
7	4.0E-3	1.6E-4	5.9E-4	2.4E-4	1.8E-3
7.5	3.8E-3	-	-	1.6E-4	1.7E-3
8	3.6E-3	1.3E-4	1.5E-4	1.2E-4	1.7E-3
8.5	3.5E-3	-	-	1.0E-4	1.6E-3
9	3.4E-3	1.1E-4	5.8E-5	9.3E-5	1.6E-3
9.5	3.2E-3	-	-	8.5E-5	1.6E-3
10	3.1E-3	9.5E-5	3.8E-5	7.9E-5	1.5E-3
11	2.9E-3	8.2E-5	3.0E-5	6.9E-5	1.5E-3
12	2.8E-3	7.2E-5	2.6E-5	6.1E-5	1.4E-3
13	2.6E-3	6.4E-5	2.2E-5	5.5E-5	1.4E-3
14	2.4E-3	5.7E-5	2.0E-5	4.9E-5	1.4E-3
15	2.3E-3	5.1E-5	1.8E-5	4.4E-5	1.3E-3
16	2.2E-3	4.6E-5	1.6E-5	4.0E-5	1.3E-3
17	2.1E-3	4.2E-5	1.4E-5	3.6E-5	1.3E-3
18	2.0E-3	3.8E-5	1.3E-5	3.3E-5	1.2E-3
19	1.9E-3	3.4E-5	1.1E-5	3.0E-5	1.2E-3
20	1.8E-3	3.1E-5	1.0E-5	2.7E-5	1.2E-3
21	1.7E-3	2.8E-5	9.5E-6	2.5E-5	1.1E-3
22	1.6E-3	2.6E-5	8.6E-6	2.2E-5	1.1E-3
23	1.5E-3	2.3E-5	7.8E-6	2.0E-5	1.1E-3
24	1.5E-3	2.1E-5	7.1E-6	1.9E-5	1.0E-3
25	1.4E-3	2.0E-5	6.5E-6	1.7E-5	1.0E-3
26	1.3E-3	1.8E-5	5.9E-6	1.6E-5	9.9E-4
27	1.3E-3	1.6E-5	5.4E-6	1.4E-5	9.6E-4
28	1.2E-3	1.5E-5	4.9E-6	1.3E-5	9.3E-4
29	1.2E-3	1.4E-5	4.5E-6	1.2E-5	9.1E-4
30	1.1E-3	1.2E-5	4.1E-6	1.1E-5	8.8E-4
31	1.1E-3	1.1E-5	3.8E-6	9.9E-6	8.6E-4
32	1.0E-3	1.0E-5	3.5E-6	9.0E-6	8.3E-4
33	1.0E-3	9.6E-6	3.2E-6	8.3E-6	8.1E-4
34	9.6E-4	8.8E-6	2.9E-6	7.6E-6	7.9E-4
35	9.2E-4	8.1E-6	2.7E-6	7.0E-6	7.7E-4
36	8.9E-4	7.4E-6	2.5E-6	6.4E-6	7.5E-4
37	8.6E-4	6.8E-6	2.3E-6	5.9E-6	7.2E-4
38	8.2E-4	6.3E-6	2.1E-6	5.4E-6	7.0E-4
39	7.9E-4	5.8E-6	1.9E-6	4.9E-6	6.8E-4
40	7.7E-4	5.3E-6	1.8E-6	4.5E-6	6.6E-4
41	7.4E-4	4.9E-6	1.6E-6	4.2E-6	6.5E-4
42	7.1E-4	4.6E-6	1.5E-6	3.9E-6	6.3E-4
43	6.9E-4	4.2E-6	1.4E-6	3.6E-6	6.1E-4
44	6.6E-4	3.9E-6	1.3E-6	3.3E-6	5.9E-4
45	6.4E-4	3.6E-6	1.2E-6	3.0E-6	5.8E-4
46	6.2E-4	3.3E-6	1.1E-6	2.8E-6	5.6E-4
47	6.0E-4	3.1E-6	1.0E-6	2.6E-6	5.4E-4
48	5.8E-4	2.9E-6	9.3E-7	2.4E-6	5.3E-4
49	5.6E-4	2.7E-6	8.6E-7	2.2E-6	5.1E-4
50	5.4E-4	2.5E-6	8.0E-7	2.1E-6	5.0E-4
51	5.2E-4	2.3E-6	7.4E-7	1.9E-6	4.8E-4
52	5.1E-4	2.1E-6	6.9E-7	1.8E-6	4.7E-4
53	4.9E-4	2.0E-6	6.4E-7	1.6E-6	4.6E-4
54	4.7E-4	1.9E-6	6.0E-7	1.5E-6	4.4E-4
55	4.6E-4	1.7E-6	5.6E-7	1.4E-6	4.3E-4
56	4.5E-4	1.6E-6	5.2E-7	1.3E-6	4.2E-4
57	4.3E-4	1.5E-6	4.9E-7	1.2E-6	4.1E-4
58	4.2E-4	1.4E-6	4.6E-7	1.2E-6	3.9E-4
59	4.0E-4	1.3E-6	4.3E-7	1.1E-6	3.8E-4
60	3.9E-4	1.3E-6	4.0E-7	1.0E-6	3.7E-4
61	3.8E-4	1.2E-6	3.8E-7	9.5E-7	3.6E-4
62	3.7E-4	1.1E-6	3.5E-7	8.9E-7	3.5E-4
63	3.6E-4	1.0E-6	3.3E-7	8.4E-7	3.4E-4
64	3.5E-4	9.9E-7	3.1E-7	7.9E-7	3.3E-4
65	3.4E-4	9.3E-7	2.9E-7	7.4E-7	3.2E-4
66	3.3E-4	8.8E-7	2.8E-7	7.0E-7	3.1E-4
67	3.2E-4	8.3E-7	2.6E-7	6.6E-7	3.0E-4
68	3.1E-4	7.8E-7	2.5E-7	6.2E-7	2.9E-4
