Radionuclide	Br-80m
Route of Intake	Inhalation
Material	Aerosols Type F, fA=0.99
AMTD/AMAD, µm	5

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*
0.041667	6.9E-1	-	-	1.1E-1	2.3E-2
0.083333	5.8E-1	-	-	5.4E-2	8.6E-3
0.125	4.9E-1	-	-	3.2E-2	5.0E-3
0.25	3.0E-1	-	-	1.3E-2	2.9E-3
0.375	1.8E-1	-	-	6.9E-3	2.0E-3
0.5	1.1E-1	-	-	4.0E-3	1.3E-3
0.625	6.7E-2	-	-	2.3E-3	8.6E-4
0.75	4.1E-2	-	-	1.3E-3	5.5E-4
0.875	2.5E-2	-	-	7.9E-4	3.5E-4
1	1.6E-2	6.5E-4	2.2E-5	4.7E-4	2.2E-4
1.125	9.6E-3	-	-	2.8E-4	1.4E-4
1.25	5.9E-3	-	-	1.7E-4	8.8E-5
1.375	3.7E-3	-	-	1.0E-4	5.5E-5
1.5	2.3E-3	-	-	6.1E-5	3.5E-5
1.625	1.4E-3	-	-	3.7E-5	2.2E-5
1.75	8.7E-4	-	-	2.3E-5	1.3E-5
1.875	5.4E-4	-	-	1.4E-5	8.4E-6
2	3.3E-4	1.9E-5	1.2E-6	8.3E-6	5.2E-6
2.25	1.3E-4	-	-	3.1E-6	2.0E-6
2.5	4.9E-5	-	-	1.2E-6	7.7E-7
2.75	1.9E-5	-	-	4.4E-7	3.0E-7
3	7.3E-6	4.3E-7	1.8E-8	1.7E-7	1.1E-7
3.25	2.8E-6	-	-	6.4E-8	4.4E-8
3.5	1.1E-6	-	-	2.4E-8	1.7E-8
3.75	4.1E-7	-	-	9.3E-9	6.5E-9
4	1.6E-7	9.4E-9	2.1E-10	3.5E-9	2.5E-9
4.25	6.1E-8	-	-	1.4E-9	9.7E-10
4.5	2.3E-8	-	-	5.2E-10	3.7E-10
4.75	9.0E-9	-	-	2.0E-10	1.4E-10
5	3.5E-9	2.1E-10	-	-	-
5.5	5.1E-10	-	-	-	-
