Radionuclide	W-190
Route of Intake	Ingestion
Material	Tungstic acid, fA=1E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Alimentary Tract*	Skeleton*	Liver*
0.041667	2.5E-1	2.5E-1	1.3E-5	1.6E-5
0.083333	6.2E-2	6.2E-2	9.0E-6	1.0E-5
0.125	1.6E-2	1.6E-2	3.7E-6	3.7E-6
0.25	2.4E-4	2.4E-4	1.1E-7	8.5E-8
0.375	3.8E-6	3.7E-6	2.1E-9	1.4E-9
0.5	5.8E-8	5.7E-8	-	-
0.625	8.7E-10	8.7E-10	-	-
