Radionuclide	Al-26
Route of Intake	Injection
Material	Injection, fA=3E-3
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	9.3E-1	-	-	4.4E-2	4.0E-2
0.083333	8.0E-1	-	-	3.1E-2	2.5E-2
0.125	6.9E-1	-	-	2.4E-2	1.8E-2
0.25	4.8E-1	-	-	1.8E-2	1.2E-2
0.375	4.0E-1	-	-	1.8E-2	1.1E-2
0.5	3.8E-1	-	-	1.7E-2	1.1E-2
0.625	3.6E-1	-	-	1.6E-2	1.1E-2
0.75	3.5E-1	-	-	1.6E-2	1.2E-2
0.875	3.4E-1	-	-	1.5E-2	1.2E-2
1	3.3E-1	6.7E-1	3.0E-3	1.4E-2	1.2E-2
1.125	3.1E-1	-	-	1.4E-2	1.2E-2
1.25	3.0E-1	-	-	1.3E-2	1.2E-2
1.375	3.0E-1	-	-	1.2E-2	1.2E-2
1.5	2.9E-1	-	-	1.1E-2	1.2E-2
1.625	2.8E-1	-	-	1.1E-2	1.2E-2
1.75	2.7E-1	-	-	1.0E-2	1.3E-2
1.875	2.6E-1	-	-	9.4E-3	1.3E-2
2	2.5E-1	6.8E-2	5.2E-3	8.8E-3	1.3E-2
2.25	2.4E-1	-	-	7.9E-3	1.3E-2
2.5	2.2E-1	-	-	7.0E-3	1.3E-2
2.75	2.1E-1	-	-	6.3E-3	1.3E-2
3	2.0E-1	4.9E-2	2.9E-3	5.7E-3	1.3E-2
3.25	1.9E-1	-	-	5.2E-3	1.4E-2
3.5	1.8E-1	-	-	4.8E-3	1.4E-2
3.75	1.7E-1	-	-	4.5E-3	1.4E-2
4	1.6E-1	3.5E-2	1.4E-3	4.1E-3	1.4E-2
4.25	1.6E-1	-	-	3.9E-3	1.4E-2
4.5	1.5E-1	-	-	3.6E-3	1.4E-2
4.75	1.4E-1	-	-	3.4E-3	1.4E-2
5	1.4E-1	2.6E-2	8.1E-4	3.2E-3	1.4E-2
5.5	1.3E-1	-	-	2.9E-3	1.4E-2
6	1.2E-1	1.9E-2	5.3E-4	2.6E-3	1.5E-2
6.5	1.1E-1	-	-	2.4E-3	1.5E-2
7	1.0E-1	1.3E-2	3.7E-4	2.2E-3	1.5E-2
7.5	9.9E-2	-	-	2.0E-3	1.5E-2
