Radionuclide	Al-26
Route of Intake	Ingestion
Material	Insoluble forms, fA=1E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	1.0E+0	-	-	1.0E+0	4.3E-7
0.083333	1.0E+0	-	-	1.0E+0	1.0E-6
0.125	1.0E+0	-	-	1.0E+0	1.4E-6
0.25	1.0E+0	-	-	1.0E+0	1.6E-6
0.375	9.9E-1	-	-	9.9E-1	1.4E-6
0.5	9.7E-1	-	-	9.7E-1	1.3E-6
0.625	9.4E-1	-	-	9.4E-1	1.2E-6
0.75	9.0E-1	-	-	9.0E-1	1.2E-6
0.875	8.4E-1	-	-	8.4E-1	1.2E-6
1	7.8E-1	6.5E-5	2.1E-1	7.8E-1	1.2E-6
1.125	7.2E-1	-	-	7.2E-1	1.2E-6
1.25	6.6E-1	-	-	6.6E-1	1.2E-6
1.375	5.9E-1	-	-	5.9E-1	1.2E-6
1.5	5.3E-1	-	-	5.3E-1	1.2E-6
1.625	4.7E-1	-	-	4.7E-1	1.2E-6
1.75	4.1E-1	-	-	4.1E-1	1.2E-6
1.875	3.6E-1	-	-	3.6E-1	1.3E-6
2	3.1E-1	7.9E-6	4.7E-1	3.1E-1	1.3E-6
2.25	2.3E-1	-	-	2.3E-1	1.3E-6
2.5	1.7E-1	-	-	1.7E-1	1.3E-6
2.75	1.2E-1	-	-	1.2E-1	1.3E-6
3	8.7E-2	5.3E-6	2.3E-1	8.7E-2	1.3E-6
3.25	6.1E-2	-	-	6.1E-2	1.3E-6
3.5	4.2E-2	-	-	4.2E-2	1.4E-6
3.75	2.9E-2	-	-	2.9E-2	1.4E-6
4	2.0E-2	3.8E-6	6.7E-2	2.0E-2	1.4E-6
4.25	1.4E-2	-	-	1.4E-2	1.4E-6
4.5	9.2E-3	-	-	9.2E-3	1.4E-6
4.75	6.2E-3	-	-	6.2E-3	1.4E-6
5	4.1E-3	2.7E-6	1.6E-2	4.1E-3	1.4E-6
5.5	1.8E-3	-	-	1.8E-3	1.4E-6
6	8.0E-4	2.0E-6	3.3E-3	7.9E-4	1.5E-6
6.5	3.5E-4	-	-	3.4E-4	1.5E-6
7	1.5E-4	1.4E-6	6.5E-4	1.4E-4	1.5E-6
7.5	7.1E-5	-	-	6.1E-5	1.5E-6
8	3.5E-5	1.0E-6	1.2E-4	2.5E-5	1.5E-6
8.5	2.0E-5	-	-	1.1E-5	1.5E-6
9	1.3E-5	7.5E-7	2.1E-5	4.5E-6	1.5E-6
9.5	1.0E-5	-	-	1.9E-6	1.5E-6
10	9.0E-6	5.4E-7	3.6E-6	8.7E-7	1.5E-6
11	8.0E-6	3.9E-7	6.1E-7	2.5E-7	1.5E-6
12	7.6E-6	2.9E-7	1.1E-7	1.5E-7	1.5E-6
13	7.4E-6	2.1E-7	2.1E-8	1.2E-7	1.5E-6
14	7.3E-6	1.5E-7	6.6E-9	1.2E-7	1.5E-6
15	7.2E-6	1.1E-7	3.4E-9	1.1E-7	1.5E-6
16	7.1E-6	7.9E-8	2.2E-9	1.1E-7	1.5E-6
17	7.0E-6	5.7E-8	1.6E-9	1.1E-7	1.5E-6
18	7.0E-6	4.2E-8	1.1E-9	1.1E-7	1.5E-6
19	6.9E-6	3.1E-8	8.3E-10	1.1E-7	1.5E-6
20	6.9E-6	2.3E-8	6.0E-10	1.1E-7	1.5E-6
21	6.9E-6	1.7E-8	4.4E-10	1.1E-7	1.5E-6
22	6.9E-6	1.2E-8	3.3E-10	1.1E-7	1.5E-6
23	6.9E-6	9.5E-9	2.4E-10	1.1E-7	1.5E-6
24	6.9E-6	7.3E-9	1.8E-10	1.1E-7	1.5E-6
25	6.9E-6	5.7E-9	1.4E-10	1.1E-7	1.5E-6
26	6.9E-6	4.6E-9	1.1E-10	1.1E-7	1.5E-6
27	6.9E-6	3.8E-9	-	1.1E-7	1.5E-6
28	6.8E-6	3.2E-9	-	1.1E-7	1.5E-6
29	6.8E-6	2.8E-9	-	1.1E-7	1.5E-6
30	6.8E-6	2.6E-9	-	1.1E-7	1.5E-6
31	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
32	6.8E-6	2.2E-9	-	1.1E-7	1.5E-6
33	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
34	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
35	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
36	6.8E-6	2.0E-9	-	1.1E-7	1.5E-6
37	6.8E-6	2.0E-9	-	1.1E-7	1.5E-6
38	6.8E-6	2.0E-9	-	1.1E-7	1.5E-6
39	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
40	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
41	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
42	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
43	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
44	6.8E-6	2.1E-9	-	1.1E-7	1.5E-6
45	6.8E-6	2.2E-9	-	1.1E-7	1.5E-6
46	6.8E-6	2.2E-9	-	1.1E-7	1.5E-6
47	6.8E-6	2.2E-9	-	1.1E-7	1.5E-6
48	6.8E-6	2.2E-9	-	1.1E-7	1.5E-6
49	6.8E-6	2.2E-9	-	1.1E-7	1.5E-6
50	6.8E-6	2.3E-9	-	1.1E-7	1.5E-6
51	6.8E-6	2.3E-9	-	1.1E-7	1.5E-6
52	6.8E-6	2.3E-9	-	1.1E-7	1.5E-6
53	6.8E-6	2.3E-9	-	1.1E-7	1.5E-6
54	6.8E-6	2.3E-9	-	1.1E-7	1.5E-6
55	6.8E-6	2.3E-9	-	1.1E-7	1.5E-6
56	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
57	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
58	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
59	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
60	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
61	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
62	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
63	6.8E-6	2.4E-9	-	1.1E-7	1.5E-6
64	6.8E-6	2.5E-9	-	1.1E-7	1.5E-6
65	6.8E-6	2.5E-9	-	1.1E-7	1.5E-6
66	6.8E-6	2.5E-9	-	1.1E-7	1.5E-6
67	6.8E-6	2.5E-9	-	1.1E-7	1.5E-6
68	6.8E-6	2.5E-9	-	1.1E-7	1.5E-6
69	6.8E-6	2.5E-9	-	1.1E-7	1.5E-6
70	6.8E-6	2.5E-9	-	1.1E-7	1.5E-6
71	6.7E-6	2.5E-9	-	1.1E-7	1.5E-6
72	6.7E-6	2.5E-9	-	1.1E-7	1.5E-6
73	6.7E-6	2.5E-9	-	1.1E-7	1.5E-6
74	6.7E-6	2.5E-9	-	1.1E-7	1.5E-6
75	6.7E-6	2.6E-9	-	1.1E-7	1.5E-6
76	6.7E-6	2.6E-9	-	1.1E-7	1.5E-6
77	6.7E-6	2.6E-9	-	1.1E-7	1.5E-6
78	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
79	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
80	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
81	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
82	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
83	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
84	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
85	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
86	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
87	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
88	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
89	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
90	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
91	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
92	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
93	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
94	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
95	6.7E-6	2.6E-9	-	1.0E-7	1.5E-6
96	6.7E-6	2.7E-9	-	1.0E-7	1.5E-6
97	6.7E-6	2.7E-9	-	1.0E-7	1.5E-6
98	6.7E-6	2.7E-9	-	1.0E-7	1.5E-6
99	6.7E-6	2.7E-9	-	1.0E-7	1.5E-6
100	6.7E-6	2.7E-9	-	1.0E-7	1.5E-6
110	6.6E-6	2.7E-9	-	1.0E-7	1.5E-6
120	6.6E-6	2.7E-9	-	1.0E-7	1.5E-6
130	6.6E-6	2.7E-9	-	1.0E-7	1.5E-6
140	6.6E-6	2.7E-9	-	1.0E-7	1.5E-6
150	6.5E-6	2.7E-9	-	1.0E-7	1.5E-6
160	6.5E-6	2.7E-9	-	1.0E-7	1.5E-6
170	6.5E-6	2.7E-9	-	1.0E-7	1.5E-6
180	6.5E-6	2.7E-9	-	1.0E-7	1.5E-6
190	6.4E-6	2.6E-9	-	1.0E-7	1.5E-6
200	6.4E-6	2.6E-9	-	1.0E-7	1.5E-6
210	6.4E-6	2.6E-9	-	9.9E-8	1.5E-6
220	6.3E-6	2.6E-9	-	9.9E-8	1.4E-6
230	6.3E-6	2.6E-9	-	9.8E-8	1.4E-6
240	6.3E-6	2.6E-9	-	9.8E-8	1.4E-6
250	6.3E-6	2.6E-9	-	9.7E-8	1.4E-6
260	6.2E-6	2.6E-9	-	9.7E-8	1.4E-6
270	6.2E-6	2.6E-9	-	9.6E-8	1.4E-6
280	6.2E-6	2.5E-9	-	9.6E-8	1.4E-6
290	6.2E-6	2.5E-9	-	9.5E-8	1.4E-6
300	6.1E-6	2.5E-9	-	9.5E-8	1.4E-6
310	6.1E-6	2.5E-9	-	9.5E-8	1.4E-6
320	6.1E-6	2.5E-9	-	9.4E-8	1.4E-6
330	6.1E-6	2.5E-9	-	9.4E-8	1.4E-6
340	6.0E-6	2.5E-9	-	9.3E-8	1.4E-6
350	6.0E-6	2.5E-9	-	9.3E-8	1.4E-6
360	6.0E-6	2.4E-9	-	9.2E-8	1.4E-6
365	6.0E-6	2.4E-9	-	9.2E-8	1.4E-6
370	6.0E-6	2.4E-9	-	9.2E-8	1.4E-6
380	5.9E-6	2.4E-9	-	9.2E-8	1.4E-6
390	5.9E-6	2.4E-9	-	9.1E-8	1.4E-6
400	5.9E-6	2.4E-9	-	9.1E-8	1.4E-6
410	5.9E-6	2.4E-9	-	9.0E-8	1.4E-6
420	5.8E-6	2.4E-9	-	9.0E-8	1.4E-6
430	5.8E-6	2.4E-9	-	8.9E-8	1.4E-6
440	5.8E-6	2.4E-9	-	8.9E-8	1.4E-6
450	5.8E-6	2.3E-9	-	8.9E-8	1.4E-6
460	5.7E-6	2.3E-9	-	8.8E-8	1.4E-6
470	5.7E-6	2.3E-9	-	8.8E-8	1.4E-6
480	5.7E-6	2.3E-9	-	8.7E-8	1.4E-6
490	5.7E-6	2.3E-9	-	8.7E-8	1.4E-6
500	5.6E-6	2.3E-9	-	8.7E-8	1.4E-6
510	5.6E-6	2.3E-9	-	8.6E-8	1.4E-6
520	5.6E-6	2.3E-9	-	8.6E-8	1.3E-6
530	5.6E-6	2.3E-9	-	8.5E-8	1.3E-6
540	5.6E-6	2.3E-9	-	8.5E-8	1.3E-6
550	5.5E-6	2.2E-9	-	8.5E-8	1.3E-6
560	5.5E-6	2.2E-9	-	8.4E-8	1.3E-6
570	5.5E-6	2.2E-9	-	8.4E-8	1.3E-6
580	5.5E-6	2.2E-9	-	8.3E-8	1.3E-6
590	5.4E-6	2.2E-9	-	8.3E-8	1.3E-6
600	5.4E-6	2.2E-9	-	8.3E-8	1.3E-6
610	5.4E-6	2.2E-9	-	8.2E-8	1.3E-6
620	5.4E-6	2.2E-9	-	8.2E-8	1.3E-6
630	5.4E-6	2.2E-9	-	8.1E-8	1.3E-6
640	5.3E-6	2.2E-9	-	8.1E-8	1.3E-6
650	5.3E-6	2.1E-9	-	8.1E-8	1.3E-6
660	5.3E-6	2.1E-9	-	8.0E-8	1.3E-6
670	5.3E-6	2.1E-9	-	8.0E-8	1.3E-6
680	5.2E-6	2.1E-9	-	8.0E-8	1.3E-6
690	5.2E-6	2.1E-9	-	7.9E-8	1.3E-6
700	5.2E-6	2.1E-9	-	7.9E-8	1.3E-6
710	5.2E-6	2.1E-9	-	7.8E-8	1.3E-6
