Radionuclide	Sr-90
Route of Intake	Injection
Material	Injection, fA=0.25
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*
0.041667	9.9E-1	-	-	6.0E-2	1.5E-1
0.083333	9.6E-1	-	-	5.5E-2	2.0E-1
0.125	9.4E-1	-	-	5.4E-2	2.3E-1
0.25	8.9E-1	-	-	5.5E-2	2.6E-1
0.375	8.6E-1	-	-	5.8E-2	2.8E-1
0.5	8.5E-1	-	-	6.0E-2	2.9E-1
0.625	8.3E-1	-	-	6.1E-2	3.0E-1
0.75	8.1E-1	-	-	6.2E-2	3.1E-1
0.875	8.0E-1	-	-	6.2E-2	3.1E-1
1	7.8E-1	2.0E-1	1.3E-2	6.1E-2	3.1E-1
1.125	7.7E-1	-	-	6.0E-2	3.1E-1
1.25	7.6E-1	-	-	5.9E-2	3.1E-1
1.375	7.4E-1	-	-	5.7E-2	3.1E-1
1.5	7.3E-1	-	-	5.5E-2	3.1E-1
1.625	7.2E-1	-	-	5.3E-2	3.1E-1
1.75	7.1E-1	-	-	5.1E-2	3.1E-1
1.875	7.0E-1	-	-	4.9E-2	3.0E-1
2	6.8E-1	6.7E-2	3.2E-2	4.7E-2	3.0E-1
2.25	6.6E-1	-	-	4.3E-2	2.9E-1
2.5	6.5E-1	-	-	4.0E-2	2.9E-1
2.75	6.3E-1	-	-	3.6E-2	2.8E-1
3	6.1E-1	4.5E-2	2.6E-2	3.3E-2	2.7E-1
3.25	6.0E-1	-	-	3.1E-2	2.7E-1
3.5	5.9E-1	-	-	2.9E-2	2.6E-1
3.75	5.7E-1	-	-	2.7E-2	2.5E-1
4	5.6E-1	3.4E-2	1.8E-2	2.5E-2	2.5E-1
4.25	5.5E-1	-	-	2.4E-2	2.4E-1
4.5	5.4E-1	-	-	2.2E-2	2.4E-1
4.75	5.3E-1	-	-	2.1E-2	2.4E-1
5	5.2E-1	2.7E-2	1.3E-2	2.0E-2	2.3E-1
5.5	5.1E-1	-	-	1.8E-2	2.2E-1
6	4.9E-1	2.2E-2	9.4E-3	1.7E-2	2.2E-1
6.5	4.8E-1	-	-	1.5E-2	2.2E-1
7	4.7E-1	1.8E-2	7.5E-3	1.4E-2	2.1E-1
7.5	4.5E-1	-	-	1.3E-2	2.1E-1
8	4.4E-1	1.6E-2	6.1E-3	1.3E-2	2.1E-1
8.5	4.3E-1	-	-	1.2E-2	2.0E-1
9	4.2E-1	1.4E-2	5.2E-3	1.1E-2	2.0E-1
9.5	4.2E-1	-	-	1.1E-2	2.0E-1
