Radionuclide	Sb-125
Route of Intake	Ingestion
Material	All chemical forms, fA=5E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Skeleton*	Liver*
0.041667	1.0E+0	-	-	1.0E+0	8.6E-6	2.0E-4	2.4E-4
0.083333	1.0E+0	-	-	9.9E-1	3.0E-5	5.4E-4	6.0E-4
0.125	1.0E+0	-	-	9.8E-1	5.5E-5	8.7E-4	9.4E-4
0.25	9.9E-1	-	-	9.6E-1	1.1E-4	1.6E-3	1.7E-3
0.375	9.8E-1	-	-	9.5E-1	1.5E-4	2.1E-3	2.0E-3
0.5	9.6E-1	-	-	9.2E-1	1.8E-4	2.4E-3	2.3E-3
0.625	9.3E-1	-	-	8.9E-1	2.0E-4	2.6E-3	2.4E-3
0.75	8.9E-1	-	-	8.5E-1	2.1E-4	2.8E-3	2.5E-3
0.875	8.4E-1	-	-	8.0E-1	2.3E-4	2.9E-3	2.5E-3
1	7.8E-1	7.5E-3	2.1E-1	7.4E-1	2.4E-4	3.0E-3	2.6E-3
1.125	7.2E-1	-	-	6.8E-1	2.6E-4	3.1E-3	2.6E-3
1.25	6.6E-1	-	-	6.2E-1	2.7E-4	3.2E-3	2.6E-3
1.375	6.0E-1	-	-	5.6E-1	2.8E-4	3.3E-3	2.6E-3
1.5	5.4E-1	-	-	5.0E-1	2.9E-4	3.3E-3	2.6E-3
1.625	4.8E-1	-	-	4.4E-1	3.0E-4	3.4E-3	2.6E-3
1.75	4.3E-1	-	-	3.9E-1	3.1E-4	3.4E-3	2.6E-3
1.875	3.8E-1	-	-	3.4E-1	3.2E-4	3.5E-3	2.6E-3
2	3.3E-1	3.7E-3	4.5E-1	3.0E-1	3.2E-4	3.5E-3	2.6E-3
2.25	2.6E-1	-	-	2.2E-1	3.4E-4	3.6E-3	2.5E-3
2.5	2.0E-1	-	-	1.6E-1	3.5E-4	3.6E-3	2.5E-3
2.75	1.5E-1	-	-	1.2E-1	3.6E-4	3.6E-3	2.4E-3
3	1.2E-1	3.0E-3	2.1E-1	8.3E-2	3.7E-4	3.6E-3	2.4E-3
3.25	9.1E-2	-	-	5.8E-2	3.8E-4	3.6E-3	2.3E-3
3.5	7.3E-2	-	-	4.1E-2	3.9E-4	3.6E-3	2.2E-3
3.75	6.0E-2	-	-	2.9E-2	3.9E-4	3.6E-3	2.1E-3
4	5.1E-2	2.5E-3	6.3E-2	2.0E-2	4.0E-4	3.5E-3	2.1E-3
4.25	4.4E-2	-	-	1.4E-2	4.0E-4	3.5E-3	2.0E-3
4.5	3.9E-2	-	-	9.8E-3	4.1E-4	3.4E-3	1.9E-3
4.75	3.6E-2	-	-	7.0E-3	4.1E-4	3.3E-3	1.9E-3
5	3.3E-2	2.0E-3	1.5E-2	5.1E-3	4.1E-4	3.3E-3	1.8E-3
5.5	3.0E-2	-	-	2.8E-3	4.1E-4	3.1E-3	1.7E-3
6	2.8E-2	1.7E-3	3.5E-3	1.8E-3	4.1E-4	3.0E-3	1.6E-3
6.5	2.7E-2	-	-	1.3E-3	4.1E-4	2.8E-3	1.5E-3
7	2.6E-2	1.5E-3	9.7E-4	1.1E-3	4.0E-4	2.7E-3	1.4E-3
7.5	2.5E-2	-	-	9.7E-4	3.9E-4	2.5E-3	1.3E-3
8	2.4E-2	1.2E-3	4.2E-4	8.9E-4	3.9E-4	2.4E-3	1.2E-3
8.5	2.3E-2	-	-	8.3E-4	3.8E-4	2.3E-3	1.1E-3
9	2.3E-2	1.1E-3	2.8E-4	7.8E-4	3.7E-4	2.1E-3	1.1E-3
9.5	2.2E-2	-	-	7.4E-4	3.6E-4	2.0E-3	1.0E-3
10	2.1E-2	9.2E-4	2.3E-4	7.0E-4	3.5E-4	1.9E-3	9.6E-4
11	2.0E-2	8.0E-4	1.9E-4	6.4E-4	3.3E-4	1.7E-3	8.7E-4
12	2.0E-2	6.9E-4	1.7E-4	5.9E-4	3.1E-4	1.5E-3	7.9E-4
13	1.9E-2	6.1E-4	1.4E-4	5.4E-4	2.9E-4	1.3E-3	7.2E-4
14	1.8E-2	5.3E-4	1.2E-4	5.1E-4	2.6E-4	1.2E-3	6.6E-4
15	1.8E-2	4.7E-4	1.1E-4	4.8E-4	2.4E-4	1.0E-3	6.2E-4
16	1.7E-2	4.2E-4	9.3E-5	4.5E-4	2.3E-4	9.3E-4	5.8E-4
17	1.7E-2	3.7E-4	8.2E-5	4.3E-4	2.1E-4	8.4E-4	5.4E-4
18	1.6E-2	3.4E-4	7.2E-5	4.1E-4	1.9E-4	7.6E-4	5.1E-4
19	1.6E-2	3.0E-4	6.4E-5	3.9E-4	1.8E-4	6.9E-4	4.9E-4
20	1.5E-2	2.7E-4	5.7E-5	3.7E-4	1.6E-4	6.3E-4	4.7E-4
21	1.5E-2	2.5E-4	5.1E-5	3.6E-4	1.5E-4	5.8E-4	4.5E-4
22	1.5E-2	2.3E-4	4.6E-5	3.5E-4	1.4E-4	5.3E-4	4.4E-4
23	1.5E-2	2.1E-4	4.1E-5	3.4E-4	1.2E-4	5.0E-4	4.2E-4
24	1.4E-2	2.0E-4	3.8E-5	3.3E-4	1.1E-4	4.7E-4	4.1E-4
25	1.4E-2	1.8E-4	3.4E-5	3.2E-4	1.0E-4	4.4E-4	4.0E-4
26	1.4E-2	1.7E-4	3.2E-5	3.1E-4	9.6E-5	4.1E-4	4.0E-4
27	1.4E-2	1.6E-4	2.9E-5	3.0E-4	8.9E-5	3.9E-4	3.9E-4
28	1.3E-2	1.5E-4	2.7E-5	3.0E-4	8.2E-5	3.8E-4	3.8E-4
29	1.3E-2	1.4E-4	2.5E-5	2.9E-4	7.6E-5	3.6E-4	3.8E-4
30	1.3E-2	1.4E-4	2.4E-5	2.9E-4	7.0E-5	3.5E-4	3.7E-4
31	1.3E-2	1.3E-4	2.3E-5	2.8E-4	6.5E-5	3.4E-4	3.7E-4
32	1.3E-2	1.3E-4	2.1E-5	2.8E-4	6.0E-5	3.3E-4	3.7E-4
33	1.3E-2	1.2E-4	2.0E-5	2.7E-4	5.6E-5	3.2E-4	3.6E-4
34	1.3E-2	1.2E-4	1.9E-5	2.7E-4	5.3E-5	3.1E-4	3.6E-4
35	1.2E-2	1.1E-4	1.9E-5	2.7E-4	4.9E-5	3.0E-4	3.6E-4
36	1.2E-2	1.1E-4	1.8E-5	2.6E-4	4.6E-5	3.0E-4	3.6E-4
37	1.2E-2	1.1E-4	1.7E-5	2.6E-4	4.3E-5	2.9E-4	3.5E-4
38	1.2E-2	1.0E-4	1.7E-5	2.6E-4	4.1E-5	2.9E-4	3.5E-4
39	1.2E-2	1.0E-4	1.6E-5	2.5E-4	3.9E-5	2.8E-4	3.5E-4
40	1.2E-2	9.9E-5	1.6E-5	2.5E-4	3.7E-5	2.8E-4	3.5E-4
41	1.2E-2	9.7E-5	1.5E-5	2.5E-4	3.5E-5	2.8E-4	3.5E-4
42	1.2E-2	9.5E-5	1.5E-5	2.4E-4	3.3E-5	2.7E-4	3.5E-4
43	1.1E-2	9.4E-5	1.5E-5	2.4E-4	3.2E-5	2.7E-4	3.5E-4
44	1.1E-2	9.2E-5	1.4E-5	2.4E-4	3.1E-5	2.7E-4	3.5E-4
45	1.1E-2	9.0E-5	1.4E-5	2.4E-4	3.0E-5	2.7E-4	3.5E-4
46	1.1E-2	8.9E-5	1.4E-5	2.3E-4	2.8E-5	2.7E-4	3.5E-4
47	1.1E-2	8.8E-5	1.4E-5	2.3E-4	2.7E-5	2.6E-4	3.4E-4
48	1.1E-2	8.6E-5	1.3E-5	2.3E-4	2.7E-5	2.6E-4	3.4E-4
49	1.1E-2	8.5E-5	1.3E-5	2.3E-4	2.6E-5	2.6E-4	3.4E-4
50	1.1E-2	8.4E-5	1.3E-5	2.2E-4	2.5E-5	2.6E-4	3.4E-4
51	1.1E-2	8.3E-5	1.3E-5	2.2E-4	2.4E-5	2.6E-4	3.4E-4
52	1.0E-2	8.2E-5	1.3E-5	2.2E-4	2.4E-5	2.6E-4	3.4E-4
53	1.0E-2	8.1E-5	1.2E-5	2.2E-4	2.3E-5	2.5E-4	3.4E-4
54	1.0E-2	8.0E-5	1.2E-5	2.1E-4	2.3E-5	2.5E-4	3.4E-4
55	1.0E-2	7.9E-5	1.2E-5	2.1E-4	2.2E-5	2.5E-4	3.4E-4
56	1.0E-2	7.8E-5	1.2E-5	2.1E-4	2.2E-5	2.5E-4	3.4E-4
57	9.9E-3	7.7E-5	1.2E-5	2.1E-4	2.1E-5	2.5E-4	3.4E-4
58	9.8E-3	7.6E-5	1.2E-5	2.1E-4	2.1E-5	2.5E-4	3.4E-4
59	9.7E-3	7.6E-5	1.2E-5	2.0E-4	2.1E-5	2.5E-4	3.4E-4
60	9.7E-3	7.5E-5	1.1E-5	2.0E-4	2.0E-5	2.5E-4	3.4E-4
61	9.6E-3	7.4E-5	1.1E-5	2.0E-4	2.0E-5	2.5E-4	3.4E-4
62	9.5E-3	7.3E-5	1.1E-5	2.0E-4	2.0E-5	2.5E-4	3.4E-4
63	9.4E-3	7.2E-5	1.1E-5	1.9E-4	1.9E-5	2.4E-4	3.4E-4
64	9.3E-3	7.2E-5	1.1E-5	1.9E-4	1.9E-5	2.4E-4	3.4E-4
65	9.2E-3	7.1E-5	1.1E-5	1.9E-4	1.9E-5	2.4E-4	3.4E-4
66	9.1E-3	7.0E-5	1.1E-5	1.9E-4	1.8E-5	2.4E-4	3.4E-4
67	9.0E-3	6.9E-5	1.1E-5	1.9E-4	1.8E-5	2.4E-4	3.4E-4
68	8.9E-3	6.9E-5	1.0E-5	1.9E-4	1.8E-5	2.4E-4	3.4E-4
69	8.9E-3	6.8E-5	1.0E-5	1.8E-4	1.8E-5	2.4E-4	3.4E-4
70	8.8E-3	6.7E-5	1.0E-5	1.8E-4	1.8E-5	2.4E-4	3.4E-4
71	8.7E-3	6.6E-5	1.0E-5	1.8E-4	1.7E-5	2.4E-4	3.4E-4
72	8.6E-3	6.6E-5	1.0E-5	1.8E-4	1.7E-5	2.4E-4	3.4E-4
73	8.5E-3	6.5E-5	9.9E-6	1.8E-4	1.7E-5	2.4E-4	3.4E-4
74	8.4E-3	6.4E-5	9.8E-6	1.7E-4	1.7E-5	2.4E-4	3.4E-4
75	8.4E-3	6.4E-5	9.7E-6	1.7E-4	1.7E-5	2.3E-4	3.3E-4
76	8.3E-3	6.3E-5	9.6E-6	1.7E-4	1.6E-5	2.3E-4	3.3E-4
77	8.2E-3	6.3E-5	9.5E-6	1.7E-4	1.6E-5	2.3E-4	3.3E-4
78	8.1E-3	6.2E-5	9.4E-6	1.7E-4	1.6E-5	2.3E-4	3.3E-4
79	8.1E-3	6.1E-5	9.3E-6	1.7E-4	1.6E-5	2.3E-4	3.3E-4
80	8.0E-3	6.1E-5	9.2E-6	1.6E-4	1.6E-5	2.3E-4	3.3E-4
81	7.9E-3	6.0E-5	9.1E-6	1.6E-4	1.5E-5	2.3E-4	3.3E-4
82	7.8E-3	5.9E-5	9.0E-6	1.6E-4	1.5E-5	2.3E-4	3.3E-4
83	7.8E-3	5.9E-5	8.9E-6	1.6E-4	1.5E-5	2.3E-4	3.3E-4
84	7.7E-3	5.8E-5	8.9E-6	1.6E-4	1.5E-5	2.3E-4	3.3E-4
85	7.6E-3	5.8E-5	8.8E-6	1.6E-4	1.5E-5	2.3E-4	3.3E-4
